Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type
Arabidopsis lyrata,07C,Alyr_willi_p07C,,50,40.57,-75.4,,Willi,PoolSeq
Arabidopsis lyrata,07D,Alyr_willi_p07D,,50,41.3,-73.98,,Willi,PoolSeq
Arabidopsis lyrata,07E,Alyr_willi_p07E,,50,41.32,-73.99,,Willi,PoolSeq
Arabidopsis lyrata,07F,Alyr_willi_p07F,,50,41.73,-73.56,,Willi,PoolSeq
Arabidopsis lyrata,07G,Alyr_willi_p07G,,50,42.66,-74.02,,Willi,PoolSeq
Arabidopsis lyrata,07H,Alyr_willi_p07H,,50,42.17,-80.07,,Willi,PoolSeq
Arabidopsis lyrata,07J,Alyr_willi_p07J,,50,41.61,-87.19,,Willi,PoolSeq
Arabidopsis lyrata,07K,Alyr_willi_p07K,,50,42.42,-87.8,,Willi,PoolSeq
Arabidopsis lyrata,07L,Alyr_willi_p07L,,50,42.7,-86.2,,Willi,PoolSeq
Arabidopsis lyrata,07M,Alyr_willi_p07M,,50,44.01,-86.49,,Willi,PoolSeq
Arabidopsis lyrata,07N,Alyr_willi_p07N,,50,45.75,-85.5,,Willi,PoolSeq
Arabidopsis lyrata,07O,Alyr_willi_p07O,,50,46.67,-86.02,,Willi,PoolSeq
Arabidopsis lyrata,07P,Alyr_willi_p07P,,50,46.73,-90.81,,Willi,PoolSeq
Arabidopsis lyrata,07Q,Alyr_willi_p07Q,,50,47.38,-87.96,,Willi,PoolSeq
Arabidopsis lyrata,07R,Alyr_willi_p07R,,50,48.16,-88.45,,Willi,PoolSeq
Arabidopsis lyrata,11A,Alyr_willi_p11A,,50,37.72,-92.06,,Willi,PoolSeq
Arabidopsis lyrata,11AA,Alyr_willi_p11AA,,50,47.79,-84.9,,Willi,PoolSeq
Arabidopsis lyrata,11AB,Alyr_willi_p11AB,,50,48.6,-86.3,,Willi,PoolSeq
Arabidopsis lyrata,11AC,Alyr_willi_p11AC,,50,48.77,-87.13,,Willi,PoolSeq
Arabidopsis lyrata,11AE,Alyr_willi_p11AE,,50,49.65,-94.92,,Willi,PoolSeq
Arabidopsis lyrata,11AG,Alyr_willi_p11AG,,50,45.78,-82.75,,Willi,PoolSeq
Arabidopsis lyrata,11AH,Alyr_willi_p11AH,,50,45.79,-82.75,,Willi,PoolSeq
Arabidopsis lyrata,11AJ,Alyr_willi_p11AJ,,50,46.11,-92.08,,Willi,PoolSeq
Arabidopsis lyrata,11B,Alyr_willi_p11B,,50,38.47,-90.71,,Willi,PoolSeq
Arabidopsis lyrata,11C,Alyr_willi_p11C,,50,35.25,-83.08,,Willi,PoolSeq
Arabidopsis lyrata,11D,Alyr_willi_p11D,,50,36.11,-81.66,,Willi,PoolSeq
Arabidopsis lyrata,11E,Alyr_willi_p11E,,50,36.04,-81.16,,Willi,PoolSeq
Arabidopsis lyrata,11F,Alyr_willi_p11F,,50,36.41,-79.96,,Willi,PoolSeq
Arabidopsis lyrata,11G,Alyr_willi_p11G,,50,39.59,-91.92,,Willi,PoolSeq
Arabidopsis lyrata,11H,Alyr_willi_p11H,,50,41.97,-90.37,,Willi,PoolSeq
Arabidopsis lyrata,11J,Alyr_willi_p11J,,50,41,-87.56,,Willi,PoolSeq
Arabidopsis lyrata,11K,Alyr_willi_p11K,,50,37.81,-77.12,,Willi,PoolSeq
Arabidopsis lyrata,11L,Alyr_willi_p11L_F0,,50,37.42,-77.02,,Willi,PoolSeq
Arabidopsis lyrata,11M,Alyr_willi_p11M,,50,38.86,-75.84,,Willi,PoolSeq
Arabidopsis lyrata,11N,Alyr_willi_p11N,,50,39.7,-76.19,,Willi,PoolSeq
Arabidopsis lyrata,11O,Alyr_willi_p11O,,50,40.44,-73.99,,Willi,PoolSeq
Arabidopsis lyrata,11P,Alyr_willi_p11P,,50,38.99,-77.25,,Willi,PoolSeq
Arabidopsis lyrata,11Q,Alyr_willi_p11Q,,50,39.49,-78.93,,Willi,PoolSeq
Arabidopsis lyrata,11R,Alyr_willi_p11R,,50,38.96,-79.29,,Willi,PoolSeq
Arabidopsis lyrata,11S,Alyr_willi_p11S,,50,40.51,-80.36,,Willi,PoolSeq
Arabidopsis lyrata,11T,Alyr_willi_p11T,,50,41.28,-77.87,,Willi,PoolSeq
Arabidopsis lyrata,11U,Alyr_willi_p11U,,50,43,-76.09,,Willi,PoolSeq
Arabidopsis lyrata,11V,Alyr_willi_p11V,,50,42.35,-76.39,,Willi,PoolSeq
Arabidopsis lyrata,11W,Alyr_willi_p11W,,50,43.83,-89.72,,Willi,PoolSeq
Arabidopsis lyrata,11X,Alyr_willi_p11X,,50,43.36,-91.84,,Willi,PoolSeq
Arabidopsis lyrata,11Y,Alyr_willi_p11Y,,50,45.6,-82.14,,Willi,PoolSeq
Arabidopsis lyrata,11Z,Alyr_willi_p11Z,,50,47.93,-84.85,,Willi,PoolSeq
Arabidopsis lyrata,14C,Alyr_willi_p14C,,50,43.26,-81.84,,Willi,PoolSeq
Arabidopsis lyrata,14E,Alyr_willi_p14E,,50,42.87,-79.18,,Willi,PoolSeq
Arabidopsis lyrata,14A,Alyr_willi_p14A,,50,41.62,-83.79,,Willi,PoolSeq
Arabidopsis lyrata,14B,Alyr_willi_p14B,,50,42.26,-81.85,,Willi,PoolSeq
Arabidopsis lyrata,14D,Alyr_willi_p14D,,50,42.58,-80.39,,Willi,PoolSeq
