Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type
Populus trichocarpa,AC,Ptrichocharpa_AC02,,,61.01,-149.69,59,Holliday,Capture
Populus trichocarpa,AC,Ptrichocharpa_AC03,,,61.01,-149.69,59,Holliday,Capture
Populus trichocarpa,AC,Ptrichocharpa_AC04,,,61.01,-149.69,59,Holliday,Capture
Populus trichocarpa,AC,Ptrichocharpa_AC05,,,61.01,-149.69,59,Holliday,Capture
Populus trichocarpa,AC,Ptrichocharpa_AC07,,,61.01,-149.69,59,Holliday,Capture
Populus trichocarpa,AC,Ptrichocharpa_AC08,,,61.01,-149.69,59,Holliday,Capture
Populus trichocarpa,AC,Ptrichocharpa_AC09,,,61.01,-149.69,59,Holliday,Capture
Populus trichocarpa,AL,Ptrichocharpa_AL00,,,50.98,-126.12,247,Holliday,Capture
Populus trichocarpa,BE,Ptrichocharpa_BE01,,,52.38,-126.6,135,Holliday,Capture
Populus trichocarpa,BE,Ptrichocharpa_BE02,,,52.38,-126.6,135,Holliday,Capture
Populus trichocarpa,BE,Ptrichocharpa_BE05,,,52.42,-126.17,152,Holliday,Capture
Populus trichocarpa,BF,Ptrichocharpa_BF02,,,50.05,-123.1,513,Holliday,Capture
Populus trichocarpa,BF,Ptrichocharpa_BF03,,,50.05,-123.1,510,Holliday,Capture
Populus trichocarpa,BF,Ptrichocharpa_BF04,,,50.05,-123.1,510,Holliday,Capture
Populus trichocarpa,BF,Ptrichocharpa_BF07,,,50.05,-123.1,510,Holliday,Capture
Populus trichocarpa,BF,Ptrichocharpa_BF08,,,50.05,-123.1,510,Holliday,Capture
Populus trichocarpa,BF,Ptrichocharpa_BF09,,,50.06,-123.1,510,Holliday,Capture
Populus trichocarpa,BF,Ptrichocharpa_BF10,,,50.06,-123.1,510,Holliday,Capture
Populus trichocarpa,BF,Ptrichocharpa_BF11,,,50.06,-123.1,510,Holliday,Capture
Populus trichocarpa,BF,Ptrichocharpa_BF12,,,50.06,-123.1,504,Holliday,Capture
Populus trichocarpa,BF,Ptrichocharpa_BF16,,,50.06,-123.1,504,Holliday,Capture
Populus trichocarpa,BL,Ptrichocharpa_BL00,,,49.83,-125.18,91,Holliday,Capture
Populus trichocarpa,BR,Ptrichocharpa_BR00,,,58.42,-134.55,23,Holliday,Capture
Populus trichocarpa,BR,Ptrichocharpa_BR01,,,58.42,-134.55,23,Holliday,Capture
Populus trichocarpa,BR,Ptrichocharpa_BR04,,,58.42,-134.55,23,Holliday,Capture
Populus trichocarpa,BS,Ptrichocharpa_BS03,,,49.57,-121.18,850,Holliday,Capture
Populus trichocarpa,BS,Ptrichocharpa_BS04,,,49.58,-121.18,849,Holliday,Capture
Populus trichocarpa,BS,Ptrichocharpa_BS05,,,49.58,-121.17,870,Holliday,Capture
Populus trichocarpa,BS,Ptrichocharpa_BS07,,,49.58,-121.17,882,Holliday,Capture
Populus trichocarpa,BS,Ptrichocharpa_BS08,,,49.58,-121.17,882,Holliday,Capture
Populus trichocarpa,BS,Ptrichocharpa_BS09,,,49.58,-121.17,880,Holliday,Capture
Populus trichocarpa,BU,Ptrichocharpa_BU00,,,54.5,-126.45,700,Holliday,Capture
Populus trichocarpa,CA,Ptrichocharpa_CA00,,,45.75,-122.83,650,Holliday,Capture
Populus trichocarpa,CA,Ptrichocharpa_CA01,,,45.75,-122.83,650,Holliday,Capture
Populus trichocarpa,CB,Ptrichocharpa_CB00,,,49.95,-125.25,76,Holliday,Capture
Populus trichocarpa,CC,Ptrichocharpa_CC00,,,50.33,-122.55,813,Holliday,Capture
Populus trichocarpa,CC,Ptrichocharpa_CC02,,,50.33,-122.55,820,Holliday,Capture
Populus trichocarpa,CC,Ptrichocharpa_CC03,,,50.33,-122.55,823,Holliday,Capture
Populus trichocarpa,CC,Ptrichocharpa_CC04,,,50.34,-122.55,856,Holliday,Capture
Populus trichocarpa,CC,Ptrichocharpa_CC05,,,50.34,-122.54,866,Holliday,Capture
Populus trichocarpa,CC,Ptrichocharpa_CC06,,,50.34,-122.54,872,Holliday,Capture
Populus trichocarpa,CC,Ptrichocharpa_CC08,,,50.34,-122.54,870,Holliday,Capture
Populus trichocarpa,CC,Ptrichocharpa_CC09,,,50.34,-122.54,880,Holliday,Capture
