Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,
Boechera stricta,,Bstricta_RP028,USA,,42.499,-110.7949,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP044,USA,,42.97,-109.7662,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP096,USA,,42.581,-110.7396,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP155,USA,,42.506,-110.6781,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP176,USA,,42.475,-110.6166,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP217,USA,,43.003,-109.7539,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP277,USA,,42.67313,-108.8769,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP304,USA,,38.99427,-107.06551,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP436,USA,,45.10307,-111.87087,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP437,USA,,45.02565,-111.84602,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP440,USA,,44.54927,-112.0913,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP443,USA,,44.4862,-112.11227,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP451,USA,,45.08575,-111.86405,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP452,USA,,45.05487,-111.8392,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP455,USA,,44.92487,-111.83623,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP458,USA,,44.8922,-111.65517,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP460,USA,,40.61595,-111.50738,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_HET21,USA,,39.64888,-107.15913,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP001,USA,,38.506,-109.3189,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP015,USA,,38.945,-106.9884,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP026,USA,,40.693,-109.4946,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP029,USA,,38.856,-107.0613,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP031,USA,,39.761,-110.9194,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP032,USA,,40.39963,-106.119,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP034,USA,,39.90667,-105.51717,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP036,USA,,38.9885,-107.0068,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP042,USA,,40.001,-105.4681,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP051,USA,,38.898,-107.2026,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP057,USA,,38.692,-106.8229,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP058,USA,,40.309,-106.0621,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP065,USA,,38.9761,-106.9897,,Mitchell-Olds,WGS,
Boechera stricta,,Bstricta_RP067,USA,,38.707,-106.8045,,Mitchell-Olds,WGS,
