Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_1100_FJ110001,Japan,,35.16,136.45,1100,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_1100_FJ110003,Japan,,35.16,136.45,1100,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_1100_FJ110004,Japan,,35.16,136.45,1100,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_1100_FJ110006,Japan,,35.16,136.45,1100,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_1100_FJ110008,Japan,,35.16,136.45,1100,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_200_FJ020001,Japan,,35.18,136.47,200,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_200_FJ020003,Japan,,35.18,136.47,200,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_200_FJ020005,Japan,,35.18,136.47,200,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_200_FJ020006,Japan,,35.18,136.47,200,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_200_FJ020007,Japan,,35.18,136.47,200,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_400_FJ040001,Japan,,35.17,136.46,400,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_400_FJ040002,Japan,,35.17,136.46,400,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_400_FJ040003,Japan,,35.17,136.46,400,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_400_FJ040004,Japan,,35.17,136.46,400,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_400_FJ040005,Japan,,35.17,136.46,400,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_700_FJ070001,Japan,,35.17,136.46,700,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_700_FJ070002,Japan,,35.17,136.46,700,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_700_FJ070003,Japan,,35.17,136.46,700,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_700_FJ070004,Japan,,35.17,136.46,700,Kubota,WGS,
Arabidopsis halleri,Mt.Fujiwara,Ahalg_Japan_Fujiwara_700_FJ070005,Japan,,35.17,136.46,700,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_1000_IB100001,Japan,,35.41,136.4,1000,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_1000_IB100002,Japan,,35.41,136.4,1000,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_1000_IB100003,Japan,,35.41,136.4,1000,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_1000_IB100004,Japan,,35.41,136.4,1000,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_1000_IB100005,Japan,,35.41,136.4,1000,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_1250_IB125001,Japan,,35.42,136.4,1250,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_1250_IB125002,Japan,,35.42,136.4,1250,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_1250_IB125003,Japan,,35.42,136.4,1250,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_1250_IB125004,Japan,,35.42,136.4,1250,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_1250_IB125005,Japan,,35.42,136.4,1250,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_380_IB038002,Japan,,35.4,136.39,380,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_380_IB038004,Japan,,35.4,136.39,380,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_380_IB038005,Japan,,35.4,136.39,380,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_380_IB038006,Japan,,35.4,136.39,380,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_380_IB038007,Japan,,35.4,136.39,380,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_600_IB060001,Japan,,35.4,136.39,600,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_600_IB060002,Japan,,35.4,136.39,600,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_600_IB060003,Japan,,35.4,136.39,600,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_600_IB060004,Japan,,35.4,136.39,600,Kubota,WGS,
Arabidopsis halleri,Mt.Ibuki,Ahalg_Japan_Ibuki_600_IB060005,Japan,,35.4,136.39,600,Kubota,WGS,
Arabidopsis halleri,Inotani,Ahalg_Japan_Inotani_230_IN023001,Japan,,36.48,137.24,230,Kubota,WGS,
Arabidopsis halleri,Inotani,Ahalg_Japan_Inotani_230_IN023002,Japan,,36.48,137.24,230,Kubota,WGS,
Arabidopsis halleri,Inotani,Ahalg_Japan_Inotani_230_IN023003,Japan,,36.48,137.24,230,Kubota,WGS,
Arabidopsis halleri,Inotani,Ahalg_Japan_Inotani_230_IN023004,Japan,,36.48,137.24,230,Kubota,WGS,
Arabidopsis halleri,Itamuro,Ahalg_Japan_Itamuro_520_IT052001,Japan,,37.05,139.93,520,Kubota,WGS,
Arabidopsis halleri,Itamuro,Ahalg_Japan_Itamuro_520_IT052002,Japan,,37.05,139.93,520,Kubota,WGS,
Arabidopsis halleri,Itamuro,Ahalg_Japan_Itamuro_520_IT052003,Japan,,37.05,139.93,520,Kubota,WGS,
