Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type
Medicago truncatula,SA22322,Mtruncatula_HM001,Syria,,35.017,37.1,,Tiffin,WGS
Medicago truncatula,SA28064,Mtruncatula_HM002,Cyprus,,34.783,33.167,,Tiffin,WGS
Medicago truncatula,ESP105-L,Mtruncatula_HM003,Spain,,38.076,-3.816,,Tiffin,WGS
Medicago truncatula,DZA045-6,Mtruncatula_HM004,Algeria,,36.923,7.736,,Tiffin,WGS
Medicago truncatula,DZA315-16,Mtruncatula_HM005,Algeria,,34.716,0.158,,Tiffin,WGS
Medicago truncatula,F83005-5,Mtruncatula_HM006,France,,43.571,6.224,,Tiffin,WGS
Medicago truncatula,Salses71B,Mtruncatula_HM007,France,,42.82,2.945,,Tiffin,WGS
Medicago truncatula,DZA012-J,Mtruncatula_HM008,Algeria,,36.549,3.183,,Tiffin,WGS
Medicago truncatula,GRC020-B,Mtruncatula_HM009,Greece,,38.122,21.543,,Tiffin,WGS
Medicago truncatula,SA24714,Mtruncatula_HM010,Italy,,37.533,14.517,,Tiffin,WGS
Medicago truncatula,DZA327-7,Mtruncatula_HM011,Algeria,,35.252,-0.703,,Tiffin,WGS
Medicago truncatula,SA26063,Mtruncatula_HM012,Morocco,,32.167,-8.833,,Tiffin,WGS
Medicago truncatula,Salses42B,Mtruncatula_HM013,France,,42.82,2.945,,Tiffin,WGS
Medicago truncatula,DZA233-4,Mtruncatula_HM014,Algeria,,35.847,4.951,,Tiffin,WGS
Medicago truncatula,F11013-3,Mtruncatula_HM015,France,,43.139,2.893,,Tiffin,WGS
Medicago truncatula,SA09707,Mtruncatula_HM016,Tunisia,,36,8,,Tiffin,WGS
Medicago truncatula,F11008-C,Mtruncatula_HM026,France,,42.55,-2.56,,Tiffin,WGS
Medicago truncatula,F83005-9,Mtruncatula_HM027,France,,43.33,-6.14,,Tiffin,WGS
Medicago truncatula,DZA241-2,Mtruncatula_HM028,Algeria,,35.487,-6.478,,Tiffin,WGS
Medicago truncatula,ESP158-A,Mtruncatula_HM031,Spain,,37.529,-5.023,,Tiffin,WGS
Medicago truncatula,F11005-E,Mtruncatula_HM032,France,,43.123,3.076,,Tiffin,WGS
Medicago truncatula,F20047-A,Mtruncatula_HM033,Corsica,,42.582,9.059,,Tiffin,WGS
Medicago truncatula,F20089-B,Mtruncatula_HM034,Corsica,,42.972,9.367,,Tiffin,WGS
Medicago truncatula,F66017,Mtruncatula_HM035,France,,42.608,2.751,,Tiffin,WGS
Medicago truncatula,GRC042-1,Mtruncatula_HM036,Greece,,37.641,23.142,,Tiffin,WGS
Medicago truncatula,GRC064-B,Mtruncatula_HM037,Greece,,39.987,23.932,,Tiffin,WGS
Medicago truncatula,PRT180-A,Mtruncatula_HM038,Portugal,,37.193,-8.887,,Tiffin,WGS
Medicago truncatula,SA03116,Mtruncatula_HM039,Israel,,32,35,,Tiffin,WGS
Medicago truncatula,SA03780,Mtruncatula_HM040,Italy,,38.1,15.65,,Tiffin,WGS
Medicago truncatula,SA09048,Mtruncatula_HM041,Libya,,32.2,20.55,,Tiffin,WGS
Medicago truncatula,SA09119,Mtruncatula_HM042,Turkey,,41.033,28.95,,Tiffin,WGS
Medicago truncatula,SA09944,Mtruncatula_HM043,Tunisia,,35.567,8.67,,Tiffin,WGS
Medicago truncatula,SA14161,Mtruncatula_HM044,Jordan,,32.317,35.75,,Tiffin,WGS
Medicago truncatula,SA14163,Mtruncatula_HM045,Jordan,,32,35,,Tiffin,WGS
Medicago truncatula,SA27882,Mtruncatula_HM046,Morocco,,33.083,-6.67,,Tiffin,WGS
Medicago truncatula,DZA014,Mtruncatula_HM047,Algeria,,36.475,3.311,,Tiffin,WGS
Medicago truncatula,DZA016-F,Mtruncatula_HM048,Algeria,,36.279,3.567,,Tiffin,WGS
Medicago truncatula,DZA058-5,Mtruncatula_HM049,Algeria,,36.14,7.944,,Tiffin,WGS
Medicago truncatula,DZA058-J,Mtruncatula_HM050,Algeria,,36.14,7.944,,Tiffin,WGS
Medicago truncatula,DZA202-4,Mtruncatula_HM051,Algeria,,35.221,0.121,,Tiffin,WGS
Medicago truncatula,DZA210-3,Mtruncatula_HM052,Algeria,,35.857,2.039,,Tiffin,WGS
Medicago truncatula,DZA246-6,Mtruncatula_HM053,Algeria,,36.302,7.15,,Tiffin,WGS
Medicago truncatula,DZA309-A,Mtruncatula_HM054,Algeria,,34.803,-1.674,,Tiffin,WGS
Medicago truncatula,DZA326,Mtruncatula_HM055,Algeria,,35.216,-0.984,,Tiffin,WGS
