Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,
Amaranthus tuberculatus,15,Atuberculatus_15_10,,,42.62,-82.49,,Wright,WGS,
Amaranthus tuberculatus,15,Atuberculatus_15_11,,,42.62,-82.49,,Wright,WGS,
Amaranthus tuberculatus,15,Atuberculatus_15_3,,,42.62,-82.49,,Wright,WGS,
Amaranthus tuberculatus,15,Atuberculatus_15_5,,,42.62,-82.49,,Wright,WGS,
Amaranthus tuberculatus,15,Atuberculatus_15_6,,,42.62,-82.49,,Wright,WGS,
Amaranthus tuberculatus,15,Atuberculatus_15_7,,,42.62,-82.49,,Wright,WGS,
Amaranthus tuberculatus,16,Atuberculatus_16_1,,,42.56,-82.51,,Wright,WGS,
Amaranthus tuberculatus,16,Atuberculatus_16_2,,,42.56,-82.51,,Wright,WGS,
Amaranthus tuberculatus,16,Atuberculatus_16_3,,,42.56,-82.51,,Wright,WGS,
Amaranthus tuberculatus,16,Atuberculatus_16_5,,,42.56,-82.51,,Wright,WGS,
Amaranthus tuberculatus,16,Atuberculatus_16_6,,,42.56,-82.51,,Wright,WGS,
Amaranthus tuberculatus,16,Atuberculatus_16_7,,,42.56,-82.51,,Wright,WGS,
Amaranthus tuberculatus,16,Atuberculatus_16_8,,,42.56,-82.51,,Wright,WGS,
Amaranthus tuberculatus,16,Atuberculatus_16_9,,,42.56,-82.51,,Wright,WGS,
Amaranthus tuberculatus,17,Atuberculatus_17_1,,,42.56,-82.51,,Wright,WGS,
Amaranthus tuberculatus,17,Atuberculatus_17_10,,,42.56,-82.51,,Wright,WGS,
Amaranthus tuberculatus,17,Atuberculatus_17_11,,,42.56,-82.51,,Wright,WGS,
Amaranthus tuberculatus,17,Atuberculatus_17_3,,,42.56,-82.51,,Wright,WGS,
Amaranthus tuberculatus,17,Atuberculatus_17_4,,,42.56,-82.51,,Wright,WGS,
Amaranthus tuberculatus,17,Atuberculatus_17_6,,,42.56,-82.51,,Wright,WGS,
Amaranthus tuberculatus,17,Atuberculatus_17_7,,,42.56,-82.51,,Wright,WGS,
Amaranthus tuberculatus,17,Atuberculatus_17_9,,,42.56,-82.51,,Wright,WGS,
Amaranthus tuberculatus,18,Atuberculatus_18_1,,,42.57,-82.49,,Wright,WGS,
Amaranthus tuberculatus,18,Atuberculatus_18_11,,,42.57,-82.49,,Wright,WGS,
Amaranthus tuberculatus,18,Atuberculatus_18_15,,,42.57,-82.49,,Wright,WGS,
Amaranthus tuberculatus,18,Atuberculatus_18_16,,,42.57,-82.49,,Wright,WGS,
Amaranthus tuberculatus,18,Atuberculatus_18_2,,,42.57,-82.49,,Wright,WGS,
Amaranthus tuberculatus,18,Atuberculatus_18_3,,,42.57,-82.49,,Wright,WGS,
Amaranthus tuberculatus,19,Atuberculatus_19_1_1,,,42.57,-82.48,,Wright,WGS,
Amaranthus tuberculatus,19,Atuberculatus_19_1_3,,,42.57,-82.48,,Wright,WGS,
Amaranthus tuberculatus,19,Atuberculatus_19_3,,,42.57,-82.48,,Wright,WGS,
Amaranthus tuberculatus,19,Atuberculatus_19_4,,,42.57,-82.48,,Wright,WGS,
Amaranthus tuberculatus,19,Atuberculatus_19_5,,,42.57,-82.48,,Wright,WGS,
Amaranthus tuberculatus,19,Atuberculatus_19_6,,,42.57,-82.48,,Wright,WGS,
Amaranthus tuberculatus,27,Atuberculatus_27_10,,,42.57,-82.49,,Wright,WGS,
Amaranthus tuberculatus,27,Atuberculatus_27_2,,,42.57,-82.49,,Wright,WGS,
Amaranthus tuberculatus,27,Atuberculatus_27_3,,,42.57,-82.49,,Wright,WGS,
Amaranthus tuberculatus,27,Atuberculatus_27_4,,,42.57,-82.49,,Wright,WGS,
Amaranthus tuberculatus,27,Atuberculatus_27_5,,,42.57,-82.49,,Wright,WGS,
