Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type
Capsella rubella,,Capsella_rubella_1_690,,,36.15,-5.58,,Weigel,WGS
Capsella rubella,,Capsella_rubella_2_697,,,,,,Weigel,WGS
Capsella rubella,,Capsella_rubella_3_698,,,,,,Weigel,WGS
Capsella rubella,,Capsella_rubella_6_879,,,35.29,24.42,,Weigel,WGS
Capsella rubella,,Capsella_rubella_7_907,,,39.666667,19.8,,Weigel,WGS
Capsella rubella,,Capsella_rubella_8_925,,,39.666667,20.85,,Weigel,WGS
Capsella rubella,,Capsella_rubella_9_984,,,39.5,3,,Weigel,WGS
Capsella rubella,,Capsella_rubella_12_1208,,,28.316667,-16.566667,,Weigel,WGS
Capsella rubella,,Capsella_rubella_13_1209,,,28.316667,-16.566667,,Weigel,WGS
Capsella rubella,,Capsella_rubella_14,,,,,,Weigel,WGS
Capsella rubella,,Capsella_rubella_15_1311,,,42.8833333,-0.1,,Weigel,WGS
Capsella rubella,,Capsella_rubella_16_1377,,,,,,Weigel,WGS
Capsella rubella,,Capsella_rubella_18_1453,,,43.466667,11.033333,,Weigel,WGS
Capsella rubella,,Capsella_rubella_20_774,,,41.8333333,16,,Weigel,WGS
Capsella rubella,,Capsella_rubella_22_86IT1,,,40.62,14.37,,Weigel,WGS
Capsella rubella,,Capsella_rubella_30_1574-1,,,41.6,8.983333,,Weigel,WGS
Capsella rubella,,Capsella_rubella_36_1407-8,,,35.183333,24.233333,,Weigel,WGS
Capsella rubella,,Capsella_rubella_38_1504-11,,,28.666667,-17.866667,,Weigel,WGS
Capsella rubella,,Capsella_rubella_40_1575-1,,,41.383333,9.166667,,Weigel,WGS
Capsella rubella,,Capsella_rubella_52_1249-11,,,38.7833333,-9.3833333,,Weigel,WGS
Capsella rubella,,Capsella_rubella_53_1267-15,,,37.933333,-6.883333,,Weigel,WGS
Capsella rubella,,Capsella_rubella_59_987-25,,,45.033333,-0.583333,,Weigel,WGS
Capsella rubella,,Capsella_rubella_63_1245-12,,,39.433333,-6.333333,,Weigel,WGS
Capsella rubella,,Capsella_rubella_64_1354-12,,,45.883333,10.833333,,Weigel,WGS
Capsella rubella,,Capsella_rubella_71_1316-5,,,47.1,4.933333,,Weigel,WGS
Capsella rubella,,Capsella_rubella_73_1321-1,,,46.95,4.3,,Weigel,WGS
Capsella rubella,,Capsella_rubella_77_100.8,,,,,,Weigel,WGS
Capsella rubella,,Capsella_rubella_78_79.1,,,37.7295,21.687317,,Weigel,WGS
Capsella rubella,,Capsella_rubella_79_75.2,,,38.090667,22.171933,,Weigel,WGS
Capsella rubella,,Capsella_rubella_81_80TR1-TS1,,,41.02,28.96,,Weigel,WGS
Capsella rubella,,Capsella_rubella_82_TAAL-1,,,,,,Weigel,WGS
Capsella rubella,,Capsella_rubella_83_39.1,,,37.989117,15.3369,,Weigel,WGS
Capsella rubella,,Capsella_rubella_168_78.1,,,37.69185,21.62535,,Weigel,WGS
Capsella rubella,,Capsella_rubella_171_83.10,,,38.4379,21.4243167,,Weigel,WGS
Capsella rubella,,Capsella_rubella_172_72.12,,,38.1557667,22.7215,,Weigel,WGS
Capsella rubella,,Capsella_rubella_173_34.11,,,38.1605,16.051867,,Weigel,WGS
Capsella rubella,,Capsella_rubella_177,,,,,,Weigel,WGS
Capsella rubella,,Capsella_rubella_180_104.12,,,,,,Weigel,WGS
Capsella rubella,,Capsella_rubella_185_6.26,,,44.56205,0.353967,,Weigel,WGS
Capsella rubella,,Capsella_rubella_188_23.9,,,40.723,15.1951167,,Weigel,WGS
Capsella rubella,,Capsella_rubella_189_22.13,,,41.289667,13.951083,,Weigel,WGS
Capsella rubella,,Capsella_rubella_200_1408,,,35.29,24.42,,Weigel,WGS
Capsella rubella,,Capsella_rubella_207_1411-3,,,35.29,24.42,,Weigel,WGS
Capsella rubella,,Capsella_rubella_210_1314-10,,,47.316667,5.016667,,Weigel,WGS
Capsella rubella,,Capsella_rubella_212_1319-3,,,47.366667,3.983334,,Weigel,WGS
Capsella rubella,,Capsella_rubella_234_77.16,,,38.1753675,20.5692179,,Weigel,WGS
