Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,
Arabidopsis thaliana,,Athal_AMBR-A,France,16,43.7332,1.8239,136,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_ANGE-A,France,16,43.912,1.6566,169,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_ANGE-B,France,16,43.9121,1.6569,168,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_AULO-A,France,15,43.1906,0.8158,339,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_AURE-B,France,16,43.478,1.4522,197,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_AUZE-A,France,16,43.5278,1.4916,200,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_AXLE-A,France,10,42.7242,1.834,734,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_AXLE-B,France,16,42.7246,1.8335,733,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_BACC-B,France,16,43.3122,1.5152,201,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_BACC-C,France,8,43.3119,1.5155,201,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_BACC-D,France,8,43.3119,1.5156,201,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_BACC-E,France,8,43.3119,1.5157,201,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_BACC-F,France,8,43.3119,1.5155,201,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_BAGNB-A,France,16,43.0757,0.1518,532,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_BAGNB-B,France,16,43.0765,0.1515,530,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_BANI-A,France,5,43.0429,0.2347,488,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_BANI-B,France,16,43.0436,0.2343,487,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_BANI-C,France,16,43.0436,0.2343,487,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_BARA-B,France,16,44.2697,2.4263,756,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_BARA-C,France,16,44.2708,2.4276,756,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_BARC-A,France,16,43.362,0.3877,218,Roux,PoolSeq,
