Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,
Populus tremula,Alvdalen,Ptremula_SwAsp064,Sweden,,61.15,14.15,,Ingvarsson,WGS,
Populus tremula,Alvdalen,Ptremula_SwAsp063,Sweden,,61.18,14.2,,Ingvarsson,WGS,
Populus tremula,Alvdalen,Ptremula_SwAsp067,Sweden,,61.2,13.81,,Ingvarsson,WGS,
Populus tremula,Alvdalen,Ptremula_SwAsp066,Sweden,,61.2,13.81,,Ingvarsson,WGS,
Populus tremula,Alvdalen,Ptremula_SwAsp062,Sweden,,61.22,14.17,,Ingvarsson,WGS,
Populus tremula,Alvdalen,Ptremula_SwAsp065,Sweden,,61.22,13.9,,Ingvarsson,WGS,
Populus tremula,Alvdalen,Ptremula_SwAsp061,Sweden,,61.22,14.06,,Ingvarsson,WGS,
Populus tremula,Alvdalen,Ptremula_SwAsp070,Sweden,,61.26,14.07,,Ingvarsson,WGS,
Populus tremula,Alvdalen,Ptremula_SwAsp069,Sweden,,61.28,13.81,,Ingvarsson,WGS,
Populus tremula,Alvdalen,Ptremula_SwAsp068,Sweden,,61.3,13.72,,Ingvarsson,WGS,
Populus tremula,Arjeplog,Ptremula_SwAsp103,Sweden,,66.02,18.57,,Ingvarsson,WGS,
Populus tremula,Arjeplog,Ptremula_SwAsp106,Sweden,,66.23,18.61,,Ingvarsson,WGS,
Populus tremula,Arjeplog,Ptremula_SwAsp110,Sweden,,66.26,18,,Ingvarsson,WGS,
Populus tremula,Arjeplog,Ptremula_SwAsp109,Sweden,,66.36,18.18,,Ingvarsson,WGS,
Populus tremula,Brunsberg,Ptremula_SwAsp046,Sweden,,59.63,12.97,,Ingvarsson,WGS,
Populus tremula,Brunsberg,Ptremula_SwAsp044,Sweden,,59.63,12.95,,Ingvarsson,WGS,
Populus tremula,Brunsberg,Ptremula_SwAsp041,Sweden,,59.63,12.95,,Ingvarsson,WGS,
Populus tremula,Brunsberg,Ptremula_SwAsp047,Sweden,,59.63,12.96,,Ingvarsson,WGS,
Populus tremula,Brunsberg,Ptremula_SwAsp049,Sweden,,59.63,12.96,,Ingvarsson,WGS,
Populus tremula,Brunsberg,Ptremula_SwAsp043,Sweden,,59.63,12.96,,Ingvarsson,WGS,
Populus tremula,Brunsberg,Ptremula_SwAsp042,Sweden,,59.63,12.95,,Ingvarsson,WGS,
Populus tremula,Brunsberg,Ptremula_SwAsp050,Sweden,,59.63,12.96,,Ingvarsson,WGS,
Populus tremula,Brunsberg,Ptremula_SwAsp045,Sweden,,59.64,12.94,,Ingvarsson,WGS,
Populus tremula,Delsbo,Ptremula_SwAsp078,Sweden,,61.69,16.67,,Ingvarsson,WGS,
Populus tremula,Delsbo,Ptremula_SwAsp077,Sweden,,61.69,16.71,,Ingvarsson,WGS,
Populus tremula,Delsbo,Ptremula_SwAsp079,Sweden,,61.7,16.64,,Ingvarsson,WGS,
Populus tremula,Delsbo,Ptremula_SwAsp076,Sweden,,61.71,16.73,,Ingvarsson,WGS,
Populus tremula,Delsbo,Ptremula_SwAsp074,Sweden,,61.72,16.75,,Ingvarsson,WGS,
Populus tremula,Delsbo,Ptremula_SwAsp073,Sweden,,61.75,16.78,,Ingvarsson,WGS,
