Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type
Arabidopsis thaliana,,Athaliana_SWE_991,Sweden,,55.3833,14.05,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_992,Sweden,,55.3833,14.05,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_997,Sweden,,55.3833,14.05,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_1002,Sweden,,55.3833,14.05,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_1006,Sweden,,55.3833,14.05,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_1061,Sweden,,55.7167,14.1333,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_1062,Sweden,,55.7167,14.1333,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_1063,Sweden,,55.7167,14.1333,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_1066,Sweden,,55.7167,14.1333,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_1070,Sweden,,55.7167,14.1333,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_1158,Sweden,,56.7,16.5167,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_1166,Sweden,,56.7,16.5167,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_1254,Sweden,,59.4333,17.0167,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_1257,Sweden,,59.4333,17.0167,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_1313,Sweden,,59.5667,16.8667,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_1317,Sweden,,59.5667,16.8667,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_1552,Sweden,,63.0833,18.3667,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_5830,Sweden,,56.3333,15.9667,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_5831,Sweden,,56.3333,15.9667,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_5832,Sweden,,56.3333,15.9667,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_5836,Sweden,,55.86,13.51,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_5856,Sweden,,63.0167,17.4914,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_5860,Sweden,,62.6814,18.0165,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_5865,Sweden,,55.76,14.12,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_5867,Sweden,,55.76,14.12,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6009,Sweden,,62.877,18.177,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6010,Sweden,,62.877,18.177,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6011,Sweden,,62.877,18.177,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6012,Sweden,,62.877,18.177,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6013,Sweden,,62.877,18.177,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6016,Sweden,,62.9,18.4,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6017,Sweden,,62.9,18.4,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6019,Sweden,,56.06,14.29,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6020,Sweden,,56.06,14.29,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6021,Sweden,,56.06,14.29,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6022,Sweden,,56.06,14.29,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6023,Sweden,,55.7509,13.3712,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6024,Sweden,,55.7509,13.3712,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6025,Sweden,,62.6437,17.7339,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6030,Sweden,,62.806,18.1896,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6034,Sweden,,56.1,13.74,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6035,Sweden,,56.1,13.74,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6036,Sweden,,56.1,13.74,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6038,Sweden,,56.1,13.74,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6039,Sweden,,56.1,13.74,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6040,Sweden,,55.66,13.4,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6041,Sweden,,56.0328,14.775,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6042,Sweden,,56.09,13.9,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6043,Sweden,,62.801,18.079,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6046,Sweden,,62.801,18.079,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6064,Sweden,,62.9513,18.2763,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6069,Sweden,,62.9513,18.2763,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6070,Sweden,,62.9308,18.3448,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6071,Sweden,,62.9308,18.3448,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6073,Sweden,,56.1481,15.8155,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6074,Sweden,,56.4573,16.1308,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6076,Sweden,,55.6942,13.4504,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6077,Sweden,,55.6942,13.4504,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6085,Sweden,,55.7097,13.2145,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6086,Sweden,,58.9,11.2,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6087,Sweden,,56.4666,16.1284,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6088,Sweden,,56.4666,16.1284,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6090,Sweden,,55.6525,13.2197,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6091,Sweden,,55.6525,13.215,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6092,Sweden,,55.6514,13.2233,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6094,Sweden,,55.6494,13.2147,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6095,Sweden,,55.6486,13.2161,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6096,Sweden,,55.6472,13.2225,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6097,Sweden,,55.6481,13.2264,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6098,Sweden,,55.6561,13.2178,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6099,Sweden,,55.6575,13.2386,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6100,Sweden,,55.6,13.2,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6101,Sweden,,55.6,13.2,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6102,Sweden,,55.6,13.2,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6104,Sweden,,55.7,13.2,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6105,Sweden,,55.7967,13.1211,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6106,Sweden,,55.7931,13.1186,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6107,Sweden,,55.7942,13.1222,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6108,Sweden,,55.7989,13.1206,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6109,Sweden,,55.7936,13.1233,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6111,Sweden,,55.7989,13.1219,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6112,Sweden,,55.7967,13.1044,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6113,Sweden,,55.8078,13.1028,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6114,Sweden,,55.8097,13.1342,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6115,Sweden,,55.8,13.1367,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6118,Sweden,,55.7,13.2,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6119,Sweden,,55.7,13.2,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6122,Sweden,,55.8364,13.3075,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6123,Sweden,,55.8369,13.3033,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6124,Sweden,,55.8378,13.3092,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6125,Sweden,,55.8403,13.3106,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6126,Sweden,,55.8411,13.3047,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6128,Sweden,,55.8397,13.2881,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6131,Sweden,,55.8369,13.3181,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6132,Sweden,,55.8386,13.3186,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6133,Sweden,,55.8364,13.2906,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6134,Sweden,,55.8383,13.2906,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6136,Sweden,,55.9336,13.5519,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6137,Sweden,,55.9419,13.5603,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6138,Sweden,,55.9403,13.5511,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6140,Sweden,,55.9392,13.5539,,Weigel,WGS
Arabidopsis thaliana,,Athaliana_SWE_6141,Sweden,,55.9414,13.5542,,Weigel,WGS
