Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,,
Arabidopsis thaliana,,Athaliana_IBE_6933,ESP,,41.59,2.49,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_6961,ESP,,38.3333,-3.53333,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_6970,ESP,,41.7194,2.93056,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_6971,ESP,,41.7194,2.93056,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_7077,POR,,40.12,-8.25,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_7081,POR,,40.2077,-8.42639,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_7327,ESP,,41.7833,3.03333,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_7328,ESP,,41.7833,3.03333,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_8264,ESP,,41.6833,2.8,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_8357,ESP,,41.5,2.25,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9506,POR,,40.11,-7.47,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9507,POR,,38.45,-7.5,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9508,POR,,40.04,-7.11,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9509,POR,,39.29,-7.4,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9510,POR,,38.75,-7.59,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9511,POR,,38.53,-8.02,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9512,POR,,38.22,-7.84,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9513,ESP,,38.77,-4.07,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9514,ESP,,39.15,-4.54,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9515,ESP,,39.72,-6.89,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9517,ESP,,42.19,-7.8,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9518,ESP,,39.88,-0.36,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9519,ESP,,41.94,2.64,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9520,ESP,,41.7,-3.68,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9521,ESP,,41.43,2.13,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9522,ESP,,36.52,-5.27,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9523,ESP,,38.37,-2.66,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9524,ESP,,42.52,-0.56,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9525,ESP,,42.49,0.54,,Weigel,WGS,,
