Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type
Pinus sylvestris,Baza,Psylvestris_Baza-17,Spain,,37.766667,-2.816667,,Pyhajarvi,Capture
Pinus sylvestris,Baza,Psylvestris_Baza-19,Spain,,37.766667,-2.816667,,Pyhajarvi,Capture
Pinus sylvestris,Baza,Psylvestris_Baza-21,Spain,,37.766667,-2.816667,,Pyhajarvi,Capture
Pinus sylvestris,Baza,Psylvestris_Baza-24,Spain,,37.766667,-2.816667,,Pyhajarvi,Capture
Pinus sylvestris,Baza,Psylvestris_Baza-27,Spain,,37.766667,-2.816667,,Pyhajarvi,Capture
Pinus sylvestris,Baza,Psylvestris_Baza-30,Spain,,37.766667,-2.816667,,Pyhajarvi,Capture
Pinus sylvestris,Baza,Psylvestris_Baza-5,Spain,,37.766667,-2.816667,,Pyhajarvi,Capture
Pinus sylvestris,Inari,Psylvestris_Inari-115,Finland,,68.9,27.166667,,Pyhajarvi,Capture
Pinus sylvestris,Inari,Psylvestris_Inari-13,Finland,,68.9,27.166667,,Pyhajarvi,Capture
Pinus sylvestris,Inari,Psylvestris_Inari-144,Finland,,68.9,27.166667,,Pyhajarvi,Capture
Pinus sylvestris,Inari,Psylvestris_Inari-187,Finland,,68.9,27.166667,,Pyhajarvi,Capture
Pinus sylvestris,Inari,Psylvestris_Inari-21,Finland,,68.9,27.166667,,Pyhajarvi,Capture
Pinus sylvestris,Inari,Psylvestris_Inari-22,Finland,,68.9,27.166667,,Pyhajarvi,Capture
Pinus sylvestris,Inari,Psylvestris_Inari-50,Finland,,68.9,27.166667,,Pyhajarvi,Capture
Pinus sylvestris,Inari,Psylvestris_Inari-56,Finland,,68.9,27.166667,,Pyhajarvi,Capture
Pinus sylvestris,Inari,Psylvestris_Inari-8,Finland,,68.9,27.166667,,Pyhajarvi,Capture
Pinus sylvestris,Kalvia,Psylvestris_Kalvia-11,Finland,,63.85,23.45,,Pyhajarvi,Capture
Pinus sylvestris,Kalvia,Psylvestris_Kalvia-152,Finland,,63.85,23.45,,Pyhajarvi,Capture
Pinus sylvestris,Kalvia,Psylvestris_Kalvia-158,Finland,,63.85,23.45,,Pyhajarvi,Capture
Pinus sylvestris,Kalvia,Psylvestris_Kalvia-200,Finland,,63.85,23.45,,Pyhajarvi,Capture
Pinus sylvestris,Kalvia,Psylvestris_Kalvia-235,Finland,,63.85,23.45,,Pyhajarvi,Capture
Pinus sylvestris,Kalvia,Psylvestris_Kalvia-254,Finland,,63.85,23.45,,Pyhajarvi,Capture
Pinus sylvestris,Kalvia,Psylvestris_Kalvia-40,Finland,,63.85,23.45,,Pyhajarvi,Capture
Pinus sylvestris,Kalvia,Psylvestris_Kalvia-76,Finland,,63.85,23.45,,Pyhajarvi,Capture
Pinus sylvestris,Kolari,Psylvestris_Kol-173,Finland,,67.166667,24.5,,Pyhajarvi,Capture
Pinus sylvestris,Kolari,Psylvestris_Kol-32,Finland,,67.166667,24.5,,Pyhajarvi,Capture
Pinus sylvestris,Kolari,Psylvestris_Kolari-122,Finland,,67.166667,24.5,,Pyhajarvi,Capture
Pinus sylvestris,Kolari,Psylvestris_Kolari-128,Finland,,67.166667,24.5,,Pyhajarvi,Capture
Pinus sylvestris,Kolari,Psylvestris_Kolari-191,Finland,,67.166667,24.5,,Pyhajarvi,Capture
Pinus sylvestris,Kolari,Psylvestris_Kolari-199,Finland,,67.166667,24.5,,Pyhajarvi,Capture
Pinus sylvestris,Kolari,Psylvestris_Kolari-218,Finland,,67.166667,24.5,,Pyhajarvi,Capture
Pinus sylvestris,Kalsnava,Psylvestris_Latvia-1,Latvia,,56.716667,26.016667,,Pyhajarvi,Capture
Pinus sylvestris,Kalsnava,Psylvestris_Latvia-2,Latvia,,56.716667,26.016667,,Pyhajarvi,Capture
Pinus sylvestris,Kalsnava,Psylvestris_Latvia-3,Latvia,,56.716667,26.016667,,Pyhajarvi,Capture
Pinus sylvestris,Kalsnava,Psylvestris_Latvia-5,Latvia,,56.716667,26.016667,,Pyhajarvi,Capture
Pinus sylvestris,Kalsnava,Psylvestris_Latvia-6,Latvia,,56.716667,26.016667,,Pyhajarvi,Capture
Pinus sylvestris,Kalsnava,Psylvestris_Latvia-8,Latvia,,56.716667,26.016667,,Pyhajarvi,Capture
Pinus sylvestris,Kalsnava,Psylvestris_Latvia-9,Latvia,,56.716667,26.016667,,Pyhajarvi,Capture
Pinus sylvestris,Megdurechensk,Psylvestris_Megdurechensk-10,Russia,,63.666667,50.816667,,Pyhajarvi,Capture
Pinus sylvestris,Megdurechensk,Psylvestris_Megdurechensk-1,Russia,,63.666667,50.816667,,Pyhajarvi,Capture
Pinus sylvestris,Megdurechensk,Psylvestris_Megdurechensk-2,Russia,,63.666667,50.816667,,Pyhajarvi,Capture
Pinus sylvestris,Megdurechensk,Psylvestris_Megdurechensk-4,Russia,,63.666667,50.816667,,Pyhajarvi,Capture
Pinus sylvestris,Megdurechensk,Psylvestris_Megdurechensk-5,Russia,,63.666667,50.816667,,Pyhajarvi,Capture
Pinus sylvestris,Megdurechensk,Psylvestris_Megdurechensk-6,Russia,,63.666667,50.816667,,Pyhajarvi,Capture
Pinus sylvestris,Megdurechensk,Psylvestris_Megdurechensk-7,Russia,,63.666667,50.816667,,Pyhajarvi,Capture
Pinus sylvestris,Megdurechensk,Psylvestris_Megdurechensk-8,Russia,,63.666667,50.816667,,Pyhajarvi,Capture
Pinus sylvestris,Penzenskaja,Psylvestris_Penzenskaja-10,Russia,,53.45,46.1,,Pyhajarvi,Capture
Pinus sylvestris,Penzenskaja,Psylvestris_Penzenskaja-1,Russia,,53.45,46.1,,Pyhajarvi,Capture
Pinus sylvestris,Penzenskaja,Psylvestris_Penzenskaja-2,Russia,,53.45,46.1,,Pyhajarvi,Capture
Pinus sylvestris,Penzenskaja,Psylvestris_Penzenskaja-3,Russia,,53.45,46.1,,Pyhajarvi,Capture
Pinus sylvestris,Penzenskaja,Psylvestris_Penzenskaja-5,Russia,,53.45,46.1,,Pyhajarvi,Capture
Pinus sylvestris,Penzenskaja,Psylvestris_Penzenskaja-6,Russia,,53.45,46.1,,Pyhajarvi,Capture
Pinus sylvestris,Penzenskaja,Psylvestris_Penzenskaja-7,Russia,,53.45,46.1,,Pyhajarvi,Capture
Pinus sylvestris,Penzenskaja,Psylvestris_Penzenskaja-8,Russia,,53.45,46.1,,Pyhajarvi,Capture
Pinus sylvestris,Penzenskaja,Psylvestris_Penzenskaja-9,Russia,,53.45,46.1,,Pyhajarvi,Capture
Pinus sylvestris,Punkaharju,Psylvestris_Punkaharju-203,Finland,,61.75,29.383333,,Pyhajarvi,Capture
Pinus sylvestris,Punkaharju,Psylvestris_Punkaharju-251,Finland,,61.75,29.383333,,Pyhajarvi,Capture
Pinus sylvestris,Punkaharju,Psylvestris_Punkaharju-2,Finland,,61.75,29.383333,,Pyhajarvi,Capture
Pinus sylvestris,Punkaharju,Psylvestris_Punkaharju-301,Finland,,61.75,29.383333,,Pyhajarvi,Capture
Pinus sylvestris,Punkaharju,Psylvestris_Punkaharju-375,Finland,,61.75,29.383333,,Pyhajarvi,Capture
Pinus sylvestris,Punkaharju,Psylvestris_Punkaharju-382,Finland,,61.75,29.383333,,Pyhajarvi,Capture
Pinus sylvestris,Punkaharju,Psylvestris_Punkaharju-390,Finland,,61.75,29.383333,,Pyhajarvi,Capture
