Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,,
Populus deltoides,47,Pdeltoides_UF0001,USA,,30.58,-96.42,69,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0002,USA,,32.92,-91.08,32,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0003,USA,,32.62,-91.02,33,Kirst,Capture,,
Populus deltoides,22,Pdeltoides_UF0009,USA,,33.75,-91.13,45,Kirst,Capture,,
Populus deltoides,47,Pdeltoides_UF0012,USA,,30.58,-96.42,69,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0013,USA,,32.62,-91,34,Kirst,Capture,,
Populus deltoides,23,Pdeltoides_UF0014,USA,,34.72,-90.57,55,Kirst,Capture,,
Populus deltoides,19,Pdeltoides_UF0015,USA,,32.03,-91.09,28,Kirst,Capture,,
Populus deltoides,19,Pdeltoides_UF0016,USA,,32.03,-91.09,28,Kirst,Capture,,
Populus deltoides,46,Pdeltoides_UF0018,USA,,30.25,-96.17,69,Kirst,Capture,,
Populus deltoides,23,Pdeltoides_UF0022,USA,,35.25,-90.17,66,Kirst,Capture,,
Populus deltoides,21,Pdeltoides_UF0023,USA,,33.25,-91,33,Kirst,Capture,,
Populus deltoides,21,Pdeltoides_UF0024,USA,,33.25,-91,33,Kirst,Capture,,
Populus deltoides,31,Pdeltoides_UF0025,USA,,32.5,-96.27,116,Kirst,Capture,,
Populus deltoides,45,Pdeltoides_UF0026,USA,,29.15,-95.45,10,Kirst,Capture,,
Populus deltoides,21,Pdeltoides_UF0027,USA,,33.25,-91,33,Kirst,Capture,,
Populus deltoides,21,Pdeltoides_UF0028,USA,,33.25,-91,33,Kirst,Capture,,
Populus deltoides,21,Pdeltoides_UF0029,USA,,33.25,-91,33,Kirst,Capture,,
Populus deltoides,18,Pdeltoides_UF0030,USA,,34.32,-88.42,87,Kirst,Capture,,
Populus deltoides,15,Pdeltoides_UF0031,USA,,32.52,-87.88,35,Kirst,Capture,,
