Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Waterfall,Eucalyptus_magnificata_Waterfall_ENE0033,Australia,,-30.51688,151.97357,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Waterfall,Eucalyptus_magnificata_Waterfall_ENE0032,Australia,,-30.51712,151.97308,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Waterfall,Eucalyptus_magnificata_Waterfall_ENE0031,Australia,,-30.517,151.97298,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Waterfall,Eucalyptus_magnificata_Waterfall_ENE0030,Australia,,-30.51709,151.97293,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Terralto,Eucalyptus_magnificata_Terralto_TLC963C,Australia,,-30.83926,151.83008,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Terralto,Eucalyptus_magnificata_Terralto_TLC963A,Australia,,-30.83926,151.83008,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Terralto,Eucalyptus_magnificata_Terralto_TLC953E,Australia,,-30.831462,151.821772,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Terralto,Eucalyptus_magnificata_Terralto_TLC953C,Australia,,-30.831462,151.821772,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Yarraford,Eucalyptus_magnificata_Yarraford_TLC952-5,Australia,,-29.621148,151.783008,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Yarraford,Eucalyptus_magnificata_Yarraford_TLC952-4,Australia,,-29.621148,151.783008,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Yarraford,Eucalyptus_magnificata_Yarraford_TLC952-3,Australia,,-29.621148,151.783008,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
