Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,
Panicum hallii,Texas,Phallii_ABI1_Texas,USA,,31.86,-99.44,,Lowry,WGS,
Panicum hallii,Texas,Phallii_ALI4_Texas,USA,,35.57,-101.7,,Lowry,WGS,
Panicum hallii,Oklahoma,Phallii_ARB1_Oklahoma,USA,,34.43,-97.15,,Lowry,WGS,
Panicum hallii,Arizona,Phallii_ARR2-1_Arizona,USA,,31.61,-110.51,,Lowry,WGS,
Panicum hallii,New Mexico,Phallii_ART1_New_Mexico,USA,,32.86,-104.93,,Lowry,WGS,
Panicum hallii,Oklahoma,Phallii_BME2_Oklahoma,USA,,36.88,-102.89,,Lowry,WGS,
Panicum hallii,Texas,Phallii_BUS3_Texas,USA,,35.26,-102.06,,Lowry,WGS,
Panicum hallii,Texas,Phallii_CBS.1.F_Texas,USA,,31.06,-98.48,,Lowry,WGS,
Panicum hallii,Texas,Phallii_CCG5_Texas,USA,,34.45,-101.08,,Lowry,WGS,
Panicum hallii,Texas,Phallii_CCL.1.F_Texas,USA,,34.44,-101.08,,Lowry,WGS,
Panicum hallii,Texas,Phallii_CCO.3.F1_Texas,USA,,34.44,-101.06,,Lowry,WGS,
Panicum hallii,Texas,Phallii_CHA2_Texas,USA,,35.61,-102.3,,Lowry,WGS,
Panicum hallii,Arizona,Phallii_CKR15_Arizona,USA,,34.23,-112.32,,Lowry,WGS,
Panicum hallii,New Mexico,Phallii_CLA-1A_New_Mexico,USA,,36.64,-103.04,,Lowry,WGS,
Panicum hallii,Texas,Phallii_CLD3_Texas,USA,,34.8,-101.44,,Lowry,WGS,
Panicum hallii,Texas,Phallii_COM12_Texas,USA,,29.7,-101.21,,Lowry,WGS,
Panicum hallii,Arizona,Phallii_COR-18_Arizona,USA,,34.29,-112.18,,Lowry,WGS,
Panicum hallii,Texas,Phallii_CRC1_Texas,USA,,35.53,-102.27,,Lowry,WGS,
