Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type
Picea abies,,Pabies_BRI_11,,,53.26,34.42,149,Milesi,Capture
Picea abies,,Pabies_BRI_13,,,53.26,34.42,149,Milesi,Capture
Picea abies,,Pabies_BRI_14,,,53.26,34.42,149,Milesi,Capture
Picea abies,,Pabies_BRI_16,,,53.26,34.42,149,Milesi,Capture
Picea abies,,Pabies_BRI_18,,,53.26,34.42,149,Milesi,Capture
Picea abies,,Pabies_BRI_19,,,53.26,34.42,149,Milesi,Capture
Picea abies,,Pabies_BRI_20,,,53.26,34.42,149,Milesi,Capture
Picea abies,,Pabies_BRI_2,,,53.26,34.42,149,Milesi,Capture
Picea abies,,Pabies_BRI_4,,,53.26,34.42,149,Milesi,Capture
Picea abies,,Pabies_BRI_5,,,53.26,34.42,149,Milesi,Capture
Picea abies,,Pabies_BRI_7,,,53.26,34.42,149,Milesi,Capture
Picea abies,,Pabies_BRI_8,,,53.26,34.42,149,Milesi,Capture
Picea abies,,Pabies_FIPA17_12,,,66.44,26.69,161,Milesi,Capture
Picea abies,,Pabies_FIPA17_17,,,66.44,26.69,161,Milesi,Capture
Picea abies,,Pabies_FIPA17_18,,,66.44,26.69,161,Milesi,Capture
Picea abies,,Pabies_FIPA17_20,,,66.44,26.69,161,Milesi,Capture
Picea abies,,Pabies_FIPA17_21,,,66.44,26.69,161,Milesi,Capture
Picea abies,,Pabies_FIPA17_22,,,66.44,26.69,161,Milesi,Capture
Picea abies,,Pabies_FIPA17_23,,,66.44,26.69,161,Milesi,Capture
Picea abies,,Pabies_FIPA17_24,,,66.44,26.69,161,Milesi,Capture
Picea abies,,Pabies_FIPA17_3,,,66.44,26.69,161,Milesi,Capture
Picea abies,,Pabies_FIPA17_4,,,66.44,26.69,161,Milesi,Capture
Picea abies,,Pabies_FIPA17_6,,,66.44,26.69,161,Milesi,Capture
Picea abies,,Pabies_FIPA17_9,,,66.44,26.69,161,Milesi,Capture
Picea abies,,Pabies_GERH_10,,,47.46,12.26,1300,Milesi,Capture
Picea abies,,Pabies_GERH_1,,,47.46,12.26,1300,Milesi,Capture
Picea abies,,Pabies_GERH_2,,,47.46,12.26,1300,Milesi,Capture
Picea abies,,Pabies_GERH_3,,,47.46,12.26,1300,Milesi,Capture
Picea abies,,Pabies_GERH_4,,,47.46,12.26,1300,Milesi,Capture
Picea abies,,Pabies_GERH_5,,,47.46,12.26,1300,Milesi,Capture
Picea abies,,Pabies_GERH_6,,,47.46,12.26,1300,Milesi,Capture
Picea abies,,Pabies_GERH_7,,,47.46,12.26,1300,Milesi,Capture
Picea abies,,Pabies_GERH_8,,,47.46,12.26,1300,Milesi,Capture
Picea abies,,Pabies_GERH_9,,,47.46,12.26,1300,Milesi,Capture
Picea abies,,Pabies_GERL_10,,,47,12.26,730,Milesi,Capture
Picea abies,,Pabies_GERL_1,,,47,12.26,730,Milesi,Capture
Picea abies,,Pabies_GERL_2,,,47,12.26,730,Milesi,Capture
Picea abies,,Pabies_GERL_3,,,47,12.26,730,Milesi,Capture
Picea abies,,Pabies_GERL_5,,,47,12.26,730,Milesi,Capture
Picea abies,,Pabies_GERL_6,,,47,12.26,730,Milesi,Capture
Picea abies,,Pabies_GERL_8,,,47,12.26,730,Milesi,Capture
Picea abies,,Pabies_GERL_9,,,47,12.26,730,Milesi,Capture
Picea abies,,Pabies_ITAH_10,,,42.27,13.6,1200,Milesi,Capture
Picea abies,,Pabies_ITAH_11,,,42.27,13.6,1200,Milesi,Capture
Picea abies,,Pabies_ITAH_1,,,42.27,13.6,1200,Milesi,Capture
Picea abies,,Pabies_ITAH_2,,,42.27,13.6,1200,Milesi,Capture
Picea abies,,Pabies_ITAH_3,,,42.27,13.6,1200,Milesi,Capture
Picea abies,,Pabies_ITAH_4,,,42.27,13.6,1200,Milesi,Capture
Picea abies,,Pabies_ITAH_5,,,42.27,13.6,1200,Milesi,Capture
Picea abies,,Pabies_ITAH_6,,,42.27,13.6,1200,Milesi,Capture
Picea abies,,Pabies_ITAH_7,,,42.27,13.6,1200,Milesi,Capture
Picea abies,,Pabies_ITAH_8,,,42.27,13.6,1200,Milesi,Capture
Picea abies,,Pabies_ITAH_9,,,42.27,13.6,1200,Milesi,Capture
Picea abies,,Pabies_ITAL_11,,,41.81,13.6,300,Milesi,Capture
Picea abies,,Pabies_ITAL_1,,,41.81,13.6,300,Milesi,Capture
Picea abies,,Pabies_ITAL_2,,,41.81,13.6,300,Milesi,Capture
Picea abies,,Pabies_ITAL_3,,,41.81,13.6,300,Milesi,Capture
Picea abies,,Pabies_ITAL_5,,,41.81,13.6,300,Milesi,Capture
Picea abies,,Pabies_ITAL_6,,,41.81,13.6,300,Milesi,Capture
Picea abies,,Pabies_ITAL_7,,,41.81,13.6,300,Milesi,Capture
Picea abies,,Pabies_ITAL_9,,,41.81,13.6,300,Milesi,Capture
Picea abies,,Pabies_SEPA15_10,,,64.75,18.29,300,Milesi,Capture
Picea abies,,Pabies_SEPA15_12,,,64.75,18.29,300,Milesi,Capture
Picea abies,,Pabies_SEPA15_20,,,64.75,18.29,300,Milesi,Capture
Picea abies,,Pabies_SEPA15_23,,,64.75,18.29,300,Milesi,Capture
Picea abies,,Pabies_SEPA15_5,,,64.75,18.29,300,Milesi,Capture
Picea abies,,Pabies_SEPA15_7,,,64.75,18.29,300,Milesi,Capture
Picea abies,,Pabies_SEPA15_8,,,64.75,18.29,300,Milesi,Capture
Picea abies,,Pabies_SWE_10,,,61.6,12.92,400,Milesi,Capture
Picea abies,,Pabies_SWE_11,,,61.6,12.92,400,Milesi,Capture
Picea abies,,Pabies_SWE_12,,,61.6,12.92,400,Milesi,Capture
Picea abies,,Pabies_SWE_13,,,61.6,12.92,400,Milesi,Capture
Picea abies,,Pabies_SWE_15,,,61.6,12.92,400,Milesi,Capture
Picea abies,,Pabies_SWE_1,,,61.6,12.92,400,Milesi,Capture
Picea abies,,Pabies_SWE_2,,,62.06,12.92,1000,Milesi,Capture
Picea abies,,Pabies_SWE_3,,,62.06,12.92,1000,Milesi,Capture
Picea abies,,Pabies_SWE_4,,,62.06,12.92,1000,Milesi,Capture
Picea abies,,Pabies_SWE_5,,,62.06,12.92,1000,Milesi,Capture
Picea abies,,Pabies_SWE_8,,,62.06,12.92,1000,Milesi,Capture
Picea abies,,Pabies_SWE_9,,,62.06,12.92,1000,Milesi,Capture
