Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type
Picea obovata,UPU_119901_P002_WA07,Pobovata_BER_3,,,63.93,65.03,32,Milesi,Capture
Picea obovata,UPU_119901_P002_WH09,Pobovata_BOR_1,,,61.76,90.05,38,Milesi,Capture
Picea obovata,UPU_119901_P001_WA10,Pobovata_BOR_10,,,61.76,90.05,38,Milesi,Capture
Picea obovata,UPU_119901_P001_WB08,Pobovata_BOR_11,,,61.76,90.05,38,Milesi,Capture
Picea obovata,UPU_119901_P001_WC07,Pobovata_BOR_12,,,61.76,90.05,38,Milesi,Capture
Picea obovata,UPU_119901_P002_WA02,Pobovata_BOR_17,,,61.76,90.05,38,Milesi,Capture
Picea obovata,UPU_119901_P002_WD04,Pobovata_BOR_18,,,61.76,90.05,38,Milesi,Capture
Picea obovata,UPU_119901_P002_WE09,Pobovata_BOR_19,,,61.76,90.05,38,Milesi,Capture
Picea obovata,UPU_119901_P003_WA05,Pobovata_BOR_2,,,61.76,90.05,38,Milesi,Capture
Picea obovata,UPU_119901_P003_WA06,Pobovata_BOR_3,,,61.76,90.05,38,Milesi,Capture
Picea obovata,UPU_119901_P003_WE01,Pobovata_BOR_4,,,61.76,90.05,38,Milesi,Capture
Picea obovata,UPU_119901_P003_WF01,Pobovata_BOR_5,,,61.76,90.05,38,Milesi,Capture
Picea obovata,UPU_119901_P003_WF06,Pobovata_BOR_6,,,61.76,90.05,38,Milesi,Capture
Picea obovata,UPU_119901_P003_WG01,Pobovata_BOR_7,,,61.76,90.05,38,Milesi,Capture
Picea obovata,UPU_119901_P003_WH02,Pobovata_BOR_9,,,61.76,90.05,38,Milesi,Capture
Picea obovata,UPU_119901_P002_WB07,Pobovata_EKA_1,,,56.5,60.35,277,Milesi,Capture
Picea obovata,UPU_119901_P001_WA07,Pobovata_EKA_11,,,56.5,60.35,277,Milesi,Capture
Picea obovata,UPU_119901_P001_WB02,Pobovata_EKA_12,,,56.5,60.35,277,Milesi,Capture
Picea obovata,UPU_119901_P001_WD12,Pobovata_EKA_14,,,56.5,60.35,277,Milesi,Capture
Picea obovata,UPU_119901_P001_WE02,Pobovata_EKA_15,,,56.5,60.35,277,Milesi,Capture
Picea obovata,UPU_119901_P001_WE07,Pobovata_EKA_16,,,56.5,60.35,277,Milesi,Capture
Picea obovata,UPU_119901_P001_WG05,Pobovata_EKA_17,,,56.5,60.35,277,Milesi,Capture
Picea obovata,UPU_119901_P002_WA01,Pobovata_EKA_18,,,56.5,60.35,277,Milesi,Capture
Picea obovata,UPU_119901_P002_WA05,Pobovata_EKA_19,,,56.5,60.35,277,Milesi,Capture
Picea obovata,UPU_119901_P002_WE05,Pobovata_EKA_2,,,56.5,60.35,277,Milesi,Capture
Picea obovata,UPU_119901_P002_WB12,Pobovata_EKA_20,,,56.5,60.35,277,Milesi,Capture
Picea obovata,UPU_119901_P002_WG01,Pobovata_EKA_3,,,56.5,60.35,277,Milesi,Capture
Picea obovata,UPU_119901_P002_WH03,Pobovata_EKA_4,,,56.5,60.35,277,Milesi,Capture
Picea obovata,UPU_119901_P002_WH07,Pobovata_EKA_6,,,56.5,60.35,277,Milesi,Capture
Picea obovata,UPU_119901_P002_WH11,Pobovata_EKA_7,,,56.5,60.35,277,Milesi,Capture
Picea obovata,UPU_119901_P003_WB01,Pobovata_EKA_8,,,56.5,60.35,277,Milesi,Capture
Picea obovata,UPU_119901_P003_WE03,Pobovata_EKA_9,,,56.5,60.35,277,Milesi,Capture
Picea obovata,UPU_119901_P001_WF02,Pobovata_ENI_13,,,58.45,92.2,71,Milesi,Capture
Picea obovata,UPU_119901_P003_WA10,Pobovata_ENI_14,,,58.45,92.2,71,Milesi,Capture
