Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,
Pseudotsuga menziesii Coastal,Western BC,DF_p1,,80,49.78,-126.63,225,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Lower Mainland,DF_p2,,80,50.32,-122.73,550,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Western BC,DF_p6,,80,52.28,-125.75,460,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Western BC,DF_p10,,80,50,-125.33,152,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Western BC,DF_p11,,80,48.95,-123.97,732,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Western BC,DF_p12,,80,53.5,-127.83,450,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Washington,DF_p13,,80,47.33,-121.5,1070,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Oregon,DF_p14,,80,43.08,-124.08,196,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Washington,DF_p15,,80,47.22,-123.88,100,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Oregon,DF_p16,,80,44.56,-122.51,664,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,California,DF_p17,,80,41.53,-122.96,1372,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Western BC,DF_p23,,80,50.33,-126.88,61,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Western BC,DF_p24,,80,49.33,-125.25,457,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Lower Mainland,DF_p25,,80,49.28,-122.48,152,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Western BC,DF_p26,,80,48.87,-124.37,244,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Western BC,DF_p27,,80,51.63,-126.68,480,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Western BC,DF_p28,,80,50.45,-127.5,500,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Washington,DF_p29,,80,47.67,-122.17,300,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Lower Mainland,DF_p30,,80,50.53,-122.5,350,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Lower Mainland,DF_p31,,80,50,-121.53,350,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Western BC,DF_p32,,80,50,-124.25,900,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,California,DF_p50,,80,40.79,-123.54,1067,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,California,DF_p51,,80,39.86,-122.78,1676,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,California,DF_p52,,80,39.38,-120.67,914,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,California,DF_p53,,80,38.39,-119.99,1219,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Oregon,DF_p72,,80,42.19,-122.53,1212,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Oregon,DF_p73,,80,43.04,-122.32,1569,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Oregon,DF_p74,,80,45.07,-121.84,1205,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Washington,DF_p75,,80,46.98,-120.89,1311,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Washington,DF_p76,,80,46.28,-121.73,1112,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Washington,DF_p77,,80,47.16,-121.75,702,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Oregon,DF_p78,,80,43.31,-122.94,578,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Oregon,DF_p79,,80,42.29,-124.15,533,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Oregon,DF_p80,,80,43.7,-123.33,408,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Oregon,DF_p81,,80,44.24,-124,232,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Oregon,DF_p82,,80,45.16,-123.8,254,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Oregon,DF_p83,,80,45.72,-123.01,346,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Coastal,Washington,DF_p84,,80,48.29,-121.54,235,CoAdapTree,PoolSeq,
