Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,
Pseudotsuga menziesii Interior,Eastern BC,DF_p3,,80,50.54,-115.62,1525,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,North BC,DF_p4,,80,52.04,-122.33,900,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,Tri-state,DF_p5,,80,49.02,-119.05,853,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,North BC,DF_p7,,80,53.98,-122.13,684,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,North BC,DF_p8,,80,54.35,-124.38,850,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,North BC,DF_p9,,80,53.12,-119.72,780,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,Tri-state,DF_p18,,80,48.33,-116.83,823,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,Tri-state,DF_p19,,80,45.83,-116,686,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,Montana,DF_p20,,80,48.08,-114.5,1341,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,Eastern BC,DF_p33,,80,51.03,-116.25,1524,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,Eastern BC,DF_p34,,80,49.8,-114.78,1615,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,North BC,DF_p35,,80,52,-122,732,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,North BC,DF_p36,,80,52,-123.75,1047,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,Eastern BC,DF_p37,,80,51.18,-115.55,1370,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,North BC,DF_p38,,80,52.92,-118.03,1025,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,North BC,DF_p39,,80,52.68,-122.1,610,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,West Interior,DF_p40,,80,51.72,-124.71,1250,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,North BC,DF_p41,,80,53.41,-120.4,760,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,North BC,DF_p42,,80,53.55,-123.6,975,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,South Central BC,DF_p43,,80,51.52,-120.83,750,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,South Central BC,DF_p44,,80,50.71,-120.87,800,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,South Central BC,DF_p45,,80,51.77,-119.78,850,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,Eastern BC,DF_p46,,80,49.21,-117.13,1500,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,Eastern BC,DF_p47,,80,51.52,-117.47,1100,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,North BC,DF_p48,,80,54.83,-122.84,850,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,South Central BC,DF_p49,,80,50.58,-119.34,525,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,Tri-state,DF_p54,,80,44.75,-118.33,1606,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,Tri-state,DF_p55,,80,45.92,-115.92,716,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,Tri-state,DF_p56,,80,48.35,-117.25,853,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,Montana,DF_p57,,80,48.5,-115.83,1158,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,Montana,DF_p58,,80,46.58,-114.58,1341,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,Tri-state,DF_p59,,80,47.92,-116.58,1250,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,Tri-state,DF_p60,,80,46.83,-116.17,1036,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,Tri-state,DF_p61,,80,45.67,-116.17,1737,CoAdapTree,PoolSeq,
Pseudotsuga menziesii Interior,Montana,DF_p62,,80,47.25,-113.83,1158,CoAdapTree,PoolSeq,
