Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p98,,40,54.3333,-106.6333,537,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p73,,40,44.42,-84.68,359,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p97,,40,56.1167,-116.9167,636,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p60,,40,46.72,-84.39,203,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p100,,40,55.7667,-97.8167,205,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p42,,40,45.5085,-76.9384,281,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p103,,40,53.1167,-106.0667,485,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p48,,40,46.74,-75.88,248,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p79,,40,46.7,-92.5,377,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p31,,40,48.72,-71.87,111,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p93,,40,50.55,-96.15,236,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p14,,40,47.3793,-66.6966,313,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p70,,40,45.581,-89.753,471,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p8,,40,45.9627,-64.8854,94,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p95,,40,57.3333,-111.3833,367,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p57,,40,45.1333,-81.45,192,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p96,,40,54.7667,-101.6333,319,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p51,,40,47.9666,-75.3666,472,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p83,,40,49.5,-95.75,327,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,JP_p26,,40,45.375,-70.27,461,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
