Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p272,,40,48.28,-116.92,701,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p281,,40,48.75,-118,610,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p285,,40,48.83,-118.83,1311,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p287,,40,47.35,-115.43,1219,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p291,,40,46.93,-113.72,1244,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p295,,40,46.87,-116.32,884,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p298,,40,46.03,-115.33,1463,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p303,,40,47.58,-116.58,1067,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p306,,40,47.25,-115.05,853,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p307,,40,47.67,-115.45,792,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p315,,40,47.22,-113.58,1311,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p316,,40,47.62,-113.75,1170,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p321,,40,47.75,-116.2,1311,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p323,,40,48.47,-119.05,1280,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p334,,40,46.77,-114.35,1402,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p335,,40,47.08,-114.13,1676,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p338,,40,48.55,-116.2,1250,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p340,,40,48,-118,914,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p347,,40,48.77,-116.45,1615,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p349,,40,46.55,-114.63,1646,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p350,,40,48.17,-113.55,1829,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
