Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type
Pinus contorta,Pi.1,Pi.1A3,USA,,55.06,-118.73,,Yeaman,Capture
Pinus contorta,Pi.1,Pi.1A2,USA,,55.06,-118.73,,Yeaman,Capture
Pinus contorta,Pi.10,Pi.10A3,USA,,51.33,-114.58,,Yeaman,Capture
Pinus contorta,Pi.10,Pi.10A4,USA,,51.33,-114.58,,Yeaman,Capture
Pinus contorta,Pi.100,Pi.100A4,USA,,56.87,-116.1,,Yeaman,Capture
Pinus contorta,Pi.101,Pi.101A3,USA,,54.59,-117.15,,Yeaman,Capture
Pinus contorta,Pi.101,Pi.101A4,USA,,54.59,-117.15,,Yeaman,Capture
Pinus contorta,Pi.102,Pi.102A3,USA,,55.91,-116.56,,Yeaman,Capture
Pinus contorta,Pi.102,Pi.102A2,USA,,55.91,-116.56,,Yeaman,Capture
Pinus contorta,Pi.103,Pi.103A3,USA,,55.06,-128.25,,Yeaman,Capture
Pinus contorta,Pi.103,Pi.103A4,USA,,55.06,-128.25,,Yeaman,Capture
Pinus contorta,Pi.103,Pi.103A5,USA,,55.06,-128.25,,Yeaman,Capture
Pinus contorta,Pi.104,Pi.104A3,USA,,50.91,-120.08,,Yeaman,Capture
Pinus contorta,Pi.104,Pi.104A4,USA,,50.91,-120.08,,Yeaman,Capture
Pinus contorta,Pi.105,Pi.105A4,USA,,55.58,-123.58,,Yeaman,Capture
Pinus contorta,Pi.105,Pi.105A5,USA,,55.58,-123.58,,Yeaman,Capture
Pinus contorta,Pi.106,Pi.106A5,USA,,54.96,-127.3,,Yeaman,Capture
Pinus contorta,Pi.106,Pi.106A4,USA,,54.96,-127.3,,Yeaman,Capture
Pinus contorta,Pi.106,Pi.106A6,USA,,54.96,-127.3,,Yeaman,Capture
Pinus contorta,Pi.107,Pi.107A6,USA,,50.35,-118.03,,Yeaman,Capture
Pinus contorta,Pi.107,Pi.107A4,USA,,50.35,-118.03,,Yeaman,Capture
Pinus contorta,Pi.107,Pi.107A5,USA,,50.35,-118.03,,Yeaman,Capture
Pinus contorta,Pi.108,Pi.108A4,USA,,49.25,-115.7,,Yeaman,Capture
Pinus contorta,Pi.108,Pi.108A5,USA,,49.25,-115.7,,Yeaman,Capture
Pinus contorta,Pi.108,Pi.108A3,USA,,49.25,-115.7,,Yeaman,Capture
Pinus contorta,Pi.109,Pi.109A3,USA,,49.58,-115.83,,Yeaman,Capture
Pinus contorta,Pi.109,Pi.109A4,USA,,49.58,-115.83,,Yeaman,Capture
Pinus contorta,Pi.11,Pi.11A3,USA,,52.16,-115.66,,Yeaman,Capture
Pinus contorta,Pi.11,Pi.11A4,USA,,52.16,-115.66,,Yeaman,Capture
Pinus contorta,Pi.110,Pi.110A4,USA,,51.5,-117,,Yeaman,Capture
Pinus contorta,Pi.110,Pi.110A6,USA,,51.5,-117,,Yeaman,Capture
Pinus contorta,Pi.111,Pi.111A2,USA,,52.16,-124.18,,Yeaman,Capture
Pinus contorta,Pi.111,Pi.111A3,USA,,52.16,-124.18,,Yeaman,Capture
Pinus contorta,Pi.112,Pi.112A4,USA,,49.1,-115.93,,Yeaman,Capture
Pinus contorta,Pi.112,Pi.112A3,USA,,49.1,-115.93,,Yeaman,Capture
Pinus contorta,Pi.113,Pi.113A4,USA,,50.46,-118.95,,Yeaman,Capture
Pinus contorta,Pi.113,Pi.113A3,USA,,50.46,-118.95,,Yeaman,Capture
Pinus contorta,Pi.113,Pi.113A5,USA,,50.46,-118.95,,Yeaman,Capture
Pinus contorta,Pi.114,Pi.114A4,USA,,51.21,-119.75,,Yeaman,Capture
Pinus contorta,Pi.114,Pi.114A6,USA,,51.21,-119.75,,Yeaman,Capture
Pinus contorta,Pi.114,Pi.114A5,USA,,51.21,-119.75,,Yeaman,Capture
