pop	prec_clim_change	tmax_clim_change
-110.01_49.65	0.0874890639126397	0.0195235662758072
-110.13_49.63	0.0896909698835954	0.0199639474699983
-110.23_49.63	0.0920396695859481	0.0184960101560279
-110.69_56.19	0.0365516391178646	0.0427170009197098
-110.78_56.63	0.0383131976405572	0.0446252943447021
-110.83_54.45	0.0544604743483042	0.0375791952376439
-110.85_54.33	0.0595982549472009	0.0375791952376439
-111.28_54.71	0.0465336128528637	0.0415426381821576
-111.29_54.8	0.0438913256877169	0.0427903852653672
-111.38_58.2	0.00249549782977688	0.0571027615134511
-111.42_58.29	0.00513782585259503	0.0587909066853502
-111.65_59.86	0.0168839115172963	0.0766263277892582
-111.71_59.88	0.0138007624576161	0.0761859465950671
-111.88_56.9	0.0390471669440162	0.0481483438982312
-112.25_55.5	0.0460932722572221	0.0393407200144084
-112.42_57.05	0.0361112897301804	0.0465336265149963
-112.47_55.39	0.0437445704861535	0.0368452373983093
-112.62_55.22	0.0435977382249228	0.0368452373983093
-112.95_54.81	0.0477079627040401	0.0290651588166152
-112.96_54.91	0.050497043600584	0.0308266835933798
-113.21_55.85	0.0576899872518735	0.0403682761341878
-113.33_55.59	0.0525522021276609	0.0390471325516143
-113.67_54.87	0.0613597797239654	0.0347901143411
-113.77_55.06	0.0679654976368325	0.0358176704608793
-113.79_55.52	0.0619470092119354	0.0416894319566528
-113.83_55.94	0.0551944916201131	0.0418362134481582
-113.8_58.73	0.00278951581590112	0.0591578911215883
-113.95_49.86	0.0534329182285249	0.0149729606024987
-114.08_54.53	0.069433434950803	0.0306798988695086
-114.13_50.05	0.0302395086677916	0.0168812791106603
-114.33_49.39	0.0549008555424954	0.0167344853792633
-114.39_56.63	0.0349369388446461	0.0474877999914986
-114.48_50.79	0.0199639474699983	0.0184960101560279
-114.55_56.63	0.0358177020087968	0.0477813876266856
-114.58_50.27	0.00499098686749958	0.0212850910525717
-114.63_51.75	0.0524053621087456	0.0300927149363945
-114.66_54.36	0.0377259889690409	0.0300927149363945
-114.6_49.65	0.0403682761341878	0.0204043286641895
-114.6_50.37	0.0108627361233814	0.0211382973211747
-114.75_49.25	0.0528457433029367	0.0139454044827194
-114.75_51.05	0.0431573570307317	0.0206979161269835
-114.76_50.96	0.0457996441958785	0.0210649066400693
-114.7_49.28	0.0503502498691869	0.0139454044827194
-114.83_50.01	0.00733968656985232	0.022019059709557
-114.86_49.81	0.0236337907549245	0.0189363969098881
-114.88_55.19	0.0562219991250688	0.0416894441965552
-114.91_50.92	0.0618001609181566	0.0204777315420883
-114.9_51.05	0.060038636141392	0.0217988755125456
-114.9_52.78	0.0237805844863215	0.0347901143411
-115.01_55.66	0.0463868599786057	0.0450656755388933
-115.05_49.41	0.0217254722467629	0.0201107412013954
-115.21_54.47	0.0331753832957325	0.0337625582213207
-115.22_57.59	0.00278909809288112	0.050643837331981
-115.26_54.02	0.0271568403084536	0.0293587462794093
-115.28_56.63	0.0296523946832333	0.053873299422716
-115.33_51.67	0.0913057009289629	0.0320744397272135
-115.33_56.46	0.0311203350140864	0.0540200931541131
-115.36_51.52	0.103489580634918	0.0322212335017088
-115.53_52.96	0.0449188818074962	0.0321478366144611
-115.55_49.01	0.0108627361233814	0.0204043286641895
-115.57_58.12	0.00572496392865056	0.0509374247947751
-115.5_52.55	0.0732500719671262	0.031560652250365
-115.62_54.49	0.0259824904572772	0.0396343074772025
-115.73_54.71	0.0434509444935257	0.0463868191214667
-115.78_52.91	0.0672315289798473	0.0320010334445561
-115.79_55.85	0.057836832054829	0.0456528504644814
-115.7_50.23	0.0738372468927144	0.0209915035897776
-115.83_57.75	0.00660572567055513	0.0535797119599219
-115.88_50.5	0.0961498940650654	0.0170280778414497
-115.9_50.45	0.0984985937674182	0.0170280728420574
-115.9_54.34	0.0154133417966899	0.0389003388202173
-116.02_52.34	0.115379872878079	0.0292119525480122
-116.08_52.55	0.101140880932565	0.0305331140594489
-116.09_52.53	0.106278661531462	0.0300927149363945
-116.12_53.3	0.0440381194191139	0.034643320609703
-116.13_49.2	0.00851403642102869	0.0274504277712477
-116.25_58.38	0.00411022930612319	0.050497043600584
-116.26_50.96	0.104076755560506	0.0217254722467629
-116.26_56.64	0.0399279769992052	0.0541668868855101
-116.5_49.38	0.00998197373499916	0.0290651588166152
-116.68_54.3	0.0082204489582346	0.0412490385225701
-116.7_53.46	0.050497043600584	0.0381663701632321
-116.86_55.67	0.0493236929682307	0.0455060567330844
-116.89_58.03	0.00543137444023422	0.0535797119599219
