Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type
Picea glauca x engelmannii,Sp.303,Sp.303A3,Canada,,58.2,-111.38,,Yeaman,Capture
Picea glauca x engelmannii,Sp.303,Sp.303A4,Canada,,58.2,-111.38,,Yeaman,Capture
Picea glauca x engelmannii,Sp.304,Sp.304A5,Canada,,59.88,-111.71,,Yeaman,Capture
Picea glauca x engelmannii,Sp.304,Sp.304A6,Canada,,59.88,-111.71,,Yeaman,Capture
Picea glauca x engelmannii,Sp.306,Sp.306A3,Canada,,54.53,-114.08,,Yeaman,Capture
Picea glauca x engelmannii,Sp.306,Sp.306A4,Canada,,54.53,-114.08,,Yeaman,Capture
Picea glauca x engelmannii,Sp.307,Sp.307A4,Canada,,56.98,-117.83,,Yeaman,Capture
Picea glauca x engelmannii,Sp.307,Sp.307A3,Canada,,56.98,-117.83,,Yeaman,Capture
Picea glauca x engelmannii,Sp.308,Sp.308A3,Canada,,55.58,-119.58,,Yeaman,Capture
Picea glauca x engelmannii,Sp.308,Sp.308A4,Canada,,55.58,-119.58,,Yeaman,Capture
Picea glauca x engelmannii,Sp.309,Sp.309A4,Canada,,54.45,-118.63,,Yeaman,Capture
Picea glauca x engelmannii,Sp.309,Sp.309A3,Canada,,54.45,-118.63,,Yeaman,Capture
Picea glauca x engelmannii,Sp.310,Sp.310A3,Canada,,54.63,-118.95,,Yeaman,Capture
Picea glauca x engelmannii,Sp.310,Sp.310A4,Canada,,54.63,-118.95,,Yeaman,Capture
Picea glauca x engelmannii,Sp.311,Sp.311A6,Canada,,53.31,-117.85,,Yeaman,Capture
Picea glauca x engelmannii,Sp.311,Sp.311A7,Canada,,53.31,-117.85,,Yeaman,Capture
Picea glauca x engelmannii,Sp.311,Sp.311A8,Canada,,53.31,-117.85,,Yeaman,Capture
Picea glauca x engelmannii,Sp.313,Sp.313A4,Canada,,54.36,-114.66,,Yeaman,Capture
Picea glauca x engelmannii,Sp.314,Sp.314A5,Canada,,52.55,-115.5,,Yeaman,Capture
Picea glauca x engelmannii,Sp.314,Sp.314A8,Canada,,52.55,-115.5,,Yeaman,Capture
Picea glauca x engelmannii,Sp.315,Sp.315A7,Canada,,52.91,-115.78,,Yeaman,Capture
Picea glauca x engelmannii,Sp.315,Sp.315A8,Canada,,52.91,-115.78,,Yeaman,Capture
Picea glauca x engelmannii,Sp.315,Sp.315A6,Canada,,52.91,-115.78,,Yeaman,Capture
Picea glauca x engelmannii,Sp.316,Sp.316A6,Canada,,49.63,-110.23,,Yeaman,Capture
Picea glauca x engelmannii,Sp.316,Sp.316A5,Canada,,49.63,-110.23,,Yeaman,Capture
Picea glauca x engelmannii,Sp.317,Sp.317A3,Canada,,59.53,-117.21,,Yeaman,Capture
Picea glauca x engelmannii,Sp.317,Sp.317A4,Canada,,59.53,-117.21,,Yeaman,Capture
Picea glauca x engelmannii,Sp.319,Sp.319A3,Canada,,55.16,-117.66,,Yeaman,Capture
Picea glauca x engelmannii,Sp.319,Sp.319A4,Canada,,55.16,-117.66,,Yeaman,Capture
Picea glauca x engelmannii,Sp.320,Sp.320A4,Canada,,55.68,-119.66,,Yeaman,Capture
Picea glauca x engelmannii,Sp.320,Sp.320A3,Canada,,55.68,-119.66,,Yeaman,Capture
Picea glauca x engelmannii,Sp.321,Sp.321A4,Canada,,55.66,-118.83,,Yeaman,Capture
Picea glauca x engelmannii,Sp.321,Sp.321A3,Canada,,55.66,-118.83,,Yeaman,Capture
Picea glauca x engelmannii,Sp.322,Sp.322A3,Canada,,55.41,-119.83,,Yeaman,Capture
Picea glauca x engelmannii,Sp.322,Sp.322A4,Canada,,55.41,-119.83,,Yeaman,Capture
Picea glauca x engelmannii,Sp.323,Sp.323A3,Canada,,56.05,-118.08,,Yeaman,Capture
Picea glauca x engelmannii,Sp.323,Sp.323A4,Canada,,56.05,-118.08,,Yeaman,Capture
Picea glauca x engelmannii,Sp.324,Sp.324A4,Canada,,59.75,-117.33,,Yeaman,Capture
Picea glauca x engelmannii,Sp.324,Sp.324A3,Canada,,59.75,-117.33,,Yeaman,Capture
Picea glauca x engelmannii,Sp.325,Sp.325A6,Canada,,57.75,-115.83,,Yeaman,Capture
Picea glauca x engelmannii,Sp.325,Sp.325A5,Canada,,57.75,-115.83,,Yeaman,Capture
Picea glauca x engelmannii,Sp.325,Sp.325A8,Canada,,57.75,-115.83,,Yeaman,Capture
Picea glauca x engelmannii,Sp.325,Sp.325A7,Canada,,57.75,-115.83,,Yeaman,Capture
Picea glauca x engelmannii,Sp.326,Sp.326A3,Canada,,53.66,-117.5,,Yeaman,Capture
Picea glauca x engelmannii,Sp.326,Sp.326A4,Canada,,53.66,-117.5,,Yeaman,Capture
Picea glauca x engelmannii,Sp.327,Sp.327A3,Canada,,54.33,-110.85,,Yeaman,Capture
Picea glauca x engelmannii,Sp.327,Sp.327A4,Canada,,54.33,-110.85,,Yeaman,Capture
Picea glauca x engelmannii,Sp.328,Sp.328A3,Canada,,54.91,-112.96,,Yeaman,Capture
Picea glauca x engelmannii,Sp.328,Sp.328A4,Canada,,54.91,-112.96,,Yeaman,Capture
Picea glauca x engelmannii,Sp.329,Sp.329A3,Canada,,51.05,-114.75,,Yeaman,Capture
Picea glauca x engelmannii,Sp.329,Sp.329A4,Canada,,51.05,-114.75,,Yeaman,Capture
Picea glauca x engelmannii,Sp.330,Sp.330A3,Canada,,50.05,-114.13,,Yeaman,Capture
Picea glauca x engelmannii,Sp.330,Sp.330A4,Canada,,50.05,-114.13,,Yeaman,Capture
Picea glauca x engelmannii,Sp.331,Sp.331A3,Canada,,53.46,-116.7,,Yeaman,Capture
Picea glauca x engelmannii,Sp.331,Sp.331A4,Canada,,53.46,-116.7,,Yeaman,Capture
Picea glauca x engelmannii,Sp.332,Sp.332A3,Canada,,52.55,-116.08,,Yeaman,Capture
Picea glauca x engelmannii,Sp.332,Sp.332A4,Canada,,52.55,-116.08,,Yeaman,Capture
Picea glauca x engelmannii,Sp.333,Sp.333A3,Canada,,58.75,-117.41,,Yeaman,Capture
Picea glauca x engelmannii,Sp.333,Sp.333A4,Canada,,58.75,-117.41,,Yeaman,Capture
Picea glauca x engelmannii,Sp.334,Sp.334A3,Canada,,58.38,-118.86,,Yeaman,Capture
Picea glauca x engelmannii,Sp.334,Sp.334A4,Canada,,58.38,-118.86,,Yeaman,Capture
Picea glauca x engelmannii,Sp.335,Sp.335A3,Canada,,52.96,-115.53,,Yeaman,Capture
Picea glauca x engelmannii,Sp.335,Sp.335A4,Canada,,52.96,-115.53,,Yeaman,Capture
Picea glauca x engelmannii,Sp.336,Sp.336A4,Canada,,54.3,-116.68,,Yeaman,Capture
Picea glauca x engelmannii,Sp.336,Sp.336A3,Canada,,54.3,-116.68,,Yeaman,Capture
Picea glauca x engelmannii,Sp.337,Sp.337A3,Canada,,49.63,-110.13,,Yeaman,Capture
