Pi.1	55.06	-118.73
Pi.2	49.66	-110.25
Pi.3	54.71	-115.41
Pi.5	54.65	-118.83
Pi.6	54.41	-119
Pi.7	55.63	-113.45
Pi.8	59.7	-117.98
Pi.9	49.91	-114.08
Pi.10	51.33	-114.58
Pi.11	52.16	-115.66
Pi.12	53.08	-115.5
Pi.13	55.25	-116.16
Pi.14	56.16	-118.5
Pi.15	56.25	-118.91
Pi.16	55.08	-119.41
Pi.17	52.63	-116.08
Pi.18	53.2	-117.53
Pi.19	53.73	-116.58
Pi.20	53.5	-116.16
Pi.21	50.66	-115.08
Pi.22	58.75	-115.41
Pi.23	54.03	-116.06
Pi.24	52.96	-115.91
Pi.25	53.88	-116.83
Pi.26	58.63	-118.8
Pi.27	56.55	-119.86
Pi.28	57.76	-116.53
Pi.29	53.68	-115.83
Pi.30	49.66	-110.16
Pi.31	49.63	-114.63
Pi.32	49.86	-114
Pi.33	55.71	-119.66
Pi.34	56.7	-119.2
Pi.35	56.33	-119.95
Pi.36	54.76	-119.4
Pi.37	54.55	-119.2
Pi.38	52.65	-115.1
Pi.39	52.5	-115.51
Pi.40	52.07	-115.48
Pi.41	52.17	-115.43
Pi.42	51.95	-115.21
Pi.43	57.72	-119.54
Pi.44	53.94	-119.31
Pi.45	53.91	-118.91
Pi.46	53.83	-119.61
Pi.47	54.26	-116.86
Pi.48	58.56	-119.3
Pi.49	57.28	-118.4
Pi.50	57.23	-118.25
Pi.51	54.36	-116.18
Pi.52	55.01	-115.17
Pi.53	54.83	-116.44
Pi.54	52.5	-116.02
Pi.55	55.52	-113.97
Pi.56	49.73	-114.44
Pi.57	56.63	-119.2
Pi.58	57.32	-118.96
Pi.59	54.74	-117.39
Pi.60	54.4	-115.56
Pi.61	52.13	-116.85
Pi.62	52.1	-116.56
Pi.63	54.73	-115.9
Pi.64	51.57	-114.62
Pi.65	51.13	-114.62
Pi.66	53.05	-117.39
Pi.67	49.57	-114.73
Pi.68	53.33	-117.03
Pi.69	52.95	-116.4
Pi.70	53.27	-116.66
Pi.71	53.03	-117.37
Pi.72	53.12	-117.15
Pi.73	50.15	-114.48
Pi.74	52.93	-117.32
Pi.75	53.05	-116.03
Pi.76	53.75	-116.89
Pi.77	56.46	-117.39
Pi.78	53.67	-117.45
Pi.79	52.27	-115.06
Pi.80	54.37	-116.77
Pi.81	53.58	-117.01
Pi.82	50.89	-114.7
Pi.83	51.7	-115.21
Pi.84	49.39	-114.33
Pi.85	50.96	-114.9
Pi.86	57.68	-115.71
Pi.87	49.04	-113.53
Pi.88	49.61	-110.32
Pi.89	55.65	-119.27
Pi.90	53.76	-117.69
Pi.91	53.76	-117.2
Pi.92	52.07	-115.98
Pi.93	52.04	-115.93
Pi.94	49.64	-110.3
Pi.95	58.65	-117.47
Pi.96	51.03	-114.77
Pi.97	51.48	-115.17
Pi.98	51.46	-114.73
Pi.99	56.92	-115.78
Pi.100	56.87	-116.1
Pi.101	54.59	-117.15
Pi.102	55.91	-116.56
Pi.103	55.06	-128.25
Pi.104	50.91	-120.08
Pi.105	55.58	-123.58
Pi.106	54.96	-127.3
Pi.107	50.35	-118.03
Pi.108	49.25	-115.7
Pi.109	49.58	-115.83
Pi.110	51.5	-117
Pi.111	52.16	-124.18
Pi.112	49.1	-115.93
Pi.113	50.46	-118.95
Pi.114	51.21	-119.75
Pi.115	54.81	-128.28
Pi.116	56.91	-125.05
Pi.117	52.47	-123.79
Pi.118	53.38	-132.03
Pi.119	51.31	-120.32
Pi.120	49.81	-119.98
Pi.121	51.68	-119.58
Pi.122	55.41	-120.75
Pi.123	50.2	-118.46
Pi.124	50.56	-120.33
Pi.125	53.01	-121.11
Pi.126	53.25	-125.2
Pi.127	50.83	-116.5
Pi.128	49.63	-118.63
Pi.129	51	-122.05
Pi.130	51.15	-122.18
Pi.131	55.48	-127.9
Pi.132	54.65	-127.35
Pi.133	54.81	-127.7
Pi.134	54.76	-127
Pi.135	49.26	-120.76
Pi.136	51.07	-118.83
Pi.137	54.31	-123.18
Pi.138	51.48	-120.35
Pi.139	49.4	-115.95
Pi.140	49.71	-118.03
Pi.141	49.36	-116.66
Pi.142	57.5	-130.33
Pi.143	57.12	-130.36
Pi.144	54.81	-128.75
Pi.145	53.86	-122.03
Pi.146	49.21	-117.53
Pi.147	49.26	-117.98
Pi.148	50.48	-115.68
Pi.149	49.5	-120.95
Pi.150	53.53	-123.05
Pi.151	52.08	-121.05
Pi.152	53.06	-121.45
Pi.153	49.31	-116.26
Pi.154	49.61	-115.28
Pi.155	49.88	-119.7
Pi.156	52.86	-119.28
Pi.157	52.76	-119.16
Pi.158	56.92	-121.4
Pi.159	51	-122.68
Pi.160	51.13	-122.58
Pi.161	59.93	-129.1
Pi.162	58.6	-122.71
Pi.163	55.61	-126.05
Pi.164	49.44	-119.1
Pi.165	49.56	-118.88
Pi.166	53.26	-122
Pi.167	53.2	-122.66
Pi.168	55.9	-126.46
Pi.169	51.58	-119.73
Pi.170	49.16	-117.8
Pi.171	59.53	-123.68
Pi.172	49.78	-120.4
Pi.173	49.61	-116.01
Pi.174	49.53	-120.01
Pi.175	51.05	-120.56
Pi.176	50.58	-120.53
Pi.177	49.73	-121.01
Pi.178	49.2	-124.4
Pi.179	51.51	-123.3
Pi.180	56.38	-122.88
Pi.181	55.91	-122.45
Pi.182	49.95	-119.28
Pi.183	50	-115.8
Pi.184	49.05	-116.03
Pi.185	51.61	-119.98
Pi.186	53.78	-121.75
Pi.187	51.16	-117.1
Pi.188	49.05	-115.28
Pi.189	49.38	-115.68
Pi.190	50.5	-122.73
Pi.191	50.26	-122.85
Pi.192	56.45	-125.65
Pi.193	50.7	-119.12
Pi.194	50.7	-119.18
Pi.195	56.06	-120.28
Pi.196	55.33	-121.93
Pi.197	54.91	-121.23
Pi.198	53.63	-124.14
Pi.199	53.61	-124.2
Pi.200	54.7	-124.71
Pi.201	51.83	-121.38
Pi.202	49.43	-115.52
Pi.203	50	-121.08
Pi.204	53.83	-132.1
Pi.205	50.63	-126.91
Pi.206	51.03	-120.31
Pi.207	51.15	-120.18
Pi.208	55.28	-129.15
Pi.209	52.16	-121.65
Pi.210	52.23	-123.95
Pi.211	51.7	-122.61
Pi.212	49.41	-124.65
Pi.213	49.56	-119.05
Pi.214	50.35	-119.05
Pi.215	49.23	-124.66
Pi.216	49.3	-124.51
Pi.217	49.3	-117.91
Pi.218	54.43	-128.58
Pi.219	52.33	-122.41
Pi.220	51.35	-121.38
Pi.221	49.9	-118.2
Pi.222	57.18	-122.65
Pi.223	51.5	-117.16
Pi.224	50.06	-115.85
Pi.225	49.11	-117.58
Pi.226	49.47	-117.85
Pi.227	49.61	-120.43
Pi.228	50.86	-123.38
Pi.229	52.88	-125.66
Pi.230	55.38	-124.71
Pi.231	52.76	-122.13
Pi.232	49.8	-120.7
Pi.233	55.06	-126.28
Pi.234	53.31	-122.5
Pi.235	51.55	-117.2
Pi.236	51.61	-123.1
Pi.237	55.5	-123.79
Pi.238	49.58	-120.38
Pi.239	50.85	-120.4
Pi.240	56.21	-122.1
Pi.241	53.1	-122.76
Pi.242	52.85	-122.61
Pi.243	53.95	-124.6
Pi.244	50.95	-122.3
Pi.245	56.08	-124.31
Pi.246	49.48	-119.31
Pi.247	53.83	-126.55
Pi.248	53.27	-124.5
Pi.249	54.89	-125.21
Pi.250	54.07	-127.24
Pi.251	50.01	-120.11
Pi.252	49.66	-120.55
Pi.253	53.2	-123.35
Pi.254	55.02	-124.23
Pi.255	49.1	-120.37
Pi.256	53.35	-125.64
Pi.257	53.21	-124.39
Pi.258	49.29	-114.9
Pi.259	52.58	-125.53
Pi.260	51.33	-122.55
Pi.261	52.35	-122.95
Pi.262	50.18	-119.67
Pi.263	53.82	-123.12
Pi.264	53.59	-124.85
Pi.265	54.75	-124.12
Pi.266	49.5	-120.65
Pi.267	52.68	-122.26
Pi.268	54.76	-126.88
Pi.269	54.79	-123.81
Pi.270	52.91	-119.3
Pi.271	49.43	-114.78
Pi.272	51.92	-123.43
Pi.273	51.69	-120.06
Pi.274	49.72	-118.93
Pi.275	49.88	-118.92
Pi.276	56.05	-124.59
Pi.277	54.59	-123.17
Pi.278	50.3	-120.89
Pi.279	50.35	-120.65
Pi.280	56.06	-124.56
Pi.281	51.79	-120.53
Pi.581	47.01	-122.87
Pi.582	39.57	-108.19
Pi.583	59.6	-128.54
Pi.584	42.23	-122.34
Pi.580	39.436	-122.958
