pop	V1	lat	long
Pi.1	Pi.1A3	55.06	-118.73
Pi.1	Pi.1A2	55.06	-118.73
Pi.10	Pi.10A3	51.33	-114.58
Pi.10	Pi.10A4	51.33	-114.58
Pi.100	Pi.100A4	56.87	-116.1
Pi.101	Pi.101A3	54.59	-117.15
Pi.101	Pi.101A4	54.59	-117.15
Pi.102	Pi.102A3	55.91	-116.56
Pi.102	Pi.102A2	55.91	-116.56
Pi.103	Pi.103A3	55.06	-128.25
Pi.103	Pi.103A4	55.06	-128.25
Pi.103	Pi.103A5	55.06	-128.25
Pi.104	Pi.104A3	50.91	-120.08
Pi.104	Pi.104A4	50.91	-120.08
Pi.105	Pi.105A4	55.58	-123.58
Pi.105	Pi.105A5	55.58	-123.58
Pi.106	Pi.106A5	54.96	-127.3
Pi.106	Pi.106A4	54.96	-127.3
Pi.106	Pi.106A6	54.96	-127.3
Pi.107	Pi.107A6	50.35	-118.03
Pi.107	Pi.107A4	50.35	-118.03
Pi.107	Pi.107A5	50.35	-118.03
Pi.108	Pi.108A4	49.25	-115.7
Pi.108	Pi.108A5	49.25	-115.7
Pi.108	Pi.108A3	49.25	-115.7
Pi.109	Pi.109A3	49.58	-115.83
Pi.109	Pi.109A4	49.58	-115.83
Pi.11	Pi.11A3	52.16	-115.66
Pi.11	Pi.11A4	52.16	-115.66
Pi.110	Pi.110A4	51.5	-117
Pi.110	Pi.110A6	51.5	-117
Pi.111	Pi.111A2	52.16	-124.18
Pi.111	Pi.111A3	52.16	-124.18
Pi.112	Pi.112A4	49.1	-115.93
Pi.112	Pi.112A3	49.1	-115.93
Pi.113	Pi.113A4	50.46	-118.95
Pi.113	Pi.113A3	50.46	-118.95
Pi.113	Pi.113A5	50.46	-118.95
Pi.114	Pi.114A4	51.21	-119.75
Pi.114	Pi.114A6	51.21	-119.75
Pi.114	Pi.114A5	51.21	-119.75
Pi.115	Pi.115A3	54.81	-128.28
Pi.115	Pi.115A2	54.81	-128.28
Pi.115	Pi.115A4	54.81	-128.28
Pi.116	Pi.116A3	56.91	-125.05
Pi.116	Pi.116A4	56.91	-125.05
Pi.117	Pi.117A4	52.47	-123.79
Pi.117	Pi.117A6	52.47	-123.79
Pi.118	Pi.118A4	53.38	-132.03
Pi.118	Pi.118A3	53.38	-132.03
Pi.119	Pi.119A4	51.31	-120.32
Pi.119	Pi.119A3	51.31	-120.32
Pi.12	Pi.12A4	53.08	-115.5
Pi.12	Pi.12A3	53.08	-115.5
Pi.120	Pi.120A3	49.81	-119.98
Pi.121	Pi.121A4	51.68	-119.58
Pi.121	Pi.121A5	51.68	-119.58
Pi.121	Pi.121A3	51.68	-119.58
Pi.122	Pi.122A3	55.41	-120.75
Pi.122	Pi.122A4	55.41	-120.75
Pi.123	Pi.123A4	50.2	-118.46
Pi.123	Pi.123A3	50.2	-118.46
Pi.123	Pi.123A5	50.2	-118.46
Pi.124	Pi.124A4	50.56	-120.33
Pi.124	Pi.124A3	50.56	-120.33
Pi.124	Pi.124A5	50.56	-120.33
Pi.125	Pi.125A4	53.01	-121.11
Pi.125	Pi.125A5	53.01	-121.11
Pi.126	Pi.126A3	53.25	-125.2
Pi.126	Pi.126A4	53.25	-125.2
Pi.127	Pi.127A4	50.83	-116.5
Pi.128	Pi.128A4	49.63	-118.63
Pi.128	Pi.128A5	49.63	-118.63
Pi.128	Pi.128A6	49.63	-118.63
Pi.129	Pi.129A4	51	-122.05
Pi.129	Pi.129A6	51	-122.05
Pi.129	Pi.129A5	51	-122.05
Pi.130	Pi.130A4	51.15	-122.18
Pi.130	Pi.130A3	51.15	-122.18
Pi.131	Pi.131A3	55.48	-127.9
Pi.132	Pi.132A4	54.65	-127.35
Pi.132	Pi.132A2	54.65	-127.35
Pi.132	Pi.132A3	54.65	-127.35
Pi.133	Pi.133A4	54.81	-127.7
Pi.133	Pi.133A5	54.81	-127.7
Pi.133	Pi.133A3	54.81	-127.7
Pi.134	Pi.134A6	54.76	-127
Pi.135	Pi.135A4	49.26	-120.76
Pi.135	Pi.135A3	49.26	-120.76
Pi.135	Pi.135A5	49.26	-120.76
Pi.136	Pi.136A4	51.07	-118.83
Pi.136	Pi.136A7	51.07	-118.83
Pi.137	Pi.137A3	54.31	-123.18
Pi.138	Pi.138A3	51.48	-120.35
Pi.138	Pi.138A4	51.48	-120.35
Pi.139	Pi.139A4	49.4	-115.95
Pi.139	Pi.139A6	49.4	-115.95
Pi.139	Pi.139A5	49.4	-115.95
Pi.14	Pi.14A3	56.16	-118.5
Pi.14	Pi.14A4	56.16	-118.5
Pi.140	Pi.140A4	49.71	-118.03
Pi.140	Pi.140A5	49.71	-118.03
Pi.141	Pi.141A3	49.36	-116.66
Pi.141	Pi.141A4	49.36	-116.66
Pi.142	Pi.142A8	57.5	-130.33
Pi.143	Pi.143A8	57.12	-130.36
Pi.143	Pi.143A5	57.12	-130.36
Pi.144	Pi.144A4	54.81	-128.75
Pi.144	Pi.144A3	54.81	-128.75
Pi.145	Pi.145A4	53.86	-122.03
Pi.145	Pi.145A3	53.86	-122.03
Pi.146	Pi.146A4	49.21	-117.53
Pi.146	Pi.146A5	49.21	-117.53
Pi.146	Pi.146A6	49.21	-117.53
Pi.147	Pi.147A4	49.26	-117.98
Pi.147	Pi.147A3	49.26	-117.98
Pi.147	Pi.147A5	49.26	-117.98
Pi.148	Pi.148A3	50.48	-115.68
Pi.148	Pi.148A4	50.48	-115.68
Pi.149	Pi.149A6	49.5	-120.95
Pi.149	Pi.149A3	49.5	-120.95
Pi.15	Pi.15A3	56.25	-118.91
Pi.15	Pi.15A2	56.25	-118.91
Pi.150	Pi.150A4	53.53	-123.05
Pi.150	Pi.150A5	53.53	-123.05
Pi.151	Pi.151A4	52.08	-121.05
Pi.151	Pi.151A5	52.08	-121.05
Pi.152	Pi.152A4	53.06	-121.45
Pi.153	Pi.153A4	49.31	-116.26
Pi.153	Pi.153A3	49.31	-116.26
Pi.153	Pi.153A5	49.31	-116.26
Pi.154	Pi.154A6	49.61	-115.28
Pi.155	Pi.155A3	49.88	-119.7
Pi.156	Pi.156A3	52.86	-119.28
Pi.156	Pi.156A4	52.86	-119.28
Pi.157	Pi.157A4	52.76	-119.16
Pi.157	Pi.157A3	52.76	-119.16
Pi.158	Pi.158A4	56.92	-121.4
Pi.158	Pi.158A5	56.92	-121.4
Pi.158	Pi.158A3	56.92	-121.4
Pi.159	Pi.159A4	51	-122.68
Pi.159	Pi.159A6	51	-122.68
Pi.16	Pi.16A3	55.08	-119.41
Pi.16	Pi.16A4	55.08	-119.41
Pi.160	Pi.160A3	51.13	-122.58
Pi.160	Pi.160A4	51.13	-122.58
Pi.161	Pi.161A4	59.93	-129.1
Pi.161	Pi.161A6	59.93	-129.1
Pi.162	Pi.162A3	58.6	-122.71
Pi.162	Pi.162A4	58.6	-122.71
Pi.163	Pi.163A3	55.61	-126.05
Pi.163	Pi.163A4	55.61	-126.05
Pi.164	Pi.164A3	49.44	-119.1
Pi.165	Pi.165A4	49.56	-118.88
Pi.165	Pi.165A3	49.56	-118.88
Pi.165	Pi.165A5	49.56	-118.88
Pi.166	Pi.166A4	53.26	-122
Pi.166	Pi.166A5	53.26	-122
Pi.166	Pi.166A6	53.26	-122
Pi.167	Pi.167A4	53.2	-122.66
Pi.167	Pi.167A6	53.2	-122.66
Pi.167	Pi.167A5	53.2	-122.66
Pi.168	Pi.168A2	55.9	-126.46
Pi.168	Pi.168A3	55.9	-126.46
Pi.169	Pi.169A4	51.58	-119.73
Pi.169	Pi.169A5	51.58	-119.73
Pi.169	Pi.169A6	51.58	-119.73
Pi.17	Pi.17A4	52.63	-116.08
Pi.170	Pi.170A4	49.16	-117.8
Pi.170	Pi.170A5	49.16	-117.8
Pi.170	Pi.170A6	49.16	-117.8
Pi.171	Pi.171A3	59.53	-123.68
Pi.171	Pi.171A4	59.53	-123.68
Pi.172	Pi.172A4	49.78	-120.4
Pi.172	Pi.172A3	49.78	-120.4
Pi.173	Pi.173A5	49.61	-116.01
Pi.173	Pi.173A4	49.61	-116.01
Pi.173	Pi.173A3	49.61	-116.01
Pi.174	Pi.174A4	49.53	-120.01
Pi.174	Pi.174A6	49.53	-120.01
Pi.175	Pi.175A4	51.05	-120.56
Pi.175	Pi.175A6	51.05	-120.56
Pi.175	Pi.175A5	51.05	-120.56
Pi.176	Pi.176A3	50.58	-120.53
Pi.176	Pi.176A2	50.58	-120.53
Pi.177	Pi.177A3	49.73	-121.01
Pi.178	Pi.178A2	49.2	-124.4
Pi.179	Pi.179A3	51.51	-123.3
Pi.179	Pi.179A4	51.51	-123.3
Pi.18	Pi.18A3	53.2	-117.53
Pi.18	Pi.18A4	53.2	-117.53
Pi.180	Pi.180A3	56.38	-122.88
Pi.180	Pi.180A4	56.38	-122.88
Pi.181	Pi.181A4	55.91	-122.45
Pi.181	Pi.181A3	55.91	-122.45
Pi.181	Pi.181A5	55.91	-122.45
Pi.182	Pi.182A4	49.95	-119.28
Pi.182	Pi.182A5	49.95	-119.28
Pi.183	Pi.183A4	50	-115.8
Pi.184	Pi.184A6	49.05	-116.03
Pi.185	Pi.185A4	51.61	-119.98
Pi.186	Pi.186A3	53.78	-121.75
Pi.186	Pi.186A4	53.78	-121.75
Pi.187	Pi.187A4	51.16	-117.1
Pi.187	Pi.187A3	51.16	-117.1
Pi.187	Pi.187A2	51.16	-117.1
Pi.188	Pi.188A2	49.05	-115.28
Pi.188	Pi.188A3	49.05	-115.28
Pi.189	Pi.189A4	49.38	-115.68
Pi.189	Pi.189A5	49.38	-115.68
Pi.189	Pi.189A6	49.38	-115.68
Pi.19	Pi.19A3	53.73	-116.58
Pi.190	Pi.190A4	50.5	-122.73
Pi.191	Pi.191A3	50.26	-122.85
Pi.191	Pi.191A4	50.26	-122.85
Pi.192	Pi.192A3	56.45	-125.65
Pi.192	Pi.192A2	56.45	-125.65
Pi.193	Pi.193A3	50.7	-119.12
Pi.193	Pi.193A4	50.7	-119.12
Pi.194	Pi.194A3	50.7	-119.18
Pi.194	Pi.194A2	50.7	-119.18
Pi.195	Pi.195A4	56.06	-120.28
Pi.195	Pi.195A5	56.06	-120.28
Pi.196	Pi.196A4	55.33	-121.93
Pi.196	Pi.196A5	55.33	-121.93
Pi.197	Pi.197A3	54.91	-121.23
Pi.197	Pi.197A2	54.91	-121.23
Pi.198	Pi.198A4	53.63	-124.14
Pi.198	Pi.198A5	53.63	-124.14
Pi.198	Pi.198A6	53.63	-124.14
Pi.199	Pi.199A5	53.61	-124.2
Pi.199	Pi.199A4	53.61	-124.2
Pi.199	Pi.199A6	53.61	-124.2
Pi.2	Pi.2A3	49.66	-110.25
Pi.2	Pi.2A4	49.66	-110.25
Pi.20	Pi.20A4	53.5	-116.16
Pi.20	Pi.20A3	53.5	-116.16
Pi.200	Pi.200A5	54.7	-124.71
Pi.200	Pi.200A6	54.7	-124.71
Pi.201	Pi.201A4	51.83	-121.38
Pi.201	Pi.201A6	51.83	-121.38
Pi.201	Pi.201A5	51.83	-121.38
Pi.202	Pi.202A4	49.43	-115.52
Pi.203	Pi.203A3	50	-121.08
Pi.204	Pi.204A3	53.83	-132.1
Pi.204	Pi.204A2	53.83	-132.1
Pi.205	Pi.205A5	50.63	-126.91
Pi.205	Pi.205A6	50.63	-126.91
Pi.206	Pi.206A3	51.03	-120.31
Pi.207	Pi.207A4	51.15	-120.18
Pi.207	Pi.207A5	51.15	-120.18
Pi.207	Pi.207A6	51.15	-120.18
Pi.208	Pi.208A4	55.28	-129.15
Pi.208	Pi.208A3	55.28	-129.15
Pi.209	Pi.209A3	52.16	-121.65
