pop	V1	lat	long
Sp.303	Sp.303A3	58.2	-111.38
Sp.303	Sp.303A4	58.2	-111.38
Sp.304	Sp.304A5	59.88	-111.71
Sp.304	Sp.304A6	59.88	-111.71
Sp.306	Sp.306A3	54.53	-114.08
Sp.306	Sp.306A4	54.53	-114.08
Sp.307	Sp.307A4	56.98	-117.83
Sp.307	Sp.307A3	56.98	-117.83
Sp.308	Sp.308A3	55.58	-119.58
Sp.308	Sp.308A4	55.58	-119.58
Sp.309	Sp.309A4	54.45	-118.63
Sp.309	Sp.309A3	54.45	-118.63
Sp.310	Sp.310A3	54.63	-118.95
Sp.310	Sp.310A4	54.63	-118.95
Sp.311	Sp.311A6	53.31	-117.85
Sp.311	Sp.311A7	53.31	-117.85
Sp.311	Sp.311A8	53.31	-117.85
Sp.313	Sp.313A4	54.36	-114.66
Sp.314	Sp.314A5	52.55	-115.5
Sp.314	Sp.314A8	52.55	-115.5
Sp.315	Sp.315A7	52.91	-115.78
Sp.315	Sp.315A8	52.91	-115.78
Sp.315	Sp.315A6	52.91	-115.78
Sp.316	Sp.316A6	49.63	-110.23
Sp.316	Sp.316A5	49.63	-110.23
Sp.317	Sp.317A3	59.53	-117.21
Sp.317	Sp.317A4	59.53	-117.21
Sp.319	Sp.319A3	55.16	-117.66
Sp.319	Sp.319A4	55.16	-117.66
Sp.320	Sp.320A4	55.68	-119.66
Sp.320	Sp.320A3	55.68	-119.66
Sp.321	Sp.321A4	55.66	-118.83
Sp.321	Sp.321A3	55.66	-118.83
Sp.322	Sp.322A3	55.41	-119.83
Sp.322	Sp.322A4	55.41	-119.83
Sp.323	Sp.323A3	56.05	-118.08
Sp.323	Sp.323A4	56.05	-118.08
Sp.324	Sp.324A4	59.75	-117.33
Sp.324	Sp.324A3	59.75	-117.33
Sp.325	Sp.325A6	57.75	-115.83
Sp.325	Sp.325A5	57.75	-115.83
Sp.325	Sp.325A8	57.75	-115.83
Sp.325	Sp.325A7	57.75	-115.83
Sp.326	Sp.326A3	53.66	-117.5
Sp.326	Sp.326A4	53.66	-117.5
Sp.327	Sp.327A3	54.33	-110.85
Sp.327	Sp.327A4	54.33	-110.85
Sp.328	Sp.328A3	54.91	-112.96
Sp.328	Sp.328A4	54.91	-112.96
Sp.329	Sp.329A3	51.05	-114.75
Sp.329	Sp.329A4	51.05	-114.75
Sp.330	Sp.330A3	50.05	-114.13
Sp.330	Sp.330A4	50.05	-114.13
Sp.331	Sp.331A3	53.46	-116.7
Sp.331	Sp.331A4	53.46	-116.7
Sp.332	Sp.332A3	52.55	-116.08
Sp.332	Sp.332A4	52.55	-116.08
Sp.333	Sp.333A3	58.75	-117.41
Sp.333	Sp.333A4	58.75	-117.41
Sp.334	Sp.334A3	58.38	-118.86
Sp.334	Sp.334A4	58.38	-118.86
Sp.335	Sp.335A3	52.96	-115.53
Sp.335	Sp.335A4	52.96	-115.53
