dataset	sampleN	species
Amaranthus_tuberculatus_Wright_Individual	18	Amaranthus tuberculatus
Arabidopsis_halleri_Kubota_Individual	10	Arabidopsis halleri
Arabidopsis_halleri_Rellstab_PoolSeq	9	Arabidopsis halleri
Arabidopsis_lyrata_Savolainen_Individual	8	Arabidopsis lyrata
Arabidopsis_lyrata_Willi_PoolSeq	52	Arabidopsis lyrata
Arabidopsis_thaliana_Roux_PoolSeq	154	Arabidopsis thaliana
Arabidopsis_thaliana_Weigel_WGS_IBE	157	Arabidopsis thaliana
Arabidopsis_thaliana_Weigel_WGS_SWE	161	Arabidopsis thaliana
Arabis_alpina_Rellstab_PoolSeq	6	Arabis alpina
Boechera_stricta_Mitchell-Olds_Individual	461	Boechera stricta
Capsella_rubella_Weigel_Individual	34	Capsella rubella
Cardamine_resedifolia_Rellstab_PoolSeq	6	Cardamine resedifolia
Eucalyptus_albens_Murray_Individual	29	Eucalyptus albens
Eucalyptus_magnificata_Murray_Individual	37	Eucalyptus magnificata
Eucalyptus_sideroxylon_Murray_Individual	21	Eucalyptus sideroxylon
Helianthus_annuus_Todesco_Individual	64	Helianthus annuus
Helianthus_argophyllus_Todesco_Individual	30	Helianthus argophyllus
Helianthus_petiolaris_Todesco_Individual	50	Helianthus petiolaris
Medicago_truncatula_Tiffin_Individual	139	Medicago truncatula
Panicum_hallii_Lowry_Individual	56	Panicum hallii
Picea_abies_Milesi_Capture	9	Picea abies
Picea_glaucaxengelmannii_Adaptree_Capture	247	Picea glaucaxengelmannii
Picea_obovata_Milesi_Capture	17	Picea obovata
Pinus_contorta_Adaptree_Capture	283	Pinus contorta
Pinus_sylvestris_Tanja_Capture	12	Pinus sylvestris
Populus_deltoides_Kirst_Capture	104	Populus deltoides
Populus_tremula_Ingvarsson_Individual	86	Populus tremula
Populus_trichocarpa_Holliday_Capture	173	Populus trichocarpa
Quercus_petraea_Kremer_PoolSeq	18	Quercus petraea
