sample_name	library_name	pool_name	ploidy	file_name_r1	file_name_r2	adaptor_1	adaptor_2	ref	rgid	rglb	rgpl	rgpu	rgsm
SRR10340174			2	SRR10340174_1.fastq.gz	SRR10340174_2.fastq.gz				Eucalyptus_albens_Nangar_J361b_SRR10340174		ILLUMINA		Eucalyptus_albens_Nangar_J361b
SRR10340175			2	SRR10340175_1.fastq.gz	SRR10340175_2.fastq.gz				Eucalyptus_albens_Nangar_J361a_SRR10340175		ILLUMINA		Eucalyptus_albens_Nangar_J361a
SRR10340176			2	SRR10340176_1.fastq.gz	SRR10340176_2.fastq.gz				Eucalyptus_albens_Nangar_J361_SRR10340176		ILLUMINA		Eucalyptus_albens_Nangar_J361
SRR10340177			2	SRR10340177_1.fastq.gz	SRR10340177_2.fastq.gz				Eucalyptus_albens_Nangar_J361_SRR10340177		ILLUMINA		Eucalyptus_albens_Nangar_J361
SRR10340178			2	SRR10340178_1.fastq.gz	SRR10340178_2.fastq.gz				Eucalyptus_albens_Nangar_J361_SRR10340178		ILLUMINA		Eucalyptus_albens_Nangar_J361
SRR10340179			2	SRR10340179_1.fastq.gz	SRR10340179_2.fastq.gz				Eucalyptus_magnificata_Waterfall_ENE0033_SRR10340179		ILLUMINA		Eucalyptus_magnificata_Waterfall_ENE0033
SRR10340180			2	SRR10340180_1.fastq.gz	SRR10340180_2.fastq.gz				Eucalyptus_albens_Nangar_J361_SRR10340180		ILLUMINA		Eucalyptus_albens_Nangar_J361
SRR10340181			2	SRR10340181_1.fastq.gz	SRR10340181_2.fastq.gz				Eucalyptus_conica_Orange_J360_SRR10340181		ILLUMINA		Eucalyptus_conica_Orange_J360
SRR10340183			2	SRR10340183_1.fastq.gz	SRR10340183_2.fastq.gz				Eucalyptus_conica_Orange_J360_SRR10340183		ILLUMINA		Eucalyptus_conica_Orange_J360
SRR10340184			2	SRR10340184_1.fastq.gz	SRR10340184_2.fastq.gz				Eucalyptus_conica_Orange_J360_SRR10340184		ILLUMINA		Eucalyptus_conica_Orange_J360
SRR10340185			2	SRR10340185_1.fastq.gz	SRR10340185_2.fastq.gz				Eucalyptus_conica_Orange_J360_SRR10340185		ILLUMINA		Eucalyptus_conica_Orange_J360
SRR10340186			2	SRR10340186_1.fastq.gz	SRR10340186_2.fastq.gz				Eucalyptus_sideroxylon_Ingalba_J359i_SRR10340186		ILLUMINA		Eucalyptus_sideroxylon_Ingalba_J359i
SRR10340187			2	SRR10340187_1.fastq.gz	SRR10340187_2.fastq.gz				Eucalyptus_sideroxylon_Ingalba_J359h_SRR10340187		ILLUMINA		Eucalyptus_sideroxylon_Ingalba_J359h
SRR10340188			2	SRR10340188_1.fastq.gz	SRR10340188_2.fastq.gz				Eucalyptus_sideroxylon_Ingalba_J359g_SRR10340188		ILLUMINA		Eucalyptus_sideroxylon_Ingalba_J359g
SRR10340189			2	SRR10340189_1.fastq.gz	SRR10340189_2.fastq.gz				Eucalyptus_sideroxylon_Ingalba_J359f_SRR10340189		ILLUMINA		Eucalyptus_sideroxylon_Ingalba_J359f
SRR10340190			2	SRR10340190_1.fastq.gz	SRR10340190_2.fastq.gz				Eucalyptus_sideroxylon_Ingalba_J359e_SRR10340190		ILLUMINA		Eucalyptus_sideroxylon_Ingalba_J359e
SRR10340191			2	SRR10340191_1.fastq.gz	SRR10340191_2.fastq.gz				Eucalyptus_magnificata_Waterfall_ENE0032_SRR10340191		ILLUMINA		Eucalyptus_magnificata_Waterfall_ENE0032
SRR10340192			2	SRR10340192_1.fastq.gz	SRR10340192_2.fastq.gz				Eucalyptus_sideroxylon_Ingalba_J359d_SRR10340192		ILLUMINA		Eucalyptus_sideroxylon_Ingalba_J359d
SRR10340193			2	SRR10340193_1.fastq.gz	SRR10340193_2.fastq.gz				Eucalyptus_sideroxylon_Ingalba_J359c_SRR10340193		ILLUMINA		Eucalyptus_sideroxylon_Ingalba_J359c
SRR10340194			2	SRR10340194_1.fastq.gz	SRR10340194_2.fastq.gz				Eucalyptus_sideroxylon_Ingalba_J359b_SRR10340194		ILLUMINA		Eucalyptus_sideroxylon_Ingalba_J359b
SRR10340195			2	SRR10340195_1.fastq.gz	SRR10340195_2.fastq.gz				Eucalyptus_sideroxylon_Ingalba_J359a_SRR10340195		ILLUMINA		Eucalyptus_sideroxylon_Ingalba_J359a
SRR10340196			2	SRR10340196_1.fastq.gz	SRR10340196_2.fastq.gz				Eucalyptus_sideroxylon_Ingalba_J359_SRR10340196		ILLUMINA		Eucalyptus_sideroxylon_Ingalba_J359
SRR10340197			2	SRR10340197_1.fastq.gz	SRR10340197_2.fastq.gz				Eucalyptus_sideroxylon_Ingalba_J359_SRR10340197		ILLUMINA		Eucalyptus_sideroxylon_Ingalba_J359
SRR10340198			2	SRR10340198_1.fastq.gz	SRR10340198_2.fastq.gz				Eucalyptus_sideroxylon_Ingalba_J359_SRR10340198		ILLUMINA		Eucalyptus_sideroxylon_Ingalba_J359
SRR10340199			2	SRR10340199_1.fastq.gz	SRR10340199_2.fastq.gz				Eucalyptus_sideroxylon_Ingalba_J359_SRR10340199		ILLUMINA		Eucalyptus_sideroxylon_Ingalba_J359
SRR10340200			2	SRR10340200_1.fastq.gz	SRR10340200_2.fastq.gz				Eucalyptus_melliodora_Urana_J358_SRR10340200		ILLUMINA		Eucalyptus_melliodora_Urana_J358
SRR10340201			2	SRR10340201_1.fastq.gz	SRR10340201_2.fastq.gz				Eucalyptus_melliodora_Urana_J358_SRR10340201		ILLUMINA		Eucalyptus_melliodora_Urana_J358
SRR10340202			2	SRR10340202_1.fastq.gz	SRR10340202_2.fastq.gz				Eucalyptus_magnificata_Waterfall_ENE0031_SRR10340202		ILLUMINA		Eucalyptus_magnificata_Waterfall_ENE0031
SRR10340203			2	SRR10340203_1.fastq.gz	SRR10340203_2.fastq.gz				Eucalyptus_sideroxylon_Torreyburn_J401h_SRR10340203		ILLUMINA		Eucalyptus_sideroxylon_Torreyburn_J401h
SRR10340204			2	SRR10340204_1.fastq.gz	SRR10340204_2.fastq.gz				Eucalyptus_sideroxylon_Torreyburn_J401g_SRR10340204		ILLUMINA		Eucalyptus_sideroxylon_Torreyburn_J401g
SRR10340205			2	SRR10340205_1.fastq.gz	SRR10340205_2.fastq.gz				Eucalyptus_sideroxylon_Torreyburn_J401f_SRR10340205		ILLUMINA		Eucalyptus_sideroxylon_Torreyburn_J401f
SRR10340206			2	SRR10340206_1.fastq.gz	SRR10340206_2.fastq.gz				Eucalyptus_sideroxylon_Torreyburn_J401e_SRR10340206		ILLUMINA		Eucalyptus_sideroxylon_Torreyburn_J401e
SRR10340207			2	SRR10340207_1.fastq.gz	SRR10340207_2.fastq.gz				Eucalyptus_sideroxylon_Torreyburn_J401d_SRR10340207		ILLUMINA		Eucalyptus_sideroxylon_Torreyburn_J401d
SRR10340208			2	SRR10340208_1.fastq.gz	SRR10340208_2.fastq.gz				Eucalyptus_sideroxylon_Torreyburn_J401c_SRR10340208		ILLUMINA		Eucalyptus_sideroxylon_Torreyburn_J401c
SRR10340209			2	SRR10340209_1.fastq.gz	SRR10340209_2.fastq.gz				Eucalyptus_sideroxylon_Torreyburn_J401b_SRR10340209		ILLUMINA		Eucalyptus_sideroxylon_Torreyburn_J401b
SRR10340210			2	SRR10340210_1.fastq.gz	SRR10340210_2.fastq.gz				Eucalyptus_sideroxylon_Torreyburn_J401a_SRR10340210		ILLUMINA		Eucalyptus_sideroxylon_Torreyburn_J401a
SRR10340211			2	SRR10340211_1.fastq.gz	SRR10340211_2.fastq.gz				Eucalyptus_sideroxylon_Bundarra_J298_SRR10340211		ILLUMINA		Eucalyptus_sideroxylon_Bundarra_J298
SRR10340212			2	SRR10340212_1.fastq.gz	SRR10340212_2.fastq.gz				Eucalyptus_sideroxylon_Torreyburn_J401_SRR10340212		ILLUMINA		Eucalyptus_sideroxylon_Torreyburn_J401
SRR10340213			2	SRR10340213_1.fastq.gz	SRR10340213_2.fastq.gz				Eucalyptus_sideroxylon_Torreyburn_J401_SRR10340213		ILLUMINA		Eucalyptus_sideroxylon_Torreyburn_J401
SRR10340214			2	SRR10340214_1.fastq.gz	SRR10340214_2.fastq.gz				Eucalyptus_sideroxylon_Torreyburn_J401_SRR10340214		ILLUMINA		Eucalyptus_sideroxylon_Torreyburn_J401
SRR10340182			2	SRR10340182_1.fastq.gz	SRR10340182_2.fastq.gz				Eucalyptus_moluccana_Torreyburn_J400_SRR10340182		ILLUMINA		Eucalyptus_moluccana_Torreyburn_J400
SRR10339877			2	SRR10339877_1.fastq.gz	SRR10339877_2.fastq.gz				Eucalyptus_moluccana_Torreyburn_J400_SRR10339877		ILLUMINA		Eucalyptus_moluccana_Torreyburn_J400
SRR10339878			2	SRR10339878_1.fastq.gz	SRR10339878_2.fastq.gz				Eucalyptus_leucoxylon_Castlemaine_J399_SRR10339878		ILLUMINA		Eucalyptus_leucoxylon_Castlemaine_J399
