"Supporting Information Table S1 Sampling origins and associated climate variables for genotypes used in this study. Transect and population-within-transect are also given. Also indicated are the samples included in the regression of mean annual temperature on height for comparison with altitudinal transects (Fig. 1c), as well as the samples excluded to assess the effects of possible P. balsamifera introgression on bayescan results. Climate variable abbreviations: MAT, mean annual temperature; MWMT, mean warmest month temperature; MCMT, mean coldest month temperature; TD, temperature differential; MAP, mean annual precipitation; MSP, mean summer precipitation; AHM, annual heat moisture index; SHM, summer heat moisture index; Eref, Hargrave's reference evapotranspiration.",,,,,,,,,,,,,,,,
ID,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,Eref,Population,Transect,Included in regression of height/MAT for latitudinal transect?,Excluded for testing effects of P. balsamifera introgression?
AC09,61.01,-149.69067,59,4.6,14.4,-3,17.4,790,350,18.4,41.2,390,YKAC,Latitude,No,Yes
AC07,61.009,-149.69098,59,4.5,14.4,-3.1,17.5,791,350,18.4,41.1,390,YKAC,Latitude,No,Yes
AC03,61.007,-149.68967,59,4.5,14.3,-3.1,17.4,800,353,18.1,40.6,389,YKAC,Latitude,No,Yes
AC04,61.007,-149.68919,59,4.5,14.3,-3.1,17.4,802,354,18.1,40.4,389,YKAC,Latitude,No,Yes
YK04,59.546944,-139.727222,5,3.9,12,-3.8,15.9,3875,1418,3.6,8.5,335,YKAC,Latitude,No,Yes
YK05,59.546944,-139.727222,5,3.9,12,-3.8,15.9,3875,1418,3.6,8.5,335,YKAC,Latitude,No,Yes
YK06,59.546944,-139.727222,5,3.9,12,-3.8,15.9,3875,1418,3.6,8.5,335,YKAC,Latitude,No,Yes
YK07,59.546944,-139.727222,5,3.9,12,-3.8,15.9,3875,1418,3.6,8.5,335,YKAC,Latitude,No,Yes
YK08,59.546944,-139.727222,5,3.9,12,-3.8,15.9,3875,1418,3.6,8.5,335,YKAC,Latitude,No,Yes
BR01,58.416,-134.54792,23,4.9,12.3,-5.4,17.7,2404,923,6.2,13.4,423,TNMDBR,Latitude,No,No
BR04,58.416,-134.54792,23,4.9,12.3,-5.4,17.7,2404,923,6.2,13.4,423,TNMDBR,Latitude,No,No
MD00,58.371,-134.602399,6,5.3,13.7,-3.9,17.6,1617,690,9.5,19.9,418,TNMDBR,Latitude,No,No
MD02,58.371,-134.602399,6,5.3,13.7,-3.9,17.6,1617,690,9.5,19.9,418,TNMDBR,Latitude,No,No
TN00,58.3,-130.466667,567,0.7,13.6,-13.7,27.3,452,240,23.7,56.9,448,TNMDBR,Latitude,No,Yes
KD00,57.617,-153.582033,36,5.4,13.9,-0.7,14.6,1412,439,10.9,31.6,392,SYKD,Latitude,No,Yes
KD02,57.617,-153.582033,36,5.4,13.9,-0.7,14.6,1412,439,10.9,31.6,392,SYKD,Latitude,No,Yes
KD08,57.617,-153.582033,36,5.4,13.9,-0.7,14.6,1412,439,10.9,31.6,392,SYKD,Latitude,No,Yes
KD10,57.617,-153.582033,36,5.4,13.9,-0.7,14.6,1412,439,10.9,31.6,392,SYKD,Latitude,No,Yes
KD12,57.617,-153.582033,36,5.4,13.9,-0.7,14.6,1412,439,10.9,31.6,392,SYKD,Latitude,No,Yes
KD14,57.617,-153.582033,36,5.4,13.9,-0.7,14.6,1412,439,10.9,31.6,392,SYKD,Latitude,No,Yes
SY02,57.333,-131.783333,49,4.5,15.2,-8.3,23.5,1449,359,10,42.3,492,SYKD,Latitude,No,Yes
SY01,56.933,-131.783333,31,5.1,14.6,-6.1,20.6,1540,471,9.8,30.9,458,SYKD,Latitude,No,Yes
NA05,55.717,-128.816667,183,5,14.9,-5.1,20,809,291,18.6,51,538,KWHZNA,Latitude,No,Yes
NA04,55.4,-129.133333,305,4.6,14.2,-5.5,19.7,1241,389,11.7,36.6,512,KWHZNA,Latitude,No,Yes
KW03,55.267,-128.066667,579,3.4,14.2,-8,22.2,635,265,21.1,53.6,503,KWHZNA,Latitude,No,Yes
HZ00,55.217,-127.666667,238,4.3,15.2,-7.8,23.1,590,256,24.2,59.4,547,KWHZNA,Latitude,No,Yes
HZ02,55.217,-127.666667,238,4.3,15.2,-7.8,23.1,590,256,24.2,59.4,547,KWHZNA,Latitude,No,Yes
NA02,55.217,-129.133333,58,5.9,15.6,-3.9,19.5,978,296,16.3,52.9,557,KWHZNA,Latitude,No,Yes
KW01,55.083,-128.183333,177,4.6,14.8,-6.1,20.9,793,243,18.5,61,532,KWHZNA,Latitude,No,Yes
SN15,54.85,-128.333333,140,5.2,15,-4.9,19.9,942,284,16.2,53,543,WLNEMGKTSNZYWFTL,Latitude,No,Yes
TL00,54.617,-127.5,735,2.6,13.5,-9.6,23.1,1071,252,11.8,53.5,488,WLNEMGKTSNZYWFTL,Latitude,No,Yes
WF00,54.6,-124.766667,686,2.8,14.6,-11,25.6,500,227,25.6,64.3,505,WLNEMGKTSNZYWFTL,Latitude,No,Yes
SN10,54.583,-128.416667,61,5.4,14.9,-4.7,19.6,1276,310,12.1,48.2,530,WLNEMGKTSNZYWFTL,Latitude,No,No
SN06,54.55,-128.466667,61,5.4,14.8,-4.6,19.5,1355,325,11.4,45.7,525,WLNEMGKTSNZYWFTL,Latitude,No,No
SN08,54.55,-128.466667,61,5.4,14.8,-4.6,19.5,1355,325,11.4,45.7,525,WLNEMGKTSNZYWFTL,Latitude,No,No
