sample_name	library_name	pool_name	ploidy	file_name_r1	file_name_r2	adaptor_1	adaptor_2	ref	rgid	rglb	rgpl	rgpu	rgsm
sample_BHW_38865_L1DNA_A	ERX3311474	kremer_Qpet_pooled	10	ERR3284940_R1.fastq.gz	ERR3284940_R2.fastq.gz			/home/jimw91/scratch/pool_snpcalling/kremer_Qpetraea/03_genome/Qrob_PM1N.fasta		ERX3311474	ILLUMINA		sample_BHW_38865_L1DNA_A
sample_BHW_38865_L1DNA_A	ERX3311473	kremer_Qpet_pooled	10	ERR3284939_R1.fastq.gz	ERR3284939_R2.fastq.gz			/home/jimw91/scratch/pool_snpcalling/kremer_Qpetraea/03_genome/Qrob_PM1N.fasta		ERX3311473	ILLUMINA		sample_BHW_38865_L1DNA_A
sample_BHW_38865_L1DNA_A	ERX3311472	kremer_Qpet_pooled	10	ERR3284938_R1.fastq.gz	ERR3284938_R2.fastq.gz			/home/jimw91/scratch/pool_snpcalling/kremer_Qpetraea/03_genome/Qrob_PM1N.fasta		ERX3311472	ILLUMINA		sample_BHW_38865_L1DNA_A
sample_BHW_38865_L1DNA_A	ERX3311471	kremer_Qpet_pooled	10	ERR3284937_R1.fastq.gz	ERR3284937_R2.fastq.gz			/home/jimw91/scratch/pool_snpcalling/kremer_Qpetraea/03_genome/Qrob_PM1N.fasta		ERX3311471	ILLUMINA		sample_BHW_38865_L1DNA_A
sample_BHW_38865_L1DNA_GA	ERX3311470	kremer_Qpet_pooled	20	ERR3284936_R1.fastq.gz	ERR3284936_R2.fastq.gz			/home/jimw91/scratch/pool_snpcalling/kremer_Qpetraea/03_genome/Qrob_PM1N.fasta		ERX3311470	ILLUMINA		sample_BHW_38865_L1DNA_GA
sample_BHW_38865_L1DNA_GA	ERX3311469	kremer_Qpet_pooled	20	ERR3284935_R1.fastq.gz	ERR3284935_R2.fastq.gz			/home/jimw91/scratch/pool_snpcalling/kremer_Qpetraea/03_genome/Qrob_PM1N.fasta		ERX3311469	ILLUMINA		sample_BHW_38865_L1DNA_GA
sample_BHW_38865_L1DNA_GA	ERX3311468	kremer_Qpet_pooled	20	ERR3284934_R1.fastq.gz	ERR3284934_R2.fastq.gz			/home/jimw91/scratch/pool_snpcalling/kremer_Qpetraea/03_genome/Qrob_PM1N.fasta		ERX3311468	ILLUMINA		sample_BHW_38865_L1DNA_GA
sample_BHW_38865_L1DNA_GA	ERX3311467	kremer_Qpet_pooled	20	ERR3284933_R1.fastq.gz	ERR3284933_R2.fastq.gz			/home/jimw91/scratch/pool_snpcalling/kremer_Qpetraea/03_genome/Qrob_PM1N.fasta		ERX3311467	ILLUMINA		sample_BHW_38865_L1DNA_GA
sample_BHW_38865_L1DNA_GE	ERX3311466	kremer_Qpet_pooled	20	ERR3284932_R1.fastq.gz	ERR3284932_R2.fastq.gz			/home/jimw91/scratch/pool_snpcalling/kremer_Qpetraea/03_genome/Qrob_PM1N.fasta		ERX3311466	ILLUMINA		sample_BHW_38865_L1DNA_GE
sample_BHW_38865_L1DNA_GE	ERX3311465	kremer_Qpet_pooled	20	ERR3284931_R1.fastq.gz	ERR3284931_R2.fastq.gz			/home/jimw91/scratch/pool_snpcalling/kremer_Qpetraea/03_genome/Qrob_PM1N.fasta		ERX3311465	ILLUMINA		sample_BHW_38865_L1DNA_GE
