Population Code,State of Collection,Longitude,Latitude,NCBI SRA Accession number
ABI,Texas,-99.4422400,31.8598700,SRP048175
ALI,Texas,-101.7010700,35.5739100,SRP048178
ARA,Texas,-96.9870000,28.2236667,SRP087701
ARB,Oklahoma,-97.1466830,34.4298330,SRP053912
ARR,Arizona,-110.5062800,31.6133900,SRP053672
ART,New Mexico,-104.9315670,32.8567330,SRP048179
ATA,Texas,-98.5413167,28.7897000,SRP087704
ATO,Durango,-104.3960556,23.6929722,SRR8039422
AWR,Texas,-96.9457330,28.2850830,SRP053682
BEE,Texas,-97.7791670,28.3827780,SRP053914
BME,Oklahoma,-102.8874000,36.8753300,SRP048180
BUS,Texas,-102.0605400,35.2648600,SRP048181
CAM,Texas,-97.2690500,26.0007000,SRP087694
CBS,Texas,-98.4839367,31.0574383,SRP087698
CCG,Texas,-101.0823300,34.4467800,SRP048182
CCL,Texas,-101.0751100,34.4441100,SRP092716
CCO,Texas,-101.0561100,34.4378700,SRP092717
CDM,Coahuila,-102.5699167,25.5082500,SRR8037336
CHA,Texas,-102.2966300,35.6051800,SRP048183
CKR,Arizona,-112.3154400,34.2341900,SRP053913
CLA,New Mexico,-103.0374700,36.6363700,SRP053675
CLD,Texas,-101.4362900,34.7984100,SRP048184
CNF,Arizona,-110.9152417,31.8020583,SRX183870 
COM,Texas,-101.2076944,29.7017500,SRP053919
COR,Arizona,-112.1789700,34.2861700,SRX183042
CRC,Texas,-102.2650800,35.5298100,SRP048185
DOF,Texas,-100.9946389,29.8946389,SRP015622 
DRB,Texas,-100.9705556,29.9411944,SRP047613
ELG,Arizona,-110.5585333,31.6009000,SRP053671
EPS,Texas,-100.2100444,28.4825639,SRX183039
ESE,Texas,-99.5893667,30.3482000,SRP047646
FIL5,Texas,-97.4038580,27.6495580,SRP081853 
GEO,New Mexico,-104.3091517,36.0428750,SRP047649
GMO,Texas,-104.8390500,31.9017667,SRP087699
GNF,Texas,-97.3001333,29.3119167,SRR1797841
GNH,Texas,-97.3001333,29.3119167,SRR1797818
GRA,Texas,-99.2430556,29.9148611,SRP047653
HAL,Texas,-97.8739790,30.1850220,SRP085034
HAM,Texas,-100.1813100,33.0098300,SRP048188
HUE,Texas,-99.0155900,30.2254600,SRP081863 
HWY,Texas,-101.1103250,34.4690639,SRP048189
JHC,Texas,-98.3069667,30.2072500,SRP113372
JWE,Texas,-98.0054833,27.8939667,SRP087700
KIC,Texas,-100.4430000,29.6184944,SRP047656
KNT,Texas,-104.2120000,31.0498889,SRP015438
LAR,Texas,-99.2092139,27.4773333,SRX183040
LBY,New Mexico,-104.6405667,34.9450167,SRP048190
LMA,Texas,-99.7313889,30.0163889,SRP077325
LME,Texas,-101.5465090,35.7072830,SRP048191
LOS,Coahuila,-101.0239080,25.4619400,SRP048192
MAP,Durango,-104.1051389,25.8720000,SRR8039424
MCM,Texas,-98.6385217,28.1518667,SRP087702
MEZ,Durango,-104.4323889,23.4945000,SRR8039423
MKF,Texas,-97.7250556,30.1777222,SRP087693
NDD,Durango,-104.3350278,23.8979444,SRR8039663
NDP,Texas,-97.6076333,27.9116500,SRP047659
NMX,New Mexico,-106.5814833,32.4299167,SRP081862
NOH,Texas,-97.5452778,26.4949444,SRP081866
PAJ,Texas,-99.7375556,30.4853611,SRP081857 
PCR,Arizona,-109.3634333,31.9802000,SRP053676
PDB,Texas,-101.6366400,34.9286600,SRP048193
PDF,Texas,-101.6612600,34.9436600,SRP048194
PDK,Texas,-101.6890000,34.9475500,SRP092714
PDL,Texas,-101.6889700,34.9475500,SRP092721
PDS,Texas,-101.6527500,34.9395100,SRP092719
PFL,Texas,-97.6385770,30.4505560,SRP092718
PIN,Arizona,-111.4006300,34.3160600,SRX183043
PIS,Texas,-97.2735278,26.0173056,SRP092736
POI,Texas,-97.2375278,26.0642778,SRX183046
PRT,Arizona,-109.1546667,31.9159333,SRP053673
RAN,Texas,-101.9143200,33.4601500,SRP113369
SAN,Texas,-102.5632778,30.1346111,SRP081859
SAP,Durango,-103.7161389,25.4331389,SRR8039425
SEM,Texas,-101.3099472,29.6810028,SRP081855
SEV,New Mexico,-106.9735444,34.3317056,SRP047672
SLS,Texas,-98.1008333,30.9913000,SRP047676
SMF,Texas,-98.4387200,31.3051500,SRP113370
SMT,Texas,-98.5992222,31.5616389,SRP092734
SNO,Arizona,-110.7034667,31.8005333,SRP047691
SPE,Texas,-100.9706833,30.6663500,SRP047705
SPJ,Texas,-99.7308000,30.4700333,SRP087696
SPR,Texas,-104.1276944,30.6722500,SRP047712
STW,Texas,-98.4895667,32.6092500,SRP047728
SVN,New Mexico,-104.8273500,34.8310667,SRP048196
TLA,Durango,-103.4991667,26.1280833,SRR8039662
TNK,New Mexico,-104.6939667,34.9369333,SRP048198
WBW,Texas,-99.7958030,30.4329310,SRP047733
ZAF,Texas,-99.1090500,26.5759333,SRP087703
ZAP,Texas,-99.1250833,27.0210000,SRP087697
