RG_Sample_Code,Customer_Code,pop,species,pheno,lat,long,alt,geno,,Sample_Code
UPU_119901_P001_WA02,BRI_5,BRI,PA,12,53.26,34.42,149,12,,P001_WA01
UPU_119901_P001_WA03,GERL_5,GERL,PA,8,47,12.262,730,8,,P001_WA02
UPU_119901_P001_WA12,BRI_7,BRI,PA,12,53.26,34.42,149,12,,P001_WA03
UPU_119901_P001_WB04,GERH_10,GERH,PA,10,47.463,12.262,1300,10,,P001_WA04
UPU_119901_P001_WB05,ITAH_8,ITAH,PA,11,42.27,13.595,1200,11,,P001_WA05
UPU_119901_P001_WB06,ITAH_3,ITAH,PA,11,42.27,13.595,1200,11,,P001_WA06
UPU_119901_P001_WB09,ITAL_7,ITAL,PA,8,41.807,13.595,300,8,,P001_WA07
UPU_119901_P001_WB11,BRI_13,BRI,PA,12,53.26,34.42,149,12,,P001_WA08
UPU_119901_P001_WB12,GERL_6,GERL,PA,8,47,12.262,730,8,,P001_WA09
UPU_119901_P001_WC04,ITAH_9,ITAH,PA,11,42.27,13.595,1200,11,,P001_WA10
UPU_119901_P001_WC09,ITAL_5,ITAL,PA,8,41.807,13.595,300,8,,P001_WA11
UPU_119901_P001_WD08,ITAL_1,ITAL,PA,8,41.807,13.595,300,8,,P001_WA12
UPU_119901_P001_WD09,SWE_2,SWE,PA,9,62.063,12.923,1000,9,,P001_WB01
UPU_119901_P001_WD10,GERL_10,GERL,PA,8,47,12.262,730,8,,P001_WB02
UPU_119901_P001_WE03,ITAL_6,ITAL,PA,8,41.807,13.595,300,8,,P001_WB03
UPU_119901_P001_WE04,BRI_8,BRI,PA,12,53.26,34.42,149,12,,P001_WB04
UPU_119901_P001_WE06,GERH_3,GERH,PA,10,47.463,12.262,1300,10,,P001_WB05
UPU_119901_P001_WF01,GERH_1,GERH,PA,10,47.463,12.262,1300,10,,P001_WB06
UPU_119901_P001_WF05,ITAH_10,ITAH,PA,11,42.27,13.595,1200,11,,P001_WB07
UPU_119901_P001_WF08,ITAH_5,ITAH,PA,11,42.27,13.595,1200,11,,P001_WB08
UPU_119901_P001_WF10,SWE_15,SWE,PA,6,61.6,12.923,400,6,,P001_WB09
UPU_119901_P001_WF12,ITAL_11,ITAL,PA,8,41.807,13.595,300,8,,P001_WB10
UPU_119901_P001_WG01,ITAH_7,ITAH,PA,11,42.27,13.595,1200,11,,P001_WB11
UPU_119901_P001_WG07,GERH_4,GERH,PA,10,47.463,12.262,1300,10,,P001_WB12
UPU_119901_P001_WH02,GERL_3,GERL,PA,8,47,12.262,730,8,,P001_WC01
UPU_119901_P001_WH04,ITAH_11,ITAH,PA,11,42.27,13.595,1200,11,,P001_WC02
UPU_119901_P001_WH09,BRI_11,BRI,PA,12,53.26,34.42,149,12,,P001_WC03
UPU_119901_P002_WA04,SWE_10,SWE,PA,6,61.6,12.923,400,6,,P001_WC04
UPU_119901_P002_WA06,SWE_10,SWE,PA,9,62.063,12.923,1000,9,,P001_WC05
UPU_119901_P002_WA10,ITAL_9,ITAL,PA,8,41.807,13.595,300,8,,P001_WC06
UPU_119901_P002_WA11,SWE_3,SWE,PA,9,62.063,12.923,1000,9,,P001_WC07
UPU_119901_P002_WB02,GERH_9,GERH,PA,10,47.463,12.262,1300,10,,P001_WC08
UPU_119901_P002_WB04,GERH_7,GERH,PA,10,47.463,12.262,1300,10,,P001_WC09
UPU_119901_P002_WB05,ITAH_2,ITAH,PA,11,42.27,13.595,1200,11,,P001_WC10
UPU_119901_P002_WC03,ITAL_3,ITAL,PA,8,41.807,13.595,300,8,,P001_WC11
UPU_119901_P002_WC10,BRI_20,BRI,PA,12,53.26,34.42,149,12,,P001_WC12
UPU_119901_P002_WC11,SWE_11,SWE,PA,6,61.6,12.923,400,6,,P001_WD01
UPU_119901_P002_WD02,GERH_8,GERH,PA,10,47.463,12.262,1300,10,,P001_WD02
UPU_119901_P002_WD09,SWE_12,SWE,PA,6,61.6,12.923,400,6,,P001_WD03
UPU_119901_P002_WD10,SWE_2,SWE,PA,6,61.6,12.923,400,6,,P001_WD04
UPU_119901_P002_WD11,ITAH_1,ITAH,PA,11,42.27,13.595,1200,11,,P001_WD05
UPU_119901_P002_WE03,GERH_6,GERH,PA,10,47.463,12.262,1300,10,,P001_WD06
UPU_119901_P002_WE12,SWE_4,SWE,PA,9,62.063,12.923,1000,9,,P001_WD07
UPU_119901_P002_WF03,ITAL_2,ITAL,PA,8,41.807,13.595,300,8,,P001_WD08
UPU_119901_P002_WF04,GERL_9,GERL,PA,8,47,12.262,730,8,,P001_WD09
UPU_119901_P002_WF06,SWE_13,SWE,PA,9,62.063,12.923,1000,9,,P001_WD10
UPU_119901_P002_WF08,ITAH_6,ITAH,PA,11,42.27,13.595,1200,11,,P001_WD11
UPU_119901_P002_WF11,ITAH_4,ITAH,PA,11,42.27,13.595,1200,11,,P001_WD12
UPU_119901_P002_WF12,BRI_18,BRI,PA,12,53.26,34.42,149,12,,P001_WE01
UPU_119901_P002_WG02,BRI_16,BRI,PA,12,53.26,34.42,149,12,,P001_WE02
