Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1800991,19/03/2015 16:10,19/03/2015 16:08,2542182,508436400,2542182,200,310,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1800991/SRR1800991.1,SRX874951,OYWX,WGS,RANDOM,GENOMIC,PAIRED,775,0,ILLUMINA,Illumina HiSeq 2000,SRP054739,PRJNA251226,,251226,SRS844365,SAMN02946044,simple,72658,Boechera stricta,1014561,,,,,,,no,,,,,JGI,SRA240156,,public,3168AA46184645318729FCFB972E2FD8,69F99F0396940C0DE8C2A145F494D29A
SRR1800992,19/03/2015 16:10,19/03/2015 16:08,2959179,591835800,2959179,200,365,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1800992/SRR1800992.1,SRX874952,OHTG,WGS,RANDOM,GENOMIC,PAIRED,829,0,ILLUMINA,Illumina HiSeq 2000,SRP054739,PRJNA251226,,251226,SRS844365,SAMN02946044,simple,72658,Boechera stricta,1014561,,,,,,,no,,,,,JGI,SRA240156,,public,279231C8DCF2E04D2F7DDA350CED4804,90FD7F386780D6DD7DF097001857AAC9
SRR1800993,19/03/2015 16:10,19/03/2015 16:08,3275277,655055400,3275277,200,406,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1800993/SRR1800993.1,SRX874953,OYSU,WGS,RANDOM,GENOMIC,PAIRED,790,0,ILLUMINA,Illumina HiSeq 2000,SRP054739,PRJNA251226,,251226,SRS844365,SAMN02946044,simple,72658,Boechera stricta,1014561,,,,,,,no,,,,,JGI,SRA240156,,public,ACFD2CA9A1D4F23F92CC79D81D89D0E7,0846E338B2206750D502CD58094E56F2
SRR1800994,19/03/2015 16:10,19/03/2015 16:08,2644207,528841400,2644207,200,330,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1800994/SRR1800994.1,SRX874954,OHSH,WGS,RANDOM,GENOMIC,PAIRED,802,0,ILLUMINA,Illumina HiSeq 2000,SRP054739,PRJNA251226,,251226,SRS844365,SAMN02946044,simple,72658,Boechera stricta,1014561,,,,,,,no,,,,,JGI,SRA240156,,public,107A60478D72D92E5928D918E6831AEA,DE2081C41C3D18431868C0863A1BDBD9
SRR1800995,19/03/2015 16:10,19/03/2015 16:08,3165725,633145000,3165725,200,393,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1800995/SRR1800995.1,SRX874955,OYSN,WGS,RANDOM,GENOMIC,PAIRED,795,0,ILLUMINA,Illumina HiSeq 2000,SRP054739,PRJNA251226,,251226,SRS844365,SAMN02946044,simple,72658,Boechera stricta,1014561,,,,,,,no,,,,,JGI,SRA240156,,public,0885AB46201B73981C140CF48EBC0016,AAF57B83EB4D21F1C5AADBCC1D0D095A
SRR1800996,19/03/2015 16:10,19/03/2015 16:08,3156512,631302400,3156512,200,382,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1800996/SRR1800996.1,SRX874956,OHTW,WGS,RANDOM,GENOMIC,PAIRED,794,0,ILLUMINA,Illumina HiSeq 2000,SRP054739,PRJNA251226,,251226,SRS844365,SAMN02946044,simple,72658,Boechera stricta,1014561,,,,,,,no,,,,,JGI,SRA240156,,public,8BD2FD3F78647F1CD0C18B6DC65E2990,B90C98ACF1C8EFE68E5A3FC15E5AE7EB
SRR1800997,19/03/2015 16:10,19/03/2015 16:08,3085120,617024000,3085120,200,379,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1800997/SRR1800997.1,SRX874957,OHZU,WGS,RANDOM,GENOMIC,PAIRED,758,0,ILLUMINA,Illumina HiSeq 2000,SRP054739,PRJNA251226,,251226,SRS844365,SAMN02946044,simple,72658,Boechera stricta,1014561,,,,,,,no,,,,,JGI,SRA240156,,public,1009832B7E1B2A4A2F3461B4147F3534,952006973B7BBAB93D4BE2B389FC5781
SRR1800998,19/03/2015 16:10,19/03/2015 16:08,2557475,511495000,2557475,200,315,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1800998/SRR1800998.1,SRX874958,OHYN,WGS,RANDOM,GENOMIC,PAIRED,808,0,ILLUMINA,Illumina HiSeq 2000,SRP054739,PRJNA251226,,251226,SRS844365,SAMN02946044,simple,72658,Boechera stricta,1014561,,,,,,,no,,,,,JGI,SRA240156,,public,3C4183A14435A25E2E72CD0934B8340B,55722B253E25B868AE63B6229D67518D
SRR1800999,19/03/2015 16:11,19/03/2015 16:09,4073905,814781000,4073905,200,484,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1800999/SRR1800999.1,SRX874959,OYUH,WGS,RANDOM,GENOMIC,PAIRED,671,0,ILLUMINA,Illumina HiSeq 2000,SRP054739,PRJNA251226,,251226,SRS844365,SAMN02946044,simple,72658,Boechera stricta,1014561,,,,,,,no,,,,,JGI,SRA240156,,public,CA9CE33DA0207237152056418D14AD66,40564C83FEBF0C2BAABBC539E1A6266B
SRR1801000,19/03/2015 16:10,19/03/2015 16:08,2932631,586526200,2932631,200,361,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1801000/SRR1801000.1,SRX874960,OYUB,WGS,RANDOM,GENOMIC,PAIRED,757,0,ILLUMINA,Illumina HiSeq 2000,SRP054739,PRJNA251226,,251226,SRS844365,SAMN02946044,simple,72658,Boechera stricta,1014561,,,,,,,no,,,,,JGI,SRA240156,,public,08B3EBC3492B56A44AF7516EF50DB7C1,E6587CE0FA71C2DEA31903A80F5F56F9
