SampleID Latitude Longitude Group note
RP028 42.499000 -110.794900 Admixed Included_in_data_analyses
RP044 42.970000 -109.766200 Admixed Included_in_data_analyses
RP096 42.581000 -110.739600 Admixed Included_in_data_analyses
RP155 42.506000 -110.678100 Admixed Included_in_data_analyses
RP176 42.475000 -110.616600 Admixed Included_in_data_analyses
RP217 43.003000 -109.753900 Admixed Included_in_data_analyses
RP277 42.673130 -108.876900 Admixed Included_in_data_analyses
RP304 38.994270 -107.065510 Admixed Included_in_data_analyses
RP436 45.103070 -111.870870 Admixed Included_in_data_analyses
RP437 45.025650 -111.846020 Admixed Included_in_data_analyses
RP440 44.549270 -112.091300 Admixed Included_in_data_analyses
RP443 44.486200 -112.112270 Admixed Included_in_data_analyses
RP451 45.085750 -111.864050 Admixed Included_in_data_analyses
RP452 45.054870 -111.839200 Admixed Included_in_data_analyses
RP455 44.924870 -111.836230 Admixed Included_in_data_analyses
RP458 44.892200 -111.655170 Admixed Included_in_data_analyses
RP460 40.615950 -111.507380 Admixed Included_in_data_analyses
HET21 39.648880 -107.159130 COL Included_in_data_analyses
RP001 38.506000 -109.318900 COL Included_in_data_analyses
RP015 38.945000 -106.988400 COL Included_in_data_analyses
RP026 40.693000 -109.494600 COL Included_in_data_analyses
RP029 38.856000 -107.061300 COL Included_in_data_analyses
RP031 39.761000 -110.919400 COL Included_in_data_analyses
RP032 40.399630 -106.119000 COL Included_in_data_analyses
RP034 39.906670 -105.517170 COL Included_in_data_analyses
RP036 38.988500 -107.006800 COL Included_in_data_analyses
RP042 40.001000 -105.468100 COL Included_in_data_analyses
RP051 38.898000 -107.202600 COL Included_in_data_analyses
RP057 38.692000 -106.822900 COL Included_in_data_analyses
RP058 40.309000 -106.062100 COL Included_in_data_analyses
RP065 38.976100 -106.989700 COL Included_in_data_analyses
RP067 38.707000 -106.804500 COL Included_in_data_analyses
RP073 39.951000 -105.593600 COL Included_in_data_analyses
RP077 38.969500 -106.967200 COL Included_in_data_analyses
RP083 38.775000 -106.626900 COL Included_in_data_analyses
RP085 38.301000 -107.355800 COL Included_in_data_analyses
RP086 38.730000 -106.820100 COL Included_in_data_analyses
RP100 38.510000 -109.318800 COL Included_in_data_analyses
RP110 38.725700 -106.759400 COL Included_in_data_analyses
RP111 38.762000 -106.862800 COL Included_in_data_analyses
Table S1 Whole genome re-sequenced inbred Boechera stricta accessions.
RP125 39.684000 -105.607100 COL Included_in_data_analyses
RP133 40.080000 -105.532500 COL Included_in_data_analyses
RP139 40.544000 -106.625000 COL Included_in_data_analyses
RP146 39.000000 -107.022300 COL Included_in_data_analyses
RP151 38.850000 -107.100900 COL Included_in_data_analyses
RP152 39.864000 -105.444700 COL Included_in_data_analyses
RP153 38.543000 -109.301800 COL Included_in_data_analyses
RP156 38.958000 -106.988800 COL Included_in_data_analyses
RP164 38.963000 -106.987600 COL Included_in_data_analyses
RP175 38.976000 -106.998600 COL Included_in_data_analyses
RP195 37.807600 -109.818700 COL Included_in_data_analyses
RP199 44.404000 -103.938400 COL Included_in_data_analyses
RP220 38.666000 -106.838700 COL Included_in_data_analyses
RP221 38.858000 -107.154700 COL Included_in_data_analyses
RP229 38.828000 -106.835300 COL Included_in_data_analyses
RP234 38.963000 -106.992500 COL Included_in_data_analyses
RP245 38.768000 -106.766000 COL Included_in_data_analyses
RP255 38.727000 -106.761800 COL Included_in_data_analyses
RP261 38.746100 -106.673000 COL Included_in_data_analyses
RP262 38.758000 -106.680300 COL Included_in_data_analyses
RP265 38.807000 -106.563200 COL Included_in_data_analyses
RP270 44.300750 -107.305780 COL Included_in_data_analyses
RP272 40.520600 -105.892700 COL Included_in_data_analyses
RP273 42.744510 -106.325100 COL Included_in_data_analyses
RP274 44.282760 -106.991600 COL Included_in_data_analyses
RP275 41.226670 -105.382920 COL Included_in_data_analyses
RP278 41.339170 -106.375280 COL Included_in_data_analyses
RP279 41.331220 -106.502220 COL Included_in_data_analyses
RP281 40.607780 -108.863000 COL Included_in_data_analyses
RP285 38.531580 -106.324170 COL Included_in_data_analyses
RP290 39.007670 -106.998850 COL Included_in_data_analyses
