Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR10615405,25/06/2020 12:22,10/12/2019 08:16,36818787,7437394974,36818787,202,3157,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10615405/SRR10615405.1,SRX7294576,Baza-2,Targeted-Capture,Hybrid Selection,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235404,PRJNA592869,,592869,SRS5787876,SAMN13520238,simple,3349,Pinus sylvestris,Baza-2,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA1008982,,public,DC9F5B87A1BC0750103739951CE8BC0C,D39F07701A1502643CEBF448D366AE38
SRR10615438,25/06/2020 12:22,10/12/2019 08:27,31016992,6265432384,31016992,202,2609,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10615438/SRR10615438.1,SRX7294543,Baza-21,Targeted-Capture,Hybrid Selection,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235404,PRJNA592869,,592869,SRS5787843,SAMN13520235,simple,3349,Pinus sylvestris,Baza-21,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA1008982,,public,B1B65C07788E60560BE6D4BB542A7B77,37E18E44ECF3DD2DDD6BE30F57128911
SRR10615427,25/06/2020 12:22,10/12/2019 08:28,24282564,4905077928,24282564,202,1712,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10615427/SRR10615427.1,SRX7294554,Baza-24,Targeted-Capture,Hybrid Selection,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235404,PRJNA592869,,592869,SRS5787854,SAMN13520236,simple,3349,Pinus sylvestris,Baza-24,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA1008982,,public,CBF3A08750031DDFA60471AD4EFB9CE7,AC71390CC931A3E93F4378134E551C0D
SRR10615416,25/06/2020 12:22,10/12/2019 08:23,20862002,4214124404,20862002,202,1436,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10615416/SRR10615416.1,SRX7294565,Baza-27,Targeted-Capture,Hybrid Selection,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235404,PRJNA592869,,592869,SRS5787865,SAMN13520237,simple,3349,Pinus sylvestris,Baza-27,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA1008982,,public,B2ACBF8DBFF6E312A5019850CF2BE41D,2C48AD4117EBF5D5F9038A4427480DC7
SRR10615394,25/06/2020 12:22,10/12/2019 08:12,17297035,3494001070,17297035,202,1210,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10615394/SRR10615394.1,SRX7294587,Baza-30,Targeted-Capture,Hybrid Selection,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235404,PRJNA592869,,592869,SRS5787887,SAMN13520239,simple,3349,Pinus sylvestris,Baza-30,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA1008982,,public,0E7DCA7CA0D9D41E15E4EF34C34FD460,73C15EA998A6968DE0EB58B3E7323DB9
SRR10615382,25/06/2020 12:22,10/12/2019 08:04,20895043,4220798686,20895043,202,1478,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10615382/SRR10615382.1,SRX7294598,Baza-5,Targeted-Capture,Hybrid Selection,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235404,PRJNA592869,,592869,SRS5787898,SAMN13520240,simple,3349,Pinus sylvestris,Baza-5,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA1008982,,public,5B12E5A7EB74C5419B523F1CE9C8056E,31A6B67D2685F6D243FAB9385850E4A7
SRR10615372,25/06/2020 12:22,10/12/2019 07:58,14257612,2880037624,14257612,202,1014,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10615372/SRR10615372.1,SRX7294609,Inari-115,Targeted-Capture,Hybrid Selection,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235404,PRJNA592869,,592869,SRS5787909,SAMN13520241,simple,3349,Pinus sylvestris,Inari-115,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA1008982,,public,2C9110598EFB8FEFEC8E2E967D8C4919,A5EB7E01CEF5B6E8E2367CFE0B3C8F01
SRR10615361,25/06/2020 12:22,10/12/2019 07:56,18009477,3637914354,18009477,202,1200,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10615361/SRR10615361.1,SRX7294620,Inari-13,Targeted-Capture,Hybrid Selection,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235404,PRJNA592869,,592869,SRS5787920,SAMN13520242,simple,3349,Pinus sylvestris,Inari-13,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA1008982,,public,934C9EEA48DC760221169BDD61774FA1,0EE002E859B27A1E33A1A84CDFF2C25C
SRR10615446,25/06/2020 12:22,10/12/2019 08:30,16199483,3272295566,16199483,202,1119,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10615446/SRR10615446.1,SRX7294535,Inari-21,Targeted-Capture,Hybrid Selection,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235404,PRJNA592869,,592869,SRS5787835,SAMN13520245,simple,3349,Pinus sylvestris,Inari-21,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA1008982,,public,0AD2155B7635368FE27BE31DEB72FC75,E54F3DC125FF0F6FBFCE92897BDA386B
SRR10615445,25/06/2020 12:22,10/12/2019 08:28,11964803,2416890206,11964803,202,792,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10615445/SRR10615445.1,SRX7294536,Inari-22,Targeted-Capture,Hybrid Selection,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP235404,PRJNA592869,,592869,SRS5787836,SAMN13520246,simple,3349,Pinus sylvestris,Inari-22,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA1008982,,public,1B192744389149A81529BAE1F24FCA22,0F26B97D6FD77D54D0CD2769400157B5
