samp	total_reads-before_trimming	total_reads-after_trimming	total_bases-before_trimming	total_bases-after_trimming	q30_bases-before_trimming	q30_bases-after_trimming	q20_bases-before_trimming	q20_bases-after_trimming	mapped_bamfile	dedup_bamfile	realigned_bamfile	trim_command
ER760144	221844272.0	187712378.0	22406271472.0	18458036550.0	19190883308.0	17114468515.0	20897139452.0	18152797951.0				fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/ERR1760144_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/ERR1760144_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/ERR1760144_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/ERR1760144_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/ER760144__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/ER760144__trimmed_R1_R2.json 
ER760145	316000000.0	259830916.0	31600000000.0	25348467382.0	26043288643.0	23148803310.0	29029672042.0	24844867572.0				fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/ERR1760145_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/ERR1760145_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/ERR1760145_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/ERR1760145_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/ER760145__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/ER760145__trimmed_R1_R2.json 
ER760146	310713334.0	256079742.0	31071333400.0	25193469036.0	26045681270.0	23729585382.0	28081783693.0	24850941103.0				fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/ERR1760146_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/ERR1760146_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/ERR1760146_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/ERR1760146_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/ER760146__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/ER760146__trimmed_R1_R2.json 
ER760147	326626720.0	275573210.0	32759613538.0	27251406819.0	28233405739.0	25912811122.0	30072107882.0	26949134328.0				fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/ERR1760147_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/ERR1760147_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/ERR1760147_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/ERR1760147_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/ER760147__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/ER760147__trimmed_R1_R2.json 
SRR960965	210009924.0	191694586.0	21211002324.0	19087901668.0	19448843717.0	18251680716.0	20462952709.0	18923051651.0	115564790			fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/SRR960965_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR960965_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/SRR960965_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR960965_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR960965__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR960965__trimmed_R1_R2.json 
SRR964271	247451338.0	212235676.0	24992585138.0	20867171040.0	21667944206.0	19468347947.0	23390417465.0	20532149696.0	130765922			fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/SRR964271_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR964271_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/SRR964271_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR964271_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR964271__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR964271__trimmed_R1_R2.json 
SRR964272	287528412.0	248543660.0	29040369612.0	24503131469.0	25285536208.0	22853244100.0	27264852440.0	24095168564.0	151363063			fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/SRR964272_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR964272_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/SRR964272_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR964272_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR964272__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR964272__trimmed_R1_R2.json 
SRR964273	251763664.0	217882802.0	25428130064.0	21472670769.0	22153781627.0	19997764442.0	23917258686.0	21111142976.0	139142482			fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/SRR964273_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR964273_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/SRR964273_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR964273_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR964273__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR964273__trimmed_R1_R2.json 
SRR964274	288093840.0	246292174.0	29097477840.0	24247986548.0	25248466319.0	22678019319.0	27163782995.0	23875403516.0	156009372			fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/SRR964274_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR964274_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/SRR964274_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR964274_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR964274__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Ahal/parentdir/rellstab_Ahal_pooled/01_trimmed/SRR964274__trimmed_R1_R2.json 
ERR1760144									118217214			
