Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR5124980,24/03/2017 11:42,22/12/2016 06:51,50645428,10230376456,50645428,202,6892,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5124980/SRR5124980.1,SRX2439792,Alyr_KAR_C155_P2,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP095509,PRJNA357372,,357372,SRS1874388,SAMN06159138,simple,59691,Arabidopsis lyrata subsp. petraea,Alyr_KAR_C155_P2,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA507375,,public,E847F3727C94BA7D17B9E991B2E9EF5D,96FB3F85568386F6D2104257765000DF
SRR5124974,24/03/2017 11:41,22/12/2016 06:52,58739750,11865429500,58739750,202,7867,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5124974/SRR5124974.1,SRX2439786,Alyr_KAR_C158_P2,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP095509,PRJNA357372,,357372,SRS1874384,SAMN06159139,simple,59691,Arabidopsis lyrata subsp. petraea,Alyr_KAR_C158_P2,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA507375,,public,D7DD1729088D57B4F4600798C5874A61,576AD9BC414266801D7F229C9C80D11A
SRR5124993,24/03/2017 11:44,22/12/2016 06:30,22374475,4519643950,22374475,202,2845,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5124993/SRR5124993.1,SRX2439805,Alyr_KAR_C180_P4,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP095509,PRJNA357372,,357372,SRS1874401,SAMN06159140,simple,59691,Arabidopsis lyrata subsp. petraea,Alyr_KAR_C180_P4,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA507375,,public,81B328211B6F57035A1AE6680DF378A7,806500C34DD38070A1697AF37675D2F9
SRR5125001,24/03/2017 11:40,22/12/2016 06:52,58058664,11727850128,58058664,202,7854,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5125001/SRR5125001.1,SRX2439813,Alyr_KAR_KAR_1456,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP095509,PRJNA357372,,357372,SRS1874409,SAMN06159141,simple,59691,Arabidopsis lyrata subsp. petraea,Alyr_KAR_KAR_1456,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA507375,,public,1BC09ABD0D1CC503033FF2B7A9EAAC5A,E2906F20589CCD0AC9488EBCAE08C18F
SRR5124991,24/03/2017 11:43,22/12/2016 06:21,11906435,2405099870,11906435,202,1499,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5124991/SRR5124991.1,SRX2439803,Alyr_MA_MA605-3g,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP095509,PRJNA357372,,357372,SRS1874399,SAMN06141193,simple,81972,Arabidopsis lyrata subsp. lyrata,Alyr_MA_MA605-3g,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA507375,,public,821B5A9D5320AA089F2C6434D756FC58,37C24E044117AE55AF786505E7169B2C
SRR5124981,24/03/2017 11:42,22/12/2016 06:37,39628941,8005046082,39628941,202,4995,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5124981/SRR5124981.1,SRX2439793,Alyr_MA_MA611-1g,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP095509,PRJNA357372,,357372,SRS1874389,SAMN06141194,simple,81972,Arabidopsis lyrata subsp. lyrata,Alyr_MA_MA611-1g,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA507375,,public,C5955AB8AE2FA1027E39F1C0569F4B1C,F402D33C66745417E9367B6E9A3DC4BF
SRR5124994,24/03/2017 11:39,22/12/2016 06:59,63999971,12927994142,63999971,202,8109,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5124994/SRR5124994.1,SRX2439806,Alyr_MA_MA622-1g,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP095509,PRJNA357372,,357372,SRS1874402,SAMN06141195,simple,81972,Arabidopsis lyrata subsp. lyrata,Alyr_MA_MA622-1g,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA507375,,public,C07B7EC51AB79D2512EF9A1C03E4868A,6FBC33AF32D57B41AC7263FDD8CA4BE6
SRR5125000,24/03/2017 11:40,22/12/2016 06:50,48319431,9760525062,48319431,202,6085,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5125000/SRR5125000.1,SRX2439812,Alyr_MA_MA625-1g,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP095509,PRJNA357372,,357372,SRS1874408,SAMN06141196,simple,81972,Arabidopsis lyrata subsp. lyrata,Alyr_MA_MA625-1g,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA507375,,public,8113DB052B744FD4507B042086D8B035,D156C552FD034EA038074AF7EA657846
SRR5124979,24/03/2017 11:42,22/12/2016 06:43,45245323,9139555246,45245323,202,5687,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5124979/SRR5124979.1,SRX2439791,Alyr_MA_MA629-1g,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP095509,PRJNA357372,,357372,SRS1874387,SAMN06141197,simple,81972,Arabidopsis lyrata subsp. lyrata,Alyr_MA_MA629-1g,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA507375,,public,EBEC33F0892D3840EA13EDAD9D48726A,E949219FB847AAB2F4B8F207F2A51BF2
SRR5124992,24/03/2017 11:44,22/12/2016 06:23,16016860,3235405720,16016860,202,2034,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5124992/SRR5124992.1,SRX2439804,Alyr_MA_Ncm8-4,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP095509,PRJNA357372,,357372,SRS1874400,SAMN06141198,simple,81972,Arabidopsis lyrata subsp. lyrata,Alyr_MA_Ncm8-4,,,,,,,no,,,,,UNIVERSITY OF OULU,SRA507375,,public,CAC777FB2BA4EA9EE087BFD3169C4351,3758F10666D9F51C6051CEF3554CB458
