sample_name	library_name	pool_name	ploidy	file_name_r1	file_name_r2	adaptor_1	adaptor_2	ref	rgid	rglb	rgpl	rgpu	rgsm
SRR1034651			2	SRR1034651_1.fastq.gz	SRR1034651_2.fastq.gz				Mtruncatula_HM335_SRR1034651		ILLUMINA		Mtruncatula_HM335
SRR1034655			2	SRR1034655_1.fastq.gz	SRR1034655_2.fastq.gz				Mtruncatula_HM336_SRR1034655		ILLUMINA		Mtruncatula_HM336
SRR1034654			2	SRR1034654_1.fastq.gz	SRR1034654_2.fastq.gz				Mtruncatula_HM338_SRR1034654		ILLUMINA		Mtruncatula_HM338
SRR1034653			2	SRR1034653_1.fastq.gz	SRR1034653_2.fastq.gz				Mtruncatula_HM339_SRR1034653		ILLUMINA		Mtruncatula_HM339
SRR1034652			2	SRR1034652_1.fastq.gz	SRR1034652_2.fastq.gz				Mtruncatula_HM337_SRR1034652		ILLUMINA		Mtruncatula_HM337
SRR1034650			2	SRR1034650_1.fastq.gz	SRR1034650_2.fastq.gz				Mtruncatula_HM124_SRR1034650		ILLUMINA		Mtruncatula_HM124
SRR1034649			2	SRR1034649_1.fastq.gz	SRR1034649_2.fastq.gz				Mtruncatula_HM095_SRR1034649		ILLUMINA		Mtruncatula_HM095
SRR1034648			2	SRR1034648_1.fastq.gz	SRR1034648_2.fastq.gz				Mtruncatula_HM095_SRR1034648		ILLUMINA		Mtruncatula_HM095
SRR1034647			2	SRR1034647_1.fastq.gz	SRR1034647_2.fastq.gz				Mtruncatula_HM325_SRR1034647		ILLUMINA		Mtruncatula_HM325
SRR1034646			2	SRR1034646_1.fastq.gz	SRR1034646_2.fastq.gz				Mtruncatula_HM325_SRR1034646		ILLUMINA		Mtruncatula_HM325
SRR1034645			2	SRR1034645_1.fastq.gz	SRR1034645_2.fastq.gz				Mtruncatula_HM120_SRR1034645		ILLUMINA		Mtruncatula_HM120
SRR1034644			2	SRR1034644_1.fastq.gz	SRR1034644_2.fastq.gz				Mtruncatula_HM115_SRR1034644		ILLUMINA		Mtruncatula_HM115
SRR1034643			2	SRR1034643_1.fastq.gz	SRR1034643_2.fastq.gz				Mtruncatula_HM115_SRR1034643		ILLUMINA		Mtruncatula_HM115
SRR1034642			2	SRR1034642_1.fastq.gz	SRR1034642_2.fastq.gz				Mtruncatula_HM084_SRR1034642		ILLUMINA		Mtruncatula_HM084
SRR1034641			2	SRR1034641_1.fastq.gz	SRR1034641_2.fastq.gz				Mtruncatula_HM084_SRR1034641		ILLUMINA		Mtruncatula_HM084
SRR1034640			2	SRR1034640_1.fastq.gz	SRR1034640_2.fastq.gz				Mtruncatula_HM302_SRR1034640		ILLUMINA		Mtruncatula_HM302
SRR1034639			2	SRR1034639_1.fastq.gz	SRR1034639_2.fastq.gz				Mtruncatula_HM302_SRR1034639		ILLUMINA		Mtruncatula_HM302
SRR1034638			2	SRR1034638_1.fastq.gz	SRR1034638_2.fastq.gz				Mtruncatula_HM091_SRR1034638		ILLUMINA		Mtruncatula_HM091
SRR1034637			2	SRR1034637_1.fastq.gz	SRR1034637_2.fastq.gz				Mtruncatula_HM099_SRR1034637		ILLUMINA		Mtruncatula_HM099
SRR1034636			2	SRR1034636_1.fastq.gz	SRR1034636_2.fastq.gz				Mtruncatula_HM099_SRR1034636		ILLUMINA		Mtruncatula_HM099
SRR1034635			2	SRR1034635_1.fastq.gz	SRR1034635_2.fastq.gz				Mtruncatula_HM067_SRR1034635		ILLUMINA		Mtruncatula_HM067
SRR1034634			2	SRR1034634_1.fastq.gz	SRR1034634_2.fastq.gz				Mtruncatula_HM067_SRR1034634		ILLUMINA		Mtruncatula_HM067
SRR1034633			2	SRR1034633_1.fastq.gz	SRR1034633_2.fastq.gz				Mtruncatula_HM300_SRR1034633		ILLUMINA		Mtruncatula_HM300
SRR1034632			2	SRR1034632_1.fastq.gz	SRR1034632_2.fastq.gz				Mtruncatula_HM300_SRR1034632		ILLUMINA		Mtruncatula_HM300
SRR1034631			2	SRR1034631_1.fastq.gz	SRR1034631_2.fastq.gz				Mtruncatula_HM089_SRR1034631		ILLUMINA		Mtruncatula_HM089
SRR1034630			2	SRR1034630_1.fastq.gz	SRR1034630_2.fastq.gz				Mtruncatula_HM098_SRR1034630		ILLUMINA		Mtruncatula_HM098
SRR1034629			2	SRR1034629_1.fastq.gz	SRR1034629_2.fastq.gz				Mtruncatula_HM055_SRR1034629		ILLUMINA		Mtruncatula_HM055
SRR1034628			2	SRR1034628_1.fastq.gz	SRR1034628_2.fastq.gz				Mtruncatula_HM055_SRR1034628		ILLUMINA		Mtruncatula_HM055
SRR1034627			2	SRR1034627_1.fastq.gz	SRR1034627_2.fastq.gz				Mtruncatula_HM292_SRR1034627		ILLUMINA		Mtruncatula_HM292
SRR1034626			2	SRR1034626_1.fastq.gz	SRR1034626_2.fastq.gz				Mtruncatula_HM074_SRR1034626		ILLUMINA		Mtruncatula_HM074
SRR1034625			2	SRR1034625_1.fastq.gz	SRR1034625_2.fastq.gz				Mtruncatula_HM074_SRR1034625		ILLUMINA		Mtruncatula_HM074
SRR1034624			2	SRR1034624_1.fastq.gz	SRR1034624_2.fastq.gz				Mtruncatula_HM097_SRR1034624		ILLUMINA		Mtruncatula_HM097
SRR1034623			2	SRR1034623_1.fastq.gz	SRR1034623_2.fastq.gz				Mtruncatula_HM097_SRR1034623		ILLUMINA		Mtruncatula_HM097
SRR1034622			2	SRR1034622_1.fastq.gz	SRR1034622_2.fastq.gz				Mtruncatula_HM327_SRR1034622		ILLUMINA		Mtruncatula_HM327
SRR1034621			2	SRR1034621_1.fastq.gz	SRR1034621_2.fastq.gz				Mtruncatula_HM327_SRR1034621		ILLUMINA		Mtruncatula_HM327
SRR1034620			2	SRR1034620_1.fastq.gz	SRR1034620_2.fastq.gz				Mtruncatula_HM122_SRR1034620		ILLUMINA		Mtruncatula_HM122
SRR1034619			2	SRR1034619_1.fastq.gz	SRR1034619_2.fastq.gz				Mtruncatula_HM122_SRR1034619		ILLUMINA		Mtruncatula_HM122
