"Pop","Lat","Long","Alt"
"ARG_01",29.6465,-97.69094,133
"ARG_01",29.6465,-97.69094,133
"ARG_01",29.6465,-97.69094,133
"ARG_01",29.6465,-97.69094,133
"ARG_01",29.6465,-97.69094,133
"ARG_01",29.6465,-97.69094,133
"ARG_01",29.6465,-97.69094,133
"ARG_01",29.6465,-97.69094,133
"ARG_01",29.6465,-97.69094,133
"ARG_01",29.6465,-97.69094,133
"ARG_02",29.43897,-97.73836,125
"ARG_02",29.43897,-97.73836,125
"ARG_02",29.43897,-97.73836,125
"ARG_02",29.43897,-97.73836,125
"ARG_02",29.43897,-97.73836,125
"ARG_02",29.43897,-97.73836,125
"ARG_02",29.43897,-97.73836,125
"ARG_02",29.43897,-97.73836,125
"ARG_02",29.43897,-97.73836,125
"ARG_02",29.43897,-97.73836,125
"ARG_03",29.31939,-97.7441,105
"ARG_03",29.31939,-97.7441,105
"ARG_03",29.31939,-97.7441,105
"ARG_03",29.31939,-97.7441,105
"ARG_03",29.31939,-97.7441,105
"ARG_03",29.31939,-97.7441,105
"ARG_03",29.31939,-97.7441,105
"ARG_03",29.31939,-97.7441,105
"ARG_03",29.31939,-97.7441,105
"ARG_03",29.31939,-97.7441,105
"ARG_04",29.60147,-97.70881,140
"ARG_04",29.60147,-97.70881,140
"ARG_04",29.60147,-97.70881,140
"ARG_04",29.60147,-97.70881,140
"ARG_04",29.60147,-97.70881,140
"ARG_04",29.60147,-97.70881,140
"ARG_04",29.60147,-97.70881,140
"ARG_04",29.60147,-97.70881,140
"ARG_04",29.60147,-97.70881,140
"ARG_04",29.60147,-97.70881,140
"ARG_05",29.45132,-97.6954,104
"ARG_05",29.45132,-97.6954,104
"ARG_05",29.45132,-97.6954,104
"ARG_05",29.45132,-97.6954,104
"ARG_05",29.45132,-97.6954,104
"ARG_05",29.45132,-97.6954,104
"ARG_05",29.45132,-97.6954,104
"ARG_05",29.45132,-97.6954,104
"ARG_05",29.45132,-97.6954,104
"ARG_05",29.45132,-97.6954,104
"ARG_06",29.27191,-97.66967,100
"ARG_06",29.27191,-97.66967,100
"ARG_06",29.27191,-97.66967,100
"ARG_06",29.27191,-97.66967,100
"ARG_06",29.27191,-97.66967,100
"ARG_06",29.27191,-97.66967,100
"ARG_06",29.27191,-97.66967,100
"ARG_06",29.27191,-97.66967,100
"ARG_06",29.27191,-97.66967,100
"ARG_06",29.27191,-97.66967,100
"ARG_07",28.70013,-97.38772,50
"ARG_07",28.70013,-97.38772,50
"ARG_07",28.70013,-97.38772,50
"ARG_07",28.70013,-97.38772,50
"ARG_07",28.70013,-97.38772,50
"ARG_07",28.70013,-97.38772,50
"ARG_07",28.70013,-97.38772,50
"ARG_07",28.70013,-97.38772,50
"ARG_07",28.70013,-97.38772,50
"ARG_07",28.70013,-97.38772,50
"ARG_08",28.73672,-97.03155,20
"ARG_08",28.73672,-97.03155,20
"ARG_08",28.73672,-97.03155,20
"ARG_08",28.73672,-97.03155,20
"ARG_08",28.73672,-97.03155,20
"ARG_08",28.73672,-97.03155,20
"ARG_08",28.73672,-97.03155,20
"ARG_08",28.73672,-97.03155,20
"ARG_08",28.73672,-97.03155,20
"ARG_08",28.73672,-97.03155,20
"ARG_09",28.18143,-96.9948,4
"ARG_09",28.18143,-96.9948,4
"ARG_09",28.18143,-96.9948,4
"ARG_09",28.18143,-96.9948,4
"ARG_09",28.18143,-96.9948,4
"ARG_09",28.18143,-96.9948,4
"ARG_09",28.18143,-96.9948,4
"ARG_09",28.18143,-96.9948,4
"ARG_09",28.18143,-96.9948,4
"ARG_09",28.18143,-96.9948,4
"ARG_10",28.10813,-97.02884,7
"ARG_10",28.10813,-97.02884,7
"ARG_10",28.10813,-97.02884,7
"ARG_10",28.10813,-97.02884,7
"ARG_10",28.10813,-97.02884,7
"ARG_10",28.10813,-97.02884,7
"ARG_10",28.10813,-97.02884,7
"ARG_10",28.10813,-97.02884,7
"ARG_10",28.10813,-97.02884,7
"ARG_10",28.10813,-97.02884,7
"ARG_11",27.99705,-97.07636,0
"ARG_11",27.99705,-97.07636,0
"ARG_11",27.99705,-97.07636,0
"ARG_11",27.99705,-97.07636,0
"ARG_11",27.99705,-97.07636,0
"ARG_11",27.99705,-97.07636,0
"ARG_11",27.99705,-97.07636,0
"ARG_11",27.99705,-97.07636,0
"ARG_11",27.99705,-97.07636,0
"ARG_11",27.99705,-97.07636,0
"ARG_12",27.93269,-97.12295,0
"ARG_12",27.93269,-97.12295,0
"ARG_12",27.93269,-97.12295,0
"ARG_12",27.93269,-97.12295,0
"ARG_12",27.93269,-97.12295,0
"ARG_12",27.93269,-97.12295,0
"ARG_12",27.93269,-97.12295,0
"ARG_12",27.93269,-97.12295,0
"ARG_12",27.93269,-97.12295,0
"ARG_12",27.93269,-97.12295,0
"ARG_13",27.83272,-97.04939,6
"ARG_13",27.83272,-97.04939,6
"ARG_13",27.83272,-97.04939,6
"ARG_13",27.83272,-97.04939,6
"ARG_13",27.83272,-97.04939,6
"ARG_13",27.83272,-97.04939,6
"ARG_13",27.83272,-97.04939,6
"ARG_13",27.83272,-97.04939,6
"ARG_13",27.83272,-97.04939,6
"ARG_13",27.83272,-97.04939,6
"ARG_14",27.8469,-97.04873,7
"ARG_14",27.8469,-97.04873,7
"ARG_14",27.8469,-97.04873,7
"ARG_14",27.8469,-97.04873,7
"ARG_14",27.8469,-97.04873,7
"ARG_14",27.8469,-97.04873,7
"ARG_14",27.8469,-97.04873,7
"ARG_14",27.8469,-97.04873,7
"ARG_14",27.8469,-97.04873,7
"ARG_14",27.8469,-97.04873,7
"ARG_15",27.83481,-97.08834,0
"ARG_15",27.83481,-97.08834,0
"ARG_15",27.83481,-97.08834,0
"ARG_15",27.83481,-97.08834,0
"ARG_15",27.83481,-97.08834,0
"ARG_15",27.83481,-97.08834,0
"ARG_15",27.83481,-97.08834,0
"ARG_15",27.83481,-97.08834,0
"ARG_15",27.83481,-97.08834,0
"ARG_15",27.83481,-97.08834,0
"ARG_16",27.68602,-97.17672,0
"ARG_16",27.68602,-97.17672,0
"ARG_16",27.68602,-97.17672,0
"ARG_16",27.68602,-97.17672,0
"ARG_16",27.68602,-97.17672,0
"ARG_16",27.68602,-97.17672,0
"ARG_16",27.68602,-97.17672,0
"ARG_16",27.68602,-97.17672,0
"ARG_16",27.68602,-97.17672,0
"ARG_16",27.68602,-97.17672,0
"ARG_17",27.61823,-97.21178,3
"ARG_17",27.61823,-97.21178,3
"ARG_17",27.61823,-97.21178,3
"ARG_17",27.61823,-97.21178,3
"ARG_17",27.61823,-97.21178,3
"ARG_17",27.61823,-97.21178,3
"ARG_17",27.61823,-97.21178,3
"ARG_17",27.61823,-97.21178,3
"ARG_17",27.61823,-97.21178,3
"ARG_17",27.61823,-97.21178,3
"ARG_18",27.47822,-97.28085,3
"ARG_18",27.47822,-97.28085,3
"ARG_18",27.47822,-97.28085,3
"ARG_18",27.47822,-97.28085,3
"ARG_18",27.47822,-97.28085,3
"ARG_18",27.47822,-97.28085,3
"ARG_18",27.47822,-97.28085,3
"ARG_18",27.47822,-97.28085,3
"ARG_18",27.47822,-97.28085,3
"ARG_18",27.47822,-97.28085,3
"ARG_19",27.57942,-97.2215,0
"ARG_19",27.57942,-97.2215,0
"ARG_19",27.57942,-97.2215,0
"ARG_19",27.57942,-97.2215,0
"ARG_19",27.57942,-97.2215,0
"ARG_19",27.57942,-97.2215,0
"ARG_19",27.57942,-97.2215,0
"ARG_19",27.57942,-97.2215,0
"ARG_19",27.57942,-97.2215,0
"ARG_19",27.57942,-97.2215,0
"ARG_20",27.6611,-97.31138,4
"ARG_20",27.6611,-97.31138,4
"ARG_20",27.6611,-97.31138,4
"ARG_20",27.6611,-97.31138,4
"ARG_20",27.6611,-97.31138,4
"ARG_20",27.6611,-97.31138,4
"ARG_20",27.6611,-97.31138,4
"ARG_20",27.6611,-97.31138,4
"ARG_20",27.6611,-97.31138,4
"ARG_20",27.6611,-97.31138,4
"ARG_21",28.12154,-97.39245,8
"ARG_21",28.12154,-97.39245,8
"ARG_21",28.12154,-97.39245,8
"ARG_21",28.12154,-97.39245,8
"ARG_21",28.12154,-97.39245,8
"ARG_21",28.12154,-97.39245,8
"ARG_21",28.12154,-97.39245,8
"ARG_21",28.12154,-97.39245,8
"ARG_21",28.12154,-97.39245,8
"ARG_21",28.12154,-97.39245,8
"ARG_22",28.27849,-97.29757,13
"ARG_22",28.27849,-97.29757,13
"ARG_22",28.27849,-97.29757,13
"ARG_22",28.27849,-97.29757,13
"ARG_22",28.27849,-97.29757,13
"ARG_22",28.27849,-97.29757,13
"ARG_22",28.27849,-97.29757,13
"ARG_22",28.27849,-97.29757,13
"ARG_22",28.27849,-97.29757,13
"ARG_22",28.27849,-97.29757,13
"ARG_23",26.8902,-98.13698,35
"ARG_23",26.8902,-98.13698,35
"ARG_23",26.8902,-98.13698,35
"ARG_23",26.8902,-98.13698,35
"ARG_23",26.8902,-98.13698,35
"ARG_23",26.8902,-98.13698,35
"ARG_23",26.8902,-98.13698,35
"ARG_23",26.8902,-98.13698,35
"ARG_23",26.8902,-98.13698,35
"ARG_23",26.8902,-98.13698,35
"ARG_24",26.92402,-97.79218,11
"ARG_24",26.92402,-97.79218,11
"ARG_24",26.92402,-97.79218,11
"ARG_24",26.92402,-97.79218,11
"ARG_24",26.92402,-97.79218,11
"ARG_24",26.92402,-97.79218,11
"ARG_24",26.92402,-97.79218,11
"ARG_24",26.92402,-97.79218,11
"ARG_24",26.92402,-97.79218,11
"ARG_24",26.92402,-97.79218,11
"ARG_25",27.15959,-97.79411,5
"ARG_25",27.15959,-97.79411,5
"ARG_25",27.15959,-97.79411,5
"ARG_25",27.15959,-97.79411,5
"ARG_25",27.15959,-97.79411,5
"ARG_25",27.15959,-97.79411,5
"ARG_25",27.15959,-97.79411,5
"ARG_25",27.15959,-97.79411,5
"ARG_25",27.15959,-97.79411,5
"ARG_25",27.15959,-97.79411,5
