Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1946481,06/05/2016 00:00,30/03/2015 12:57,21885092,4377018400,21885092,200,2702,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1946481/SRR1946481.1,SRX973164,9937,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056687,PRJNA273563,,273563,SRS887541,SAMN03327325,simple,3702,Arabidopsis thaliana,9937,,,,,,,no,,,,,MPI-DB,SRA249184,,public,6CAB77C0163A0C36BA063264E91E0F0A,10BA1D1FAAF25B1501AFECE96583F89C
SRR1946498,06/05/2016 00:00,31/03/2015 08:04,59239658,3039694686,0,51,2608,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1946498/SRR1946498.1,SRX973181,9956,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887542,SAMN03327342,simple,3702,Arabidopsis thaliana,9956,,,,,,,no,,,,,MPI-DB,SRA249184,,public,01753E569890D07BED861E5AA05AED86,A8FFFF96854E682132D110831BDC7983
SRR1946499,06/05/2016 00:00,31/03/2015 07:52,23903670,905420801,0,37,771,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1946499/SRR1946499.1,SRX973182,9957,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887543,SAMN03327343,simple,3702,Arabidopsis thaliana,9957,,,,,,,no,,,,,MPI-DB,SRA249184,,public,B3E0FC5731AF8F3C57E3BBEE1C0BB1EB,BF30DCFBB780E32746326DDEDD25151F
SRR1946505,06/05/2016 00:00,31/03/2015 08:03,36377768,1428615529,0,39,1198,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1946505/SRR1946505.1,SRX973188,9964,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887544,SAMN03327349,simple,3702,Arabidopsis thaliana,9964,,,,,,,no,,,,,MPI-DB,SRA249184,,public,0F8B5E377956D2FA5BB0ADBC9EBDF7BD,9836A47178D9BFAD776C0EEAFCBFE3A7
SRR1946500,06/05/2016 00:00,31/03/2015 08:03,74160468,3564247322,0,48,3120,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1946500/SRR1946500.1,SRX973183,9958,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887545,SAMN03327344,simple,3702,Arabidopsis thaliana,9958,,,,,,,no,,,,,MPI-DB,SRA249184,,public,DC8602656CB91757C1545281202C32A1,D6EA5C624FDEEED9F76BF53D0703BE04
SRR1946561,06/05/2016 00:00,30/03/2015 13:01,45655617,9131123400,45655617,200,5892,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1946561/SRR1946561.1,SRX973244,15560,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056687,PRJNA273563,,273563,SRS887546,SAMN03327405,simple,3702,Arabidopsis thaliana,15560,,,,,,,no,,,,,MPI-DB,SRA249184,,public,510AC747AB2454B508AF234EAC171081,94029E492A6366F5E25466DDBDCCEE17
SRR1946566,06/05/2016 00:00,30/03/2015 12:59,38860584,7772116800,38860584,200,5051,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1946566/SRR1946566.1,SRX973249,18696,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056687,PRJNA273563,,273563,SRS887547,SAMN03327410,simple,3702,Arabidopsis thaliana,18696,,,,,,,no,,,,,MPI-DB,SRA249184,,public,EDCB941ABD2D8D51CA52CBC9E11F89E4,658756E66B029E58D5CF7CCA571BD8CD
SRR1946568,06/05/2016 00:00,30/03/2015 13:03,56265358,11253071600,56265358,200,8054,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1946568/SRR1946568.1,SRX973251,19950,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056687,PRJNA273563,,273563,SRS887548,SAMN03327412,simple,3702,Arabidopsis thaliana,19950,,,,,,,no,,,,,MPI-DB,SRA249184,,public,FD9F4BB80CAD5BBC24AE30DD96F05305,5A1FC4DA812100ED02D03631B7C0D44D
SRR1946567,06/05/2016 00:00,30/03/2015 13:32,70314959,14062991800,70314959,200,10136,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1946567/SRR1946567.1,SRX973250,19949,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056687,PRJNA273563,,273563,SRS887549,SAMN03327411,simple,3702,Arabidopsis thaliana,19949,,,,,,,no,,,,,MPI-DB,SRA249184,,public,58D70D85C02D5E53187CF2DB258120D7,7ED6EC9823219E0C061F05955236E60C
SRR1946552,06/05/2016 00:00,31/03/2015 07:56,16638246,4401382238,16638246,264,2949,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1946552/SRR1946552.1,SRX973235,10022,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887550,SAMN03327396,simple,3702,Arabidopsis thaliana,10022,,,,,,,no,,,,,MPI-DB,SRA249184,,public,4EBF7BD19D7951DCA56377254EF97958,EC6630A1473B2D2B1A476BFB7DF0EF53
