Experiment Accession,Experiment Title,Organism Name,Instrument,Submitter,Study Accession,Study Title,Sample Accession,Sample Title,"Total Size, Mb",Total RUNs,Total Spots,Total Bases,Library Name,Library Strategy,Library Source,Library Selection
SRX972170,Whole-genome sequencing of Arabidopsis thaliana: Sample 1166,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS3679960,,4950.79,1,38825777,7765155400,1166,WGS,GENOMIC,RANDOM
SRX972161,Whole-genome sequencing of Arabidopsis thaliana: Sample 997,Arabidopsis thaliana,Illumina Genome Analyzer IIx,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS3679964,,1432.52,1,20859004,3170568608,997,WGS,GENOMIC,RANDOM
SRX972160,Whole-genome sequencing of Arabidopsis thaliana: Sample 992,Arabidopsis thaliana,Illumina Genome Analyzer IIx,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS3679963,,2138.17,1,24162742,3672736784,992,WGS,GENOMIC,RANDOM
SRX972147,Whole-genome sequencing of Arabidopsis thaliana: Sample 765,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS3679961,,1034.03,1,8307820,1678179640,765,WGS,GENOMIC,RANDOM
SRX972146,Whole-genome sequencing of Arabidopsis thaliana: Sample 763,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS3679976,,2453.13,1,18918780,3821593560,763,WGS,GENOMIC,RANDOM
SRX973237,Whole-genome sequencing of Arabidopsis thaliana: Sample 10027,Arabidopsis thaliana,unspecified,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887562,,1582.79,1,9203019,2705687586,10027,WGS,GENOMIC,RANDOM
SRX973252,Whole-genome sequencing of Arabidopsis thaliana: Sample 19951,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887552,,9029.57,1,62825582,12565116400,19951,WGS,GENOMIC,RANDOM
SRX973251,Whole-genome sequencing of Arabidopsis thaliana: Sample 19950,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887548,,8054.75,1,56265358,11253071600,19950,WGS,GENOMIC,RANDOM
SRX973250,Whole-genome sequencing of Arabidopsis thaliana: Sample 19949,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887549,,10136.52,1,70314959,14062991800,19949,WGS,GENOMIC,RANDOM
SRX973249,Whole-genome sequencing of Arabidopsis thaliana: Sample 18696,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887547,,5051.74,1,38860584,7772116800,18696,WGS,GENOMIC,RANDOM
SRX973248,Whole-genome sequencing of Arabidopsis thaliana: Sample 18694,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887554,,5942,1,45591814,9118362800,18694,WGS,GENOMIC,RANDOM
SRX973247,Whole-genome sequencing of Arabidopsis thaliana: Sample 15593,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887553,,9448.84,1,72118112,14423622400,15593,WGS,GENOMIC,RANDOM
SRX973246,Whole-genome sequencing of Arabidopsis thaliana: Sample 15592,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887555,,9912.24,1,74937565,14987513000,15592,WGS,GENOMIC,RANDOM
