Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR636107,01/01/2016 05:21,27/09/2017 21:01,63088757,12743928914,63088757,202,8829,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636107/ERR636107.1,ERX592666,DKCo_10_1982-9,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS553985,SAMEA2784250,simple,945839,Capsella orientalis,SAMEA2784250,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,A7F66BB0564E6B4A3455781BD4241713,7017373608BAAD062D320006B99ABCAA
ERR636108,01/01/2016 05:21,27/09/2017 20:34,0,0,0,0,8749,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636108/ERR636108.1,ERX592667,DKCo_11_1983-6,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS553986,SAMEA2784251,simple,945839,Capsella orientalis,SAMEA2784251,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,0F0EEA4DEA8128BD50F9F30F8EAD7A1E,D47396F83F374657D7E7EDAA722F226B
ERR636109,01/01/2016 05:21,27/09/2017 22:38,96176996,19427753192,96176996,202,13478,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636109/ERR636109.1,ERX592668,DKCo_1_1718-9,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS553987,SAMEA2784252,simple,945839,Capsella orientalis,SAMEA2784252,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,31E9C5B9B0E9808C7F9F34F2FAB4C884,4F5EEBA5BC6E710CAD19F11B12EA17A0
ERR636110,01/01/2016 05:21,27/09/2017 20:47,0,0,0,0,9453,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636110/ERR636110.1,ERX592669,DKCo_12_1984-2,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS553988,SAMEA2784253,simple,945839,Capsella orientalis,SAMEA2784253,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,14E3499FF30075D1F9985810D24B2504,CDE15392DAEF17B97F87A0D79706D2AC
ERR636111,01/01/2016 05:21,27/09/2017 20:55,0,0,0,0,9178,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636111/ERR636111.1,ERX592670,DKCo_13_1985-11,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS553989,SAMEA2784254,simple,945839,Capsella orientalis,SAMEA2784254,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,25432B8A0DADEF521D0DF3DE233324DC,F1BA83955A010C71BE383DD9FA78074A
ERR636112,01/01/2016 05:21,28/09/2017 00:05,0,0,0,0,9079,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636112/ERR636112.1,ERX592671,DKCo_15_2006-01,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS553990,SAMEA2784255,simple,945839,Capsella orientalis,SAMEA2784255,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,1219E256A6B967F31558ABECA376A08A,2C93445530E89A3EA0517DECB2752C11
ERR636113,01/01/2016 05:21,27/09/2017 20:49,0,0,0,0,10344,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636113/ERR636113.1,ERX592672,DKCo_16_2007-03,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS553991,SAMEA2784256,simple,945839,Capsella orientalis,SAMEA2784256,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,4E4F2E0156AA74A8AFD30754700748B3,36F044178219CF4E0CA93441B2E79D52
ERR636114,01/01/2016 05:21,28/09/2017 02:41,61088073,12339790746,61088073,202,8360,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636114/ERR636114.1,ERX592673,DKCo_17_2008-01,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS553992,SAMEA2784257,simple,945839,Capsella orientalis,SAMEA2784257,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,153E58A57C9CB7DBF5D4F2A5EFC9C8F7,C373DBB691045B4C053C81817A5FA5AA
ERR636115,01/01/2016 05:21,27/09/2017 21:36,0,0,0,0,10215,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636115/ERR636115.1,ERX592674,DKCo_2_1719-1,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS553993,SAMEA2784258,simple,945839,Capsella orientalis,SAMEA2784258,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,592B79841A757F85F8C2DA7CD955C43D,5DC7240B80B730107E182D56DB7B5101
ERR636116,01/01/2016 05:21,27/09/2017 20:03,50797062,10261006524,50797062,202,7302,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636116/ERR636116.1,ERX592675,DKCo_3_1938-1_1,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS553994,SAMEA2784259,simple,945839,Capsella orientalis,SAMEA2784259,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,1B2378B06CB9ADF2740D80C3CC556626,D763D3A23BBDDBCD4F573527A4F48254
ERR636117,01/01/2016 05:21,28/09/2017 02:45,71352832,14413272064,71352832,202,10057,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636117/ERR636117.1,ERX592676,DKCo_4_1939-1_6,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS553995,SAMEA2784260,simple,945839,Capsella orientalis,SAMEA2784260,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,63F5D4D71F9CB617313CBED36CE83C17,6D31470D4C7C571CE9DF14E8F22C18E9
ERR636118,01/01/2016 05:21,27/09/2017 17:59,45040847,9098251094,45040847,202,6173,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636118/ERR636118.1,ERX592677,DKCo_5_1940-1_1,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS553996,SAMEA2784261,simple,945839,Capsella orientalis,SAMEA2784261,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,73C50399327C16658E635F27D34FA961,964D7D8A8ACA99CF5D60EC9307B9A459
ERR636119,01/01/2016 05:21,27/09/2017 22:32,90700644,18321530088,90700644,202,12959,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636119/ERR636119.1,ERX592678,DKCo_6_1978-6,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS553997,SAMEA2784262,simple,945839,Capsella orientalis,SAMEA2784262,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,EDE404C024C5889A0D9657F8E965394D,4E8B565710B799DFC806ED00536941E6
ERR636120,01/01/2016 05:21,27/09/2017 22:07,43811619,8849947038,43811619,202,6031,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636120/ERR636120.1,ERX592679,DKCo_7_1979-02,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS553998,SAMEA2784263,simple,945839,Capsella orientalis,SAMEA2784263,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,9F5C098A6FF0CC1572E81C7F3166E9FE,46FE315235D0A50803C2B7AC90FB824C
ERR636121,01/01/2016 05:21,27/09/2017 22:45,0,0,0,0,13975,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636121/ERR636121.1,ERX592680,DKCo_8_1980-1,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS553999,SAMEA2784264,simple,945839,Capsella orientalis,SAMEA2784264,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,08CD6A435B926458760D32959D32B46F,C4C9BEB4324D53DEEFE3461F7A99947A
ERR636122,01/01/2016 05:21,24/10/2017 19:48,0,0,0,0,7928,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636122/ERR636122.1,ERX592681,DKCo_9_1981-3,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS554000,SAMEA2784265,simple,945839,Capsella orientalis,SAMEA2784265,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,EA257F7D75D7388DF0EFEBD344825630,BEE46B03507AA1D4925A2E1E49CFE97C
ERR636123,01/01/2016 05:21,27/09/2017 23:11,100105718,20221355036,100105718,202,14642,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636123/ERR636123.1,ERX592682,DKCr_11_1207,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS554001,SAMEA2784266,simple,81985,Capsella rubella,SAMEA2784266,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,44DC78CD81B47CF9E6918A7B3C223ED4,DFC7183FEED92158BFCB7415755E0F62
ERR636124,01/01/2016 05:21,01/01/2016 05:28,40236079,12151295858,40236079,302,7144,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/ERR636124/ERR636124.1,ERX592683,DKCr_12_1208,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina Genome Analyzer II,ERP006251,PRJEB6689,,307389,ERS554002,SAMEA2784267,simple,81985,Capsella rubella,SAMEA2784267,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,4849370D70781BB1E3BD53C3024292D1,EA5EC6FD95B1E7307BB8FE10AF4507A8
ERR636125,01/01/2016 05:21,27/09/2017 20:58,0,0,0,0,10316,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636125/ERR636125.1,ERX592684,DKCr_13_1209,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS554003,SAMEA2784268,simple,81985,Capsella rubella,SAMEA2784268,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,8481171925D967EB5322DECE232DBDE0,38CC36F713A5B99D254669976A4D79B5
ERR636126,01/01/2016 05:21,27/09/2017 18:33,26636145,5380501290,26636145,202,3871,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636126/ERR636126.1,ERX592685,DKCr_14,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS554004,SAMEA2784269,simple,81985,Capsella rubella,SAMEA2784269,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,9193110DACD5CC3A9F050954225C2CE8,1ACEA4F78924DAEA3BF60C83D75E41E2
ERR636127,01/01/2016 05:21,01/01/2016 05:24,34115327,10302828754,34115327,302,6223,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/ERR636127/ERR636127.1,ERX592686,DKCr_15_1311,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina Genome Analyzer II,ERP006251,PRJEB6689,,307389,ERS554005,SAMEA2784270,simple,81985,Capsella rubella,SAMEA2784270,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,2D95C473879668876E8EBD3CCDC6A756,DC418ED0F57BB64DB2F1044118AA0504
ERR636128,01/01/2016 05:21,27/09/2017 19:09,0,0,0,0,7842,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636128/ERR636128.1,ERX592687,DKCr_16_1377,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS554006,SAMEA2784271,simple,81985,Capsella rubella,SAMEA2784271,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,824E4A11589DEED941C1E54DF3ED6EB2,D81A9286486887CD8E705BA5386EC932
ERR636129,01/01/2016 05:21,28/09/2017 12:12,0,0,0,0,12500,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636129/ERR636129.1,ERX592688,DKCr_168_78.1,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS554007,SAMEA2784272,simple,81985,Capsella rubella,SAMEA2784272,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,E94149BBE78E35C6EC92D79C58680933,E1564A153022811B7C88E2B04678411F
ERR636130,01/01/2016 05:21,01/01/2016 05:28,30973267,9353926634,30973267,302,5480,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/ERR636130/ERR636130.1,ERX592689,DKCr_1_690,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina Genome Analyzer II,ERP006251,PRJEB6689,,307389,ERS554008,SAMEA2784273,simple,81985,Capsella rubella,SAMEA2784273,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,72EE91BA13890D81ED06F5B42902DF47,2714FA550BB7B610868F85E8FE6AEEF5
ERR636131,01/01/2016 05:21,27/09/2017 21:37,56066037,11325339474,56066037,202,8117,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636131/ERR636131.1,ERX592690,DKCr_171_83.10.,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS554009,SAMEA2784274,simple,81985,Capsella rubella,SAMEA2784274,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,912604FDAA677064ED232631074E932B,926AB5AAC1DB57E50801F08274414DFD
ERR636132,01/01/2016 05:21,28/09/2017 06:03,0,0,0,0,12186,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636132/ERR636132.1,ERX592691,DKCr_172_72.12,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS554010,SAMEA2784275,simple,81985,Capsella rubella,SAMEA2784275,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,0D0985A5F712C0D4391938A3925B9913,35C2FEDAA3617F5DB455052E7189CA95
ERR636133,01/01/2016 05:21,27/09/2017 20:32,57758007,11667117414,57758007,202,8219,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR636133/ERR636133.1,ERX592692,DKCr_173_34.11,WGS,RANDOM,GENOMIC,PAIRED,400,0,ILLUMINA,Illumina HiSeq 2000,ERP006251,PRJEB6689,,307389,ERS554011,SAMEA2784276,simple,81985,Capsella rubella,SAMEA2784276,,,,,,,no,,,,,"MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, TUE",ERA361828,,public,D2DCC4209F5E552C48D488A05DF5605D,3FF37095E76A4E43F506D37F74BD8423
