Amaranthus tuberculatus
Arabidopsis arenicola
Arabidopsis halleri
Arabidopsis lyrata
Arabidopsis thaliana
Arabis alpina
Cardamine resedifolia
Capsella orientalis
Capsella rubella
Boechera stricta
Capsela bursa-pastoris
Eucalyptus albens
Eucalyptus caleyi
Eucalyptus conica
Eucalyptus crebra
Eucalyptus fibrosa
Eucalyptus leucoxylon
Eucalyptus magnificata
Eucalyptus melliodora
Eucalyptus microcarpa
Eucalyptus moluccana
Eucalyptus polyanthemos
Eucalyptus sideroxylon
Medicago truncatula
Panicum hallii
Panicum filipes
Pinus sylvestris
Populus deltoides
Populus tremula
Populus trichocarpa
Quercus petraea
