Taxon_name,Pop_ID,Sample_name,Country,Lat,Long,Alt,Author,Data_type,VCF,Notes:
Amaranthus tuberculatus,15,Atuberculatus_15_10,,42.62,-82.49,,Wright,Individual,/lu213/james.whiting/RepAdapt/data/VCFs/09_Atuberculatus_Wright/Atuberculatus_full_concatened.vcf.gz,
Amaranthus tuberculatus,15,Atuberculatus_15_11,,42.62,-82.49,,Wright,Individual,/lu213/james.whiting/RepAdapt/data/VCFs/09_Atuberculatus_Wright/Atuberculatus_full_concatened.vcf.gz,
Amaranthus tuberculatus,15,Atuberculatus_15_3,,42.62,-82.49,,Wright,Individual,/lu213/james.whiting/RepAdapt/data/VCFs/09_Atuberculatus_Wright/Atuberculatus_full_concatened.vcf.gz,
Amaranthus tuberculatus,15,Atuberculatus_15_5,,42.62,-82.49,,Wright,Individual,/lu213/james.whiting/RepAdapt/data/VCFs/09_Atuberculatus_Wright/Atuberculatus_full_concatened.vcf.gz,
Amaranthus tuberculatus,15,Atuberculatus_15_6,,42.62,-82.49,,Wright,Individual,/lu213/james.whiting/RepAdapt/data/VCFs/09_Atuberculatus_Wright/Atuberculatus_full_concatened.vcf.gz,
Amaranthus tuberculatus,15,Atuberculatus_15_7,,42.62,-82.49,,Wright,Individual,/lu213/james.whiting/RepAdapt/data/VCFs/09_Atuberculatus_Wright/Atuberculatus_full_concatened.vcf.gz,
Amaranthus tuberculatus,16,Atuberculatus_16_1,,42.56,-82.51,,Wright,Individual,/lu213/james.whiting/RepAdapt/data/VCFs/09_Atuberculatus_Wright/Atuberculatus_full_concatened.vcf.gz,
Amaranthus tuberculatus,16,Atuberculatus_16_2,,42.56,-82.51,,Wright,Individual,/lu213/james.whiting/RepAdapt/data/VCFs/09_Atuberculatus_Wright/Atuberculatus_full_concatened.vcf.gz,
Amaranthus tuberculatus,16,Atuberculatus_16_3,,42.56,-82.51,,Wright,Individual,/lu213/james.whiting/RepAdapt/data/VCFs/09_Atuberculatus_Wright/Atuberculatus_full_concatened.vcf.gz,
Amaranthus tuberculatus,16,Atuberculatus_16_5,,42.56,-82.51,,Wright,Individual,/lu213/james.whiting/RepAdapt/data/VCFs/09_Atuberculatus_Wright/Atuberculatus_full_concatened.vcf.gz,
Amaranthus tuberculatus,16,Atuberculatus_16_6,,42.56,-82.51,,Wright,Individual,/lu213/james.whiting/RepAdapt/data/VCFs/09_Atuberculatus_Wright/Atuberculatus_full_concatened.vcf.gz,
Amaranthus tuberculatus,16,Atuberculatus_16_7,,42.56,-82.51,,Wright,Individual,/lu213/james.whiting/RepAdapt/data/VCFs/09_Atuberculatus_Wright/Atuberculatus_full_concatened.vcf.gz,
