## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
WHOLE_GENOME	381973357	15.832433	12.585844	16	8	0	0.02441	0	0.003595	0.030446	0.123913	0.006882	0.189246	0.88998	0.812969	0.698584	0.545518	0.370793	0.197878	0.079734	0.013198	0.006104	0.0038	0.002695	0.002092	0.001714	0.001465	3.166487	?	?	0.851823	8	Ptremula_SwAsp001
NON_ZERO_REGIONS	339948597	17.789653	11.965249	17	7	0	0.02441	0	0.003595	0.030446	0.123913	0.006882	0.189246	1	0.913469	0.784944	0.612955	0.416631	0.22234	0.089591	0.014829	0.006858	0.004269	0.003028	0.00235	0.001925	0.001646	1.976628	3.557931	5.929884	0.956528	14	Ptremula_SwAsp001
WHOLE_GENOME	381973357	13.704893	10.182121	14	5	0	0.024199	0	0.006118	0.03413	0.051424	0.006864	0.122735	0.886643	0.814065	0.708577	0.492639	0.225103	0.069773	0.021716	0.006473	0.003376	0.002218	0.001662	0.001357	0.001163	0.001026	2.740979	?	?	0.846547	8	Ptremula_SwAsp003
NON_ZERO_REGIONS	338673840	15.457066	9.47877	15	4	0	0.024199	0	0.006118	0.03413	0.051424	0.006864	0.122735	1	0.918143	0.799169	0.555622	0.253882	0.078694	0.024492	0.0073	0.003808	0.002501	0.001874	0.00153	0.001312	0.001157	1.717452	2.576178	5.152355	0.95397	13	Ptremula_SwAsp003
WHOLE_GENOME	381973357	23.312594	15.453158	26	7	0	0.023557	0	0.003837	0.029233	0.090046	0.008487	0.15516	0.898178	0.843449	0.803244	0.750663	0.673763	0.538198	0.339366	0.063305	0.016361	0.008925	0.00572	0.004047	0.003081	0.002468	2.331259	?	?	0.870833	9	Ptremula_SwAsp004
NON_ZERO_REGIONS	343080210	25.955417	14.045498	27	6	0	0.023557	0	0.003837	0.029233	0.090046	0.008487	0.15516	1	0.939066	0.894303	0.835762	0.750144	0.599211	0.377838	0.070482	0.018216	0.009936	0.006369	0.004506	0.003431	0.002748	1.526789	2.883935	8.651806	0.968955	15	Ptremula_SwAsp004
WHOLE_GENOME	381973357	12.788315	9.250002	13	5	0	0.023268	0	0.006792	0.029621	0.010673	0.003538	0.073892	0.887244	0.809014	0.662752	0.412411	0.188689	0.068649	0.023341	0.005447	0.002726	0.001709	0.001213	0.000911	0.000715	0.000581	2.557663	?	?	0.841815	8	Ptremula_SwAsp005
NON_ZERO_REGIONS	338903488	14.41353	8.544662	14	5	0	0.023268	0	0.006792	0.029621	0.010673	0.003538	0.073892	1	0.911828	0.746978	0.464823	0.212669	0.077374	0.026308	0.006139	0.003072	0.001926	0.001367	0.001026	0.000806	0.000655	1.801691	2.882706	4.80451	0.948143	13	Ptremula_SwAsp005
WHOLE_GENOME	381973357	20.644097	15.026803	22	8	0	0.026579	0	0.004281	0.045841	0.062316	0.010988	0.150005	0.899772	0.840329	0.777118	0.68501	0.560633	0.401726	0.233788	0.044902	0.013657	0.007805	0.005144	0.003699	0.002862	0.002339	2.580512	?	?	0.868776	9	Ptremula_SwAsp009
NON_ZERO_REGIONS	343689004	22.943693	14.078229	23	7	0	0.026579	0	0.004281	0.045841	0.062316	0.010988	0.150005	1	0.933935	0.863683	0.761315	0.623084	0.446475	0.259831	0.049904	0.015178	0.008675	0.005717	0.004111	0.003181	0.002599	1.764899	3.27767	7.647898	0.964886	15	Ptremula_SwAsp009
