## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
WHOLE_GENOME	432523942	2.050287	6.873494	0	0	0	0.008672	0	0.000791	0.008908	0.070033	0.003883	0.092287	0.360203	0.089882	0.060073	0.042848	0.030614	0.02147	0.014798	0.006817	0.003174	0.001527	0.000778	0.000434	0.000271	0.000196	?	?	?	0.223323	1	Pdeltoides_UF0001
NON_ZERO_REGIONS	155796387	5.692032	10.508711	2	1	0	0.008672	0	0.000791	0.008908	0.070033	0.003883	0.092287	1	0.249531	0.166777	0.118954	0.08499	0.059604	0.041084	0.018927	0.008811	0.004241	0.002161	0.001204	0.000751	0.000543	5.692032	5.692032	5.692032	0.617687	4	Pdeltoides_UF0001
WHOLE_GENOME	432523942	2.155933	6.344862	0	0	0	0.008832	0	0.000737	0.009317	0.070129	0.001117	0.090133	0.397262	0.103753	0.067542	0.046223	0.03131	0.020508	0.012847	0.004584	0.001646	0.000674	0.000338	0.000217	0.000161	0.000131	?	?	?	0.247937	1	Pdeltoides_UF0002
NON_ZERO_REGIONS	171825475	5.426976	9.142476	2	1	0	0.008832	0	0.000737	0.009317	0.070129	0.001117	0.090133	1	0.261169	0.170019	0.116354	0.078815	0.051623	0.032338	0.011539	0.004144	0.001696	0.000851	0.000546	0.000406	0.000329	5.426976	5.426976	5.426976	0.62218	4	Pdeltoides_UF0002
WHOLE_GENOME	432523942	2.380007	6.784939	0	0	0	0.008707	0	0.000687	0.013162	0.066238	0.000208	0.089002	0.45353	0.097483	0.064617	0.04768	0.03523	0.025492	0.017814	0.007788	0.002986	0.001053	0.000381	0.000167	0.000094	0.000064	?	?	?	0.272781	1	Pdeltoides_UF0003
NON_ZERO_REGIONS	196162626	5.247738	9.298146	2	1	0	0.008707	0	0.000687	0.013162	0.066238	0.000208	0.089002	1	0.214943	0.142476	0.105132	0.077679	0.056208	0.039279	0.017172	0.006584	0.002321	0.00084	0.000367	0.000206	0.000142	5.247738	5.247738	5.247738	0.598586	4	Pdeltoides_UF0003
WHOLE_GENOME	432523942	1.966946	6.019044	0	0	0	0.010636	0	0.001121	0.00835	0.060781	0.002852	0.083741	0.432649	0.091435	0.055167	0.035829	0.022852	0.014291	0.008878	0.003695	0.001914	0.001133	0.000672	0.000404	0.000268	0.0002	?	?	?	0.263513	1	Pdeltoides_UF0009
NON_ZERO_REGIONS	187131267	4.54628	8.485924	2	1	0	0.010636	0	0.001121	0.00835	0.060781	0.002852	0.083741	1	0.211338	0.127511	0.082812	0.052819	0.033032	0.02052	0.008541	0.004423	0.002619	0.001552	0.000935	0.00062	0.000462	4.54628	4.54628	4.54628	0.607056	4	Pdeltoides_UF0009
WHOLE_GENOME	432523942	3.863165	8.698928	1	1	0	0.012504	0	0.00105	0.006731	0.077135	0.003495	0.100915	0.604874	0.235552	0.077973	0.051948	0.039695	0.03059	0.023261	0.012655	0.006522	0.003461	0.00207	0.00143	0.001074	0.000823	?	?	?	0.442746	3	Pdeltoides_UF0012
NON_ZERO_REGIONS	261622334	6.38673	10.439607	4	2	0	0.012504	0	0.00105	0.006731	0.077135	0.003495	0.100915	1	0.389424	0.128907	0.085883	0.065625	0.050572	0.038456	0.020921	0.010782	0.005721	0.003423	0.002364	0.001776	0.001361	3.193365	6.38673	6.38673	0.731137	6	Pdeltoides_UF0012
WHOLE_GENOME	432523942	0.68389	1.716097	0	0	0	0.01244	0	0.001264	0.006717	0.079927	0.000494	0.100842	0.319897	0.030349	0.005978	0.001005	0.000244	0.000117	0.00008	0.000051	0.000038	0.00003	0.000025	0.00002	0.000017	0.000014	?	?	?	0.178252	1	Pdeltoides_UF0013
NON_ZERO_REGIONS	138363258	2.137843	2.469357	1	0	0	0.01244	0	0.001264	0.006717	0.079927	0.000494	0.100842	1	0.094872	0.018687	0.003142	0.000764	0.000366	0.000251	0.00016	0.000119	0.000094	0.000078	0.000064	0.000052	0.000045	2.137843	2.137843	2.137843	0.555438	4	Pdeltoides_UF0013
WHOLE_GENOME	432523942	2.795718	8.040502	1	1	0	0.011485	0	0.000979	0.009958	0.090211	0.00756	0.120194	0.575633	0.128007	0.062471	0.042285	0.028505	0.018637	0.011882	0.00501	0.002665	0.001896	0.001614	0.00147	0.001363	0.001257	?	?	?	0.371208	2	Pdeltoides_UF0014
NON_ZERO_REGIONS	248974896	4.856775	10.114373	2	1	0	0.011485	0	0.000979	0.009958	0.090211	0.00756	0.120194	1	0.222377	0.108525	0.073459	0.04952	0.032376	0.020642	0.008703	0.004629	0.003293	0.002804	0.002553	0.002367	0.002184	4.856775	4.856775	4.856775	0.643218	4	Pdeltoides_UF0014
WHOLE_GENOME	432523942	3.112423	6.796268	1	1	0	0.012537	0	0.001078	0.006128	0.077144	0.001784	0.098672	0.575472	0.180619	0.063943	0.043862	0.032156	0.023302	0.016409	0.007383	0.003049	0.001257	0.000561	0.00029	0.000181	0.000128	?	?	?	0.40508	2	Pdeltoides_UF0015
NON_ZERO_REGIONS	248905216	5.408475	8.23682	3	2	0	0.012537	0	0.001078	0.006128	0.077144	0.001784	0.098672	1	0.313862	0.111115	0.076218	0.055878	0.040492	0.028514	0.01283	0.005299	0.002184	0.000976	0.000504	0.000314	0.000222	5.408475	5.408475	5.408475	0.703099	5	Pdeltoides_UF0015
WHOLE_GENOME	432523942	1.706786	4.970493	0	0	0	0.010229	0	0.000863	0.008753	0.071797	0.001037	0.092679	0.421903	0.080163	0.045214	0.028287	0.017393	0.010437	0.00619	0.00227	0.000932	0.000441	0.000243	0.000157	0.000112	0.000088	?	?	?	0.25818	1	Pdeltoides_UF0016
NON_ZERO_REGIONS	182483006	4.045449	7.006933	2	1	0	0.010229	0	0.000863	0.008753	0.071797	0.001037	0.092679	1	0.190004	0.107166	0.067047	0.041226	0.024737	0.014672	0.005381	0.00221	0.001045	0.000575	0.000373	0.000266	0.00021	4.045449	4.045449	4.045449	0.609358	4	Pdeltoides_UF0016
WHOLE_GENOME	432523942	1.534722	4.196413	0	0	0	0.010832	0	0.001088	0.012441	0.070472	0.001055	0.095888	0.424791	0.074431	0.04109	0.02387	0.01291	0.006425	0.00297	0.000609	0.000201	0.000122	0.000096	0.00008	0.000069	0.00006	?	?	?	0.246923	1	Pdeltoides_UF0018
NON_ZERO_REGIONS	183732443	3.612885	5.826424	2	1	0	0.010832	0	0.001088	0.012441	0.070472	0.001055	0.095888	1	0.175217	0.096731	0.056192	0.030391	0.015125	0.006993	0.001434	0.000474	0.000288	0.000226	0.000188	0.000162	0.00014	3.612885	3.612885	3.612885	0.578402	4	Pdeltoides_UF0018
WHOLE_GENOME	432523942	1.111481	3.361801	0	0	0	0.010579	0	0.001185	0.008095	0.06927	0.001043	0.090172	0.351717	0.061313	0.02771	0.011677	0.004816	0.002238	0.0012	0.000418	0.000193	0.000124	0.000097	0.000083	0.000072	0.000064	?	?	?	0.203766	1	Pdeltoides_UF0022
NON_ZERO_REGIONS	152126047	3.160156	5.065452	1	0	0	0.010579	0	0.001185	0.008095	0.06927	0.001043	0.090172	1	0.174324	0.078786	0.033199	0.013692	0.006362	0.003413	0.001188	0.000547	0.000353	0.000277	0.000236	0.000206	0.000182	3.160156	3.160156	3.160156	0.577275	4	Pdeltoides_UF0022
