## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
WHOLE_GENOME	167187188	14.327111	16.434327	12	5	0	0.027416	0	0.003635	0.011975	0.070949	0.057891	0.171866	0.915781	0.841853	0.610246	0.363294	0.20622	0.118262	0.070173	0.03138	0.019237	0.013619	0.010329	0.008198	0.006712	0.005635	0.873789	9	Ahalg_Japan_Fujiwara_1100_FJ110001
NON_ZERO_REGIONS	153106905	15.644685	16.562376	12	5	0	0.027416	0	0.003635	0.011975	0.070949	0.057891	0.171866	1	0.919273	0.666367	0.396704	0.225185	0.129137	0.076626	0.034266	0.021006	0.014872	0.011279	0.008952	0.00733	0.006153	0.954011	13	Ahalg_Japan_Fujiwara_1100_FJ110001
WHOLE_GENOME	167187188	10.513746	13.255127	9	4	0	0.031037	0	0.00502	0.012488	0.041702	0.071274	0.161521	0.909317	0.776456	0.441127	0.195897	0.0867	0.045003	0.028441	0.015763	0.010487	0.007688	0.00601	0.004931	0.004162	0.003584	0.833877	8	Ahalg_Japan_Fujiwara_1100_FJ110003
NON_ZERO_REGIONS	152026228	11.562239	13.457234	9	4	0	0.031037	0	0.00502	0.012488	0.041702	0.071274	0.161521	1	0.853888	0.485119	0.215433	0.095346	0.049491	0.031277	0.017334	0.011533	0.008455	0.00661	0.005423	0.004577	0.003942	0.916832	11	Ahalg_Japan_Fujiwara_1100_FJ110003
WHOLE_GENOME	167187188	5.903807	9.994717	5	2	0	0.034573	0	0.004698	0.003775	0.082981	0.093893	0.219919	0.900811	0.556756	0.10493	0.03197	0.017583	0.011593	0.008508	0.005615	0.004286	0.003492	0.002986	0.002622	0.002326	0.002081	0.748135	6	Ahalg_Japan_Fujiwara_1100_FJ110004
NON_ZERO_REGIONS	150604140	6.553876	10.326339	5	2	0	0.034573	0	0.004698	0.003775	0.082981	0.093893	0.219919	1	0.618061	0.116484	0.03549	0.019519	0.012869	0.009445	0.006233	0.004758	0.003877	0.003315	0.002911	0.002582	0.00231	0.83041	8	Ahalg_Japan_Fujiwara_1100_FJ110004
WHOLE_GENOME	167187188	12.147718	13.855338	11	4	0	0.027394	0	0.004596	0.014427	0.028261	0.08525	0.159928	0.915875	0.855558	0.618528	0.26024	0.08405	0.040561	0.026852	0.014986	0.010132	0.007613	0.006093	0.005098	0.004439	0.003943	0.876339	9	Ahalg_Japan_Fujiwara_1100_FJ110006
NON_ZERO_REGIONS	153122628	13.263506	13.957217	12	3	0	0.027394	0	0.004596	0.014427	0.028261	0.08525	0.159928	1	0.934142	0.675341	0.284144	0.09177	0.044286	0.029318	0.016362	0.011063	0.008312	0.006653	0.005566	0.004847	0.004305	0.956684	14	Ahalg_Japan_Fujiwara_1100_FJ110006
WHOLE_GENOME	167187188	9.434553	11.873567	8	3	0	0.027362	0	0.004408	0.014278	0.055166	0.101344	0.202559	0.914676	0.795014	0.402455	0.115974	0.042324	0.024888	0.01725	0.010095	0.006937	0.005259	0.004265	0.003601	0.003128	0.002772	0.844799	8	Ahalg_Japan_Fujiwara_1100_FJ110008
NON_ZERO_REGIONS	152922153	10.314637	12.04388	9	3	0	0.027362	0	0.004408	0.014278	0.055166	0.101344	0.202559	1	0.869175	0.439997	0.126793	0.046272	0.02721	0.018859	0.011036	0.007584	0.00575	0.004663	0.003937	0.00342	0.003031	0.923391	11	Ahalg_Japan_Fujiwara_1100_FJ110008
