## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
WHOLE_GENOME	12018808399	0.037626	0.793933	0	0	0	0.016745	0	0.0003	0.017329	0.070257	0.017661	0.122292	0.008378	0.002126	0.001144	0.00068	0.00039	0.000208	0.000103	0.000026	0.000011	0.000007	0.000005	0.000004	0.000003	0.000003	?	?	?	0.005554	0	Pabies_BRI_11
NON_ZERO_REGIONS	100693736	4.491061	7.432057	2	1	0	0.016745	0	0.0003	0.017329	0.070257	0.017661	0.122292	1	0.253739	0.13657	0.081162	0.046594	0.024811	0.01231	0.003066	0.001274	0.000788	0.000567	0.000454	0.000389	0.000344	4.491061	4.491061	4.491061	0.655998	5	Pabies_BRI_11
WHOLE_GENOME	12018808399	0.036981	0.765318	0	0	0	0.017123	0	0.000313	0.016535	0.064835	0.01314	0.111946	0.00831	0.002164	0.001139	0.00065	0.00035	0.00017	0.000077	0.00002	0.00001	0.000006	0.000005	0.000004	0.000003	0.000003	?	?	?	0.005562	0	Pabies_BRI_13
NON_ZERO_REGIONS	99873882	4.45027	7.130513	2	1	0	0.017123	0	0.000313	0.016535	0.064835	0.01314	0.111946	1	0.260461	0.137083	0.078264	0.042147	0.020486	0.009289	0.0024	0.001162	0.000753	0.000554	0.000448	0.000376	0.000327	4.45027	4.45027	4.45027	0.662652	5	Pabies_BRI_13
WHOLE_GENOME	12018808399	0.030424	0.634013	0	0	0	0.019672	0	0.000339	0.018738	0.05256	0.008039	0.099347	0.008285	0.001863	0.000854	0.000395	0.000162	0.000063	0.000027	0.00001	0.000006	0.000005	0.000004	0.000003	0.000003	0.000003	?	?	?	0.005346	0	Pabies_BRI_14
NON_ZERO_REGIONS	99573136	3.672247	5.928384	1	0	0	0.019672	0	0.000339	0.018738	0.05256	0.008039	0.099347	1	0.224882	0.103086	0.047618	0.019537	0.007552	0.003279	0.001256	0.000755	0.00056	0.000453	0.000388	0.00034	0.000306	3.672247	3.672247	3.672247	0.637572	4	Pabies_BRI_14
WHOLE_GENOME	12018808399	0.035643	0.733817	0	0	0	0.017977	0	0.000343	0.018186	0.054753	0.010612	0.101871	0.00852	0.002073	0.001072	0.000597	0.000316	0.000154	0.000071	0.000018	0.000008	0.000005	0.000004	0.000003	0.000003	0.000002	?	?	?	0.005588	0	Pabies_BRI_16
NON_ZERO_REGIONS	102396692	4.183576	6.771387	1	0	0	0.017977	0	0.000343	0.018186	0.054753	0.010612	0.101871	1	0.243284	0.125872	0.070058	0.037054	0.01808	0.008301	0.002098	0.000971	0.000626	0.000461	0.000368	0.000309	0.000268	4.183576	4.183576	4.183576	0.648582	5	Pabies_BRI_16
WHOLE_GENOME	12018808399	0.031204	0.658182	0	0	0	0.017403	0	0.000312	0.01834	0.058701	0.009499	0.104254	0.007952	0.001857	0.000924	0.000479	0.000229	0.0001	0.000042	0.000011	0.000006	0.000004	0.000003	0.000003	0.000002	0.000002	?	?	?	0.005166	0	Pabies_BRI_18
NON_ZERO_REGIONS	95577900	3.923889	6.261023	1	0	0	0.017403	0	0.000312	0.01834	0.058701	0.009499	0.104254	1	0.233479	0.116248	0.060283	0.028781	0.012549	0.005325	0.001415	0.000741	0.000513	0.000402	0.000331	0.000281	0.000242	3.923889	3.923889	3.923889	0.642479	4	Pabies_BRI_18
WHOLE_GENOME	12018808399	0.030403	0.666621	0	0	0	0.018004	0	0.000273	0.016048	0.083176	0.012166	0.129667	0.007578	0.001785	0.000913	0.000488	0.000241	0.000108	0.000047	0.000014	0.000007	0.000005	0.000004	0.000003	0.000003	0.000002	?	?	?	0.004978	0	Pabies_BRI_19
NON_ZERO_REGIONS	91079447	4.012001	6.531966	1	0	0	0.018004	0	0.000273	0.016048	0.083176	0.012166	0.129667	1	0.235577	0.120476	0.064363	0.03176	0.014242	0.006252	0.001797	0.00091	0.000611	0.000467	0.000384	0.00033	0.000286	4.012001	4.012001	4.012001	0.650586	5	Pabies_BRI_19
WHOLE_GENOME	12018808399	0.04006	0.857573	0	0	0	0.015982	0	0.000243	0.016146	0.083901	0.013517	0.129788	0.008398	0.002171	0.001227	0.000775	0.00048	0.000278	0.000149	0.000039	0.000014	0.000008	0.000006	0.000005	0.000004	0.000003	?	?	?	0.005602	0	Pabies_BRI_20
NON_ZERO_REGIONS	100929519	4.770415	8.062896	2	1	0	0.015982	0	0.000243	0.016146	0.083901	0.013517	0.129788	1	0.258506	0.14611	0.092276	0.057129	0.0331	0.017748	0.004624	0.001695	0.000975	0.000694	0.000541	0.000446	0.000393	4.770415	4.770415	4.770415	0.660762	5	Pabies_BRI_20
WHOLE_GENOME	12018808399	0.021277	0.478343	0	0	0	0.017251	0	0.000381	0.019188	0.055399	0.012061	0.10428	0.006603	0.00137	0.000492	0.000156	0.000046	0.000017	0.000009	0.000005	0.000004	0.000003	0.000002	0.000002	0.000002	0.000002	?	?	?	0.004239	0	Pabies_BRI_2
NON_ZERO_REGIONS	79364168	3.222226	4.93324	1	0	0	0.017251	0	0.000381	0.019188	0.055399	0.012061	0.10428	1	0.20753	0.074446	0.02364	0.006902	0.002558	0.001396	0.000743	0.000532	0.000426	0.000361	0.00031	0.000271	0.000242	3.222226	3.222226	3.222226	0.634106	4	Pabies_BRI_2
WHOLE_GENOME	12018808399	0.036565	0.750559	0	0	0	0.017618	0	0.000339	0.018435	0.059149	0.009859	0.105401	0.008603	0.002091	0.001103	0.000634	0.000351	0.000179	0.000086	0.000022	0.000009	0.000005	0.000004	0.000003	0.000002	0.000002	?	?	?	0.00564	0	Pabies_BRI_4
NON_ZERO_REGIONS	103401406	4.250164	6.897172	1	0	0	0.017618	0	0.000339	0.018435	0.059149	0.009859	0.105401	1	0.242993	0.12819	0.073719	0.04077	0.020834	0.010008	0.002504	0.001017	0.000611	0.000449	0.000355	0.000289	0.000248	4.250164	4.250164	4.250164	0.648238	5	Pabies_BRI_4
WHOLE_GENOME	12018808399	0.029964	0.634627	0	0	0	0.015576	0	0.000385	0.019839	0.051148	0.019235	0.106184	0.007486	0.001836	0.000882	0.000441	0.000203	0.000088	0.000038	0.000011	0.000006	0.000004	0.000003	0.000002	0.000002	0.000002	?	?	?	0.004925	0	Pabies_BRI_5
