## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
WHOLE_GENOME	12018808399	0.034536	0.726267	0	0	0	0.017213	0	0.000341	0.019119	0.055135	0.009874	0.101682	0.008073	0.002019	0.001044	0.00058	0.000308	0.000151	0.000071	0.000019	0.000009	0.000006	0.000004	0.000003	0.000003	0.000002	?	?	?	0.005332	0	Pobovata_BER_3
NON_ZERO_REGIONS	97022378	4.278181	6.869163	2	1	0	0.017213	0	0.000341	0.019119	0.055135	0.009874	0.101682	1	0.250075	0.129327	0.071908	0.038182	0.018761	0.008801	0.00232	0.001067	0.000683	0.000498	0.000395	0.000328	0.000279	4.278181	4.278181	4.278181	0.653206	5	Pobovata_BER_3
WHOLE_GENOME	12018808399	0.034184	0.697421	0	0	0	0.018624	0	0.000432	0.01851	0.04685	0.00901	0.093427	0.008165	0.002082	0.001029	0.000537	0.000259	0.000113	0.000049	0.000014	0.000007	0.000005	0.000004	0.000003	0.000003	0.000002	?	?	?	0.005409	0	Pobovata_BOR_10
NON_ZERO_REGIONS	98139229	4.186466	6.494922	2	1	0	0.018624	0	0.000432	0.01851	0.04685	0.00901	0.093427	1	0.254959	0.12604	0.065754	0.031754	0.013885	0.005982	0.00171	0.000905	0.000602	0.000458	0.000376	0.000318	0.000274	4.186466	4.186466	4.186466	0.654992	5	Pobovata_BOR_10
WHOLE_GENOME	12018808399	0.02636	0.522161	0	0	0	0.024353	0	0.000524	0.019298	0.038082	0.006521	0.088779	0.008458	0.001681	0.000563	0.00017	0.000053	0.000024	0.000014	0.000007	0.000005	0.000004	0.000003	0.000002	0.000002	0.000002	?	?	?	0.0054	0	Pobovata_BOR_11
NON_ZERO_REGIONS	101654415	3.116629	4.754476	1	0	0	0.024353	0	0.000524	0.019298	0.038082	0.006521	0.088779	1	0.198719	0.066618	0.020076	0.006266	0.002806	0.001699	0.000875	0.000578	0.000435	0.000349	0.000291	0.000246	0.000216	3.116629	3.116629	3.116629	0.629726	4	Pobovata_BOR_11
WHOLE_GENOME	12018808399	0.027774	0.586264	0	0	0	0.017601	0	0.000383	0.019891	0.04713	0.011718	0.096723	0.007383	0.001749	0.000785	0.00035	0.000141	0.000054	0.000023	0.000009	0.000005	0.000003	0.000003	0.000002	0.000002	0.000002	?	?	?	0.004826	0	Pobovata_BOR_12
NON_ZERO_REGIONS	88735389	3.761813	5.701449	2	1	0	0.017601	0	0.000383	0.019891	0.04713	0.011718	0.096723	1	0.236933	0.106335	0.047451	0.019054	0.00728	0.003155	0.00117	0.000673	0.000474	0.000373	0.000312	0.000267	0.000234	3.761813	3.761813	3.761813	0.645887	5	Pobovata_BOR_12
WHOLE_GENOME	12018808399	0.045471	0.923346	0	0	0	0.017026	0	0.000386	0.018763	0.052858	0.012752	0.101785	0.009108	0.002455	0.00139	0.000882	0.00056	0.000342	0.000198	0.00006	0.000021	0.00001	0.000007	0.000005	0.000004	0.000003	?	?	?	0.006088	0	Pobovata_BOR_17
NON_ZERO_REGIONS	109473193	4.992202	8.300989	2	1	0	0.017026	0	0.000386	0.018763	0.052858	0.012752	0.101785	1	0.269555	0.152558	0.096861	0.06151	0.03756	0.021717	0.006595	0.002252	0.001123	0.000729	0.000536	0.000426	0.000351	4.992202	4.992202	4.992202	0.660781	5	Pobovata_BOR_17
