## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
WHOLE_GENOME	189873346	1.451039	4.409583	1	1	0	0.029956	0	0.003597	0.020663	0.004154	0.025182	0.083552	0.631867	0.032213	0.004317	0.002757	0.002152	0.001822	0.001573	0.001118	0.000726	0.000504	0.000406	0.000363	0.000337	0.000315	?	?	?	0.346228	2	Bstricta_HET21
NON_ZERO_REGIONS	119974726	2.296431	5.369504	2	1	0	0.029956	0	0.003597	0.020663	0.004154	0.025182	0.083552	1	0.05098	0.006833	0.004363	0.003406	0.002884	0.00249	0.00177	0.00115	0.000798	0.000642	0.000575	0.000533	0.000499	2.296431	2.296431	2.296431	0.545274	3	Bstricta_HET21
WHOLE_GENOME	189873346	4.749669	7.967823	4	2	0	0.029495	0	0.001656	0.038981	0.030521	0.042497	0.14315	0.832591	0.462299	0.058251	0.015013	0.009134	0.006779	0.00545	0.004005	0.003159	0.002583	0.002087	0.001645	0.001303	0.001065	4.749669	?	?	0.650305	5	Bstricta_HZ015
NON_ZERO_REGIONS	158086890	5.704683	8.41447	5	2	0	0.029495	0	0.001656	0.038981	0.030521	0.042497	0.14315	1	0.555253	0.069963	0.018032	0.01097	0.008142	0.006546	0.004811	0.003794	0.003102	0.002506	0.001975	0.001565	0.001279	1.901561	2.852341	5.704683	0.77934	7	Bstricta_HZ015
WHOLE_GENOME	189873346	3.462949	6.738607	3	2	0	0.028129	0	0.002363	0.050203	0.005965	0.035188	0.121849	0.80981	0.271103	0.021638	0.008273	0.005571	0.004312	0.003539	0.002602	0.001957	0.001435	0.001081	0.000881	0.000778	0.000705	3.462949	?	?	0.557655	4	Bstricta_HZ024
NON_ZERO_REGIONS	153761415	4.276246	7.252278	4	1	0	0.028129	0	0.002363	0.050203	0.005965	0.035188	0.121849	1	0.334773	0.02672	0.010215	0.00688	0.005325	0.00437	0.003213	0.002416	0.001772	0.001335	0.001088	0.00096	0.00087	2.138123	4.276246	4.276246	0.684934	5	Bstricta_HZ024
WHOLE_GENOME	189873346	4.292087	7.635263	4	2	0	0.029764	0	0.001909	0.029925	0.013435	0.060925	0.135958	0.826657	0.399821	0.041363	0.011698	0.007337	0.005523	0.004498	0.003334	0.002626	0.002075	0.001588	0.001226	0.001013	0.0009	4.292087	?	?	0.619553	4	Bstricta_HZ037
NON_ZERO_REGIONS	156960149	5.192101	8.114722	4	2	0	0.029764	0	0.001909	0.029925	0.013435	0.060925	0.135958	1	0.48366	0.050036	0.014151	0.008875	0.006681	0.005441	0.004033	0.003176	0.00251	0.001921	0.001483	0.001225	0.001089	1.7307	2.596051	5.192101	0.747768	6	Bstricta_HZ037
WHOLE_GENOME	189873346	4.083802	7.100872	3	2	0	0.033523	0	0.004405	0.033122	0.020785	0.033356	0.125192	0.837064	0.366274	0.041	0.01095	0.006457	0.004721	0.003811	0.002866	0.002334	0.001977	0.001702	0.001418	0.001124	0.000865	4.083802	?	?	0.612553	4	Bstricta_HZ041
NON_ZERO_REGIONS	158936145	4.878722	7.507263	4	2	0	0.033523	0	0.004405	0.033122	0.020785	0.033356	0.125192	1	0.43757	0.048981	0.013081	0.007714	0.00564	0.004553	0.003423	0.002788	0.002362	0.002033	0.001694	0.001343	0.001034	2.439361	4.878722	4.878722	0.729257	6	Bstricta_HZ041
WHOLE_GENOME	189873346	5.024666	7.17653	5	2	0	0.017306	0	0.001159	0.044779	0.017005	0.022534	0.102782	0.868416	0.514181	0.066073	0.013439	0.007771	0.005676	0.004533	0.003176	0.002282	0.001621	0.001233	0.001029	0.00091	0.000824	2.512333	?	?	0.687995	5	Bstricta_HZ053
NON_ZERO_REGIONS	164889075	5.786012	7.409533	5	2	0	0.017306	0	0.001159	0.044779	0.017005	0.022534	0.102782	1	0.592091	0.076084	0.015475	0.008949	0.006536	0.00522	0.003657	0.002628	0.001867	0.00142	0.001185	0.001048	0.000949	1.928671	2.893006	2.893006	0.790596	7	Bstricta_HZ053
WHOLE_GENOME	189873346	4.471253	7.773383	4	2	0	0.029625	0	0.002089	0.052093	0.01288	0.046537	0.143223	0.828939	0.425479	0.04665	0.012511	0.00786	0.005961	0.004856	0.003634	0.00293	0.002414	0.001991	0.001578	0.001226	0.000997	4.471253	?	?	0.630203	4	Bstricta_HZ057
NON_ZERO_REGIONS	157393434	5.393947	8.241238	5	2	0	0.029625	0	0.002089	0.052093	0.01288	0.046537	0.143223	1	0.513281	0.056276	0.015092	0.009482	0.007191	0.005858	0.004384	0.003534	0.002912	0.002402	0.001903	0.001479	0.001202	1.797982	2.696973	5.393947	0.757805	6	Bstricta_HZ057
WHOLE_GENOME	189873346	4.339535	7.458032	4	2	0	0.028229	0	0.002199	0.034796	0.010841	0.048307	0.124372	0.826944	0.410129	0.04365	0.011774	0.007276	0.005439	0.004408	0.003237	0.002554	0.00206	0.001636	0.001256	0.00098	0.000835	4.339535	?	?	0.622624	4	Bstricta_HZ062
NON_ZERO_REGIONS	157014552	5.247679	7.905491	4	2	0	0.028229	0	0.002199	0.034796	0.010841	0.048307	0.124372	1	0.495957	0.052785	0.014238	0.008799	0.006577	0.00533	0.003914	0.003089	0.002491	0.001978	0.001518	0.001185	0.00101	1.749226	2.623839	5.247679	0.751036	6	Bstricta_HZ062
WHOLE_GENOME	189873346	3.572456	6.765916	3	2	0	0.028891	0	0.002363	0.036887	0.006877	0.036146	0.111163	0.820473	0.287811	0.023617	0.008341	0.005543	0.004264	0.003507	0.002604	0.002019	0.001512	0.001119	0.000884	0.000753	0.000684	3.572456	?	?	0.571872	4	Bstricta_HZ068
NON_ZERO_REGIONS	155786002	4.354141	7.238135	4	1	0	0.028891	0	0.002363	0.036887	0.006877	0.036146	0.111163	1	0.350787	0.028784	0.010166	0.006756	0.005197	0.004275	0.003174	0.00246	0.001842	0.001364	0.001078	0.000918	0.000834	2.177071	4.354141	4.354141	0.694127	5	Bstricta_HZ068
WHOLE_GENOME	189873346	4.922103	7.868793	4	2	0	0.029666	0	0.001752	0.047113	0.01894	0.036057	0.133529	0.869298	0.484519	0.061719	0.013759	0.008239	0.006195	0.005029	0.003712	0.002907	0.002255	0.001735	0.001371	0.001161	0.001029	2.461052	?	?	0.676781	5	Bstricta_HZ088
NON_ZERO_REGIONS	165056485	5.66216	8.187623	5	2	0	0.029666	0	0.001752	0.047113	0.01894	0.036057	0.133529	1	0.557368	0.070999	0.015828	0.009478	0.007126	0.005785	0.00427	0.003344	0.002595	0.001996	0.001577	0.001336	0.001184	1.887387	2.83108	5.66216	0.776511	7	Bstricta_HZ088
WHOLE_GENOME	189873346	5.294226	7.459869	5	2	0	0.021106	0	0.000792	0.03722	0.062426	0.027403	0.148946	0.868342	0.524089	0.093488	0.020712	0.010688	0.007329	0.005494	0.003419	0.002363	0.001814	0.001476	0.001248	0.001086	0.000963	2.647113	?	?	0.704256	5	Bstricta_HZ097
NON_ZERO_REGIONS	164875077	6.096933	7.693709	5	2	0	0.021106	0	0.000792	0.03722	0.062426	0.027403	0.148946	1	0.603551	0.107662	0.023852	0.012309	0.00844	0.006327	0.003937	0.002721	0.002089	0.0017	0.001438	0.001251	0.001109	2.032311	3.048467	3.048467	0.8095	7	Bstricta_HZ097
WHOLE_GENOME	189873346	5.158125	7.337629	5	2	0	0.021988	0	0.000934	0.042324	0.034189	0.026808	0.126242	0.865901	0.512209	0.084004	0.018377	0.009943	0.006889	0.00523	0.003348	0.002272	0.001715	0.001413	0.001212	0.001065	0.000955	2.579062	?	?	0.691532	5	Bstricta_HZ102
NON_ZERO_REGIONS	164411566	5.956943	7.577625	5	2	0	0.021988	0	0.000934	0.042324	0.034189	0.026808	0.126242	1	0.591533	0.097013	0.021224	0.011483	0.007956	0.006039	0.003867	0.002624	0.001981	0.001632	0.0014	0.00123	0.001103	1.985648	2.978472	5.956943	0.796889	7	Bstricta_HZ102
WHOLE_GENOME	189873346	4.085372	7.089652	4	2	0	0.030854	0	0.001927	0.030202	0.020235	0.031991	0.115208	0.82421	0.368306	0.037655	0.011659	0.007243	0.005413	0.004352	0.003029	0.002099	0.001536	0.001248	0.00107	0.000944	0.000841	4.085372	?	?	0.60827	4	Bstricta_HZ104
NON_ZERO_REGIONS	156495425	4.956715	7.527582	4	2	0	0.030854	0	0.001927	0.030202	0.020235	0.031991	0.115208	1	0.446859	0.045686	0.014146	0.008788	0.006568	0.00528	0.003675	0.002547	0.001864	0.001514	0.001298	0.001146	0.001021	2.478357	2.478357	4.956715	0.736078	6	Bstricta_HZ104
WHOLE_GENOME	189873346	4.421817	7.591602	4	2	0	0.032712	0	0.0018	0.031982	0.029155	0.031762	0.127411	0.828943	0.406771	0.050152	0.01468	0.008832	0.006545	0.005284	0.003899	0.003085	0.002509	0.002041	0.001605	0.001261	0.001023	4.421817	?	?	0.62851	4	Bstricta_HZ110
NON_ZERO_REGIONS	157394171	5.334284	8.041009	4	2	0	0.032712	0	0.0018	0.031982	0.029155	0.031762	0.127411	1	0.49071	0.060501	0.01771	0.010654	0.007896	0.006374	0.004703	0.003722	0.003027	0.002462	0.001936	0.001521	0.001235	1.778095	2.667142	5.334284	0.756296	6	Bstricta_HZ110
