samp	total_reads-before_trimming	total_reads-after_trimming	total_bases-before_trimming	total_bases-after_trimming	q30_bases-before_trimming	q30_bases-after_trimming	q20_bases-before_trimming	q20_bases-after_trimming	mapped_bamfile	dedup_bamfile	realigned_bamfile	trim_command
ERR4124285	226818828.0	209445068.0	22908701628.0	20870770027.0	21138590381.0	20004419003.0	22175040346.0	20701097635.0				fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/ERR4124285_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124285_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/ERR4124285_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124285_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124285__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124285__trimmed_R1_R2.json 
ERR4124286	238998390.0	217820000.0	24138837390.0	21583033181.0	21951282915.0	20549557134.0	23242993608.0	21390899482.0				fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/ERR4124286_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124286_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/ERR4124286_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124286_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124286__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124286__trimmed_R1_R2.json 
ERR4124287	192396664.0	180273114.0	19432063064.0	18000615035.0	18269662480.0	17435507793.0	18949111152.0	17895880977.0				fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/ERR4124287_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124287_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/ERR4124287_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124287_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124287__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124287__trimmed_R1_R2.json 
ERR4124288	241888378.0	227977768.0	24430726178.0	22789917672.0	23048959351.0	22096566898.0	23872018420.0	22664027501.0				fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/ERR4124288_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124288_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/ERR4124288_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124288_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124288__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124288__trimmed_R1_R2.json 
ERR4124289	280957282.0	259718668.0	28376685482.0	25868097315.0	26177080465.0	24771151705.0	27483623632.0	25654694280.0				fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/ERR4124289_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124289_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/ERR4124289_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124289_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124289__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124289__trimmed_R1_R2.json 
ERR4124290	272362926.0	247645246.0	27508655526.0	24529387673.0	24984204190.0	23349758348.0	26464065864.0	24308071657.0				fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/ERR4124290_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124290_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/ERR4124290_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124290_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124290__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Aalp/parentdir/rellstab_Aalp_pooled/01_trimmed/ERR4124290__trimmed_R1_R2.json 
Aal05												
Aal18												
Aal27												
Aal31												
