samp	total_reads-before_trimming	total_reads-after_trimming	total_bases-before_trimming	total_bases-after_trimming	q30_bases-before_trimming	q30_bases-after_trimming	q20_bases-before_trimming	q20_bases-after_trimming	mapped_bamfile	dedup_bamfile	realigned_bamfile	trim_command
ERR4124297	371468958.0	299864322.0	37146895800.0	29443415974.0	30527941505.0	27534648080.0	33296319793.0	29028521267.0				fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/ERR4124297_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124297_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/ERR4124297_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124297_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124297__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124297__trimmed_R1_R2.json 
ERR4124298	168724678.0	136534128.0	16872467800.0	13405190718.0	13895671986.0	12531118591.0	15161204563.0	13214564588.0				fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/ERR4124298_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124298_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/ERR4124298_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124298_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124298__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124298__trimmed_R1_R2.json 
ERR4124299	229033884.0	186193390.0	22903388400.0	18283511355.0	18929818432.0	17099973669.0	20629445036.0	18025559718.0				fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/ERR4124299_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124299_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/ERR4124299_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124299_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124299__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124299__trimmed_R1_R2.json 
ERR4124300	284061676.0	229653668.0	28406167600.0	22548559932.0	23392077181.0	21084507513.0	25516207607.0	22235250483.0				fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/ERR4124300_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124300_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/ERR4124300_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124300_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124300__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124300__trimmed_R1_R2.json 
ERR4124301	218552418.0	175838242.0	21855241800.0	17261968285.0	17908953162.0	16133551306.0	19554761231.0	17017636939.0				fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/ERR4124301_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124301_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/ERR4124301_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124301_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124301__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124301__trimmed_R1_R2.json 
ERR4124302	258060268.0	208085538.0	25806026800.0	20431749877.0	21189194704.0	19103397701.0	23124094049.0	20143286180.0				fastp -i /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/ERR4124302_R1.fastq.gz -o /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124302_R1_trimmed.fastq.gz -I /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/ERR4124302_R2.fastq.gz -O /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124302_R2_trimmed.fastq.gz -g --cut_window_size 5 --cut_mean_quality 30 --n_base_limit 20 --length_required 75 -h /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124302__trimmed_R1_R2_stats.html --cut_by_quality3 --thread 16 --json /home/jimw91/scratch/pool_snpcalling/rellstab_Cres/parentdir/rellstab_Cres_pooled/01_trimmed/ERR4124302__trimmed_R1_R2.json 
Cre03												
Cre12												
Cre13												
Cre14												
