## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
WHOLE_GENOME	167187188	57.868412	42.078325	62	21	0	0	0	0	0.014605	0.048688	0.077459	0.140752	0.907964	0.866593	0.834637	0.808175	0.78372	0.760074	0.73649	0.685976	0.624492	0.535288	0.395799	0.233009	0.120486	0.07308	3.616776	57.868412	?	0.887551	9	Aha09
NON_ZERO_REGIONS	151799899	63.734279	39.70145	66	18	0	0	0	0	0.014605	0.048688	0.077459	0.140752	1	0.954436	0.91924	0.890096	0.863162	0.837119	0.811145	0.755511	0.687794	0.589548	0.43592	0.256629	0.132699	0.080488	1.991696	4.902637	12.746856	0.977232	16	Aha09
WHOLE_GENOME	167187188	64.955804	46.674309	71	24	0	0	0	0	0.015191	0.064481	0.086997	0.166669	0.900427	0.860453	0.831151	0.807969	0.787378	0.767785	0.748327	0.707798	0.661315	0.602698	0.515314	0.383111	0.233862	0.128581	4.059738	64.955804	?	0.881181	9	Aha11
NON_ZERO_REGIONS	150539786	72.138925	43.60294	75	19	0	0	0	0	0.015191	0.064481	0.086997	0.166669	1	0.955606	0.923063	0.897318	0.87445	0.85269	0.83108	0.786069	0.734447	0.669347	0.5723	0.425477	0.259723	0.1428	1.949701	5.15278	14.427785	0.97832	17	Aha11
WHOLE_GENOME	167187188	53.033107	39.574341	56	20	0	0	0	0	0.015295	0.074511	0.067532	0.157338	0.905152	0.861316	0.827794	0.800004	0.774326	0.748887	0.722678	0.66284	0.580929	0.453835	0.287415	0.150225	0.082963	0.058423	3.53554	53.033107	?	0.883688	9	Aha18
NON_ZERO_REGIONS	151329880	58.590253	37.478564	60	17	0	0	0	0	0.015295	0.074511	0.067532	0.157338	1	0.95157	0.914536	0.883834	0.855465	0.82736	0.798405	0.732297	0.641802	0.50139	0.317532	0.165967	0.091657	0.064545	2.020354	4.882521	11.718051	0.975987	16	Aha18
WHOLE_GENOME	167187188	60.512052	43.836013	65	22	0	0	0	0	0.015594	0.077258	0.082016	0.174868	0.904091	0.864377	0.83436	0.809429	0.786823	0.765184	0.743692	0.698354	0.643612	0.566301	0.442664	0.280665	0.150122	0.08755	3.559532	60.512052	?	0.884942	9	Aha19
NON_ZERO_REGIONS	151152383	66.931394	41.179977	69	18	0	0	0	0	0.015594	0.077258	0.082016	0.174868	1	0.956074	0.922872	0.895296	0.870292	0.846358	0.822585	0.772438	0.711889	0.626376	0.489624	0.310439	0.166047	0.096838	1.96857	4.780814	13.386279	0.978519	17	Aha19
WHOLE_GENOME	167187188	48.669917	39.17291	51	21	0	0	0	0	0.007673	0.114672	0.085546	0.20789	0.897477	0.849255	0.811367	0.778269	0.74611	0.713523	0.679649	0.605396	0.513823	0.381308	0.216846	0.106696	0.066967	0.052576	4.424538	?	?	0.875771	9	Aha21
NON_ZERO_REGIONS	150046647	54.229713	37.527402	55	18	0	0	0	0	0.007673	0.114672	0.085546	0.20789	1	0.94627	0.904053	0.867174	0.831341	0.795032	0.757288	0.674553	0.572519	0.424866	0.241617	0.118884	0.074616	0.058582	2.259571	5.422971	13.557428	0.97566	16	Aha21
