## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
WHOLE_GENOME	183862724	16.730095	18.299856	16	13	0	0.033256	0	0.003602	0.026199	0.16584	0.025749	0.254646	0.748743	0.668269	0.604331	0.522284	0.418238	0.297866	0.181884	0.05241	0.023196	0.014453	0.009855	0.007172	0.005522	0.004413	?	?	?	0.709653	5	Alyr_Germany_Plech_PL-S2-1-3
NON_ZERO_REGIONS	137665970	22.344235	17.939309	21	8	0	0.033256	0	0.003602	0.026199	0.16584	0.025749	0.254646	1	0.892521	0.807127	0.697547	0.558587	0.397821	0.242919	0.069998	0.030979	0.019303	0.013162	0.009578	0.007376	0.005894	2.234424	5.586059	11.172118	0.94704	13	Alyr_Germany_Plech_PL-S2-1-3
WHOLE_GENOME	183862724	16.170858	17.953235	15	13	0	0.032188	0	0.00409	0.026092	0.14309	0.027416	0.232875	0.737928	0.65631	0.591421	0.50784	0.40172	0.280709	0.168179	0.048926	0.02256	0.014169	0.00968	0.007042	0.005372	0.004258	?	?	?	0.697802	5	Alyr_Germany_Plech_PL-S4-2-1
NON_ZERO_REGIONS	135677533	21.913856	17.633413	21	8	0	0.032188	0	0.00409	0.026092	0.14309	0.027416	0.232875	1	0.889395	0.801461	0.688197	0.544389	0.380401	0.227907	0.066302	0.030571	0.019201	0.013118	0.009543	0.007279	0.00577	2.191386	5.478464	10.956928	0.944847	13	Alyr_Germany_Plech_PL-S4-2-1
WHOLE_GENOME	183862724	19.187368	20.776239	18	16	0	0.031853	0	0.003607	0.026929	0.155402	0.025487	0.243279	0.743324	0.668402	0.613366	0.548443	0.468439	0.375095	0.273354	0.10555	0.038768	0.02173	0.014795	0.010603	0.00799	0.006304	?	?	?	0.706346	5	Alyr_Germany_Plech_PL-S5-1-2
NON_ZERO_REGIONS	136669618	25.812918	20.240559	25	10	0	0.031853	0	0.003607	0.026929	0.155402	0.025487	0.243279	1	0.899207	0.825166	0.737825	0.630195	0.504619	0.367746	0.141997	0.052155	0.029234	0.019904	0.014265	0.010749	0.008481	2.346629	6.45323	12.906459	0.949479	13	Alyr_Germany_Plech_PL-S5-1-2
WHOLE_GENOME	183862724	20.443762	21.576227	19	16	0	0.031497	0	0.003282	0.026096	0.16668	0.025429	0.252984	0.7503	0.677605	0.626751	0.567905	0.494579	0.407746	0.310095	0.131732	0.047686	0.024818	0.016768	0.012076	0.009062	0.007066	?	?	?	0.714931	5	Alyr_Germany_Plech_PL-S6-1-2
NON_ZERO_REGIONS	137952186	27.247454	20.858572	26	10	0	0.031497	0	0.003282	0.026096	0.16668	0.025429	0.252984	1	0.903112	0.835334	0.756904	0.659176	0.543445	0.413295	0.175572	0.063556	0.033077	0.022348	0.016095	0.012078	0.009417	2.270621	5.449491	13.623727	0.95215	13	Alyr_Germany_Plech_PL-S6-1-2
WHOLE_GENOME	183862724	18.495827	19.955664	17	15	0	0.032724	0	0.003817	0.029063	0.155685	0.027864	0.249153	0.746955	0.669784	0.613007	0.543648	0.45701	0.355839	0.248584	0.087954	0.03323	0.019253	0.013076	0.009401	0.007128	0.005631	?	?	?	0.708868	5	Alyr_Germany_Plech_PL-S7-1-2
NON_ZERO_REGIONS	137337212	24.761629	19.441818	24	10	0	0.032724	0	0.003817	0.029063	0.155685	0.027864	0.249153	1	0.896686	0.820675	0.727819	0.61183	0.476387	0.332796	0.11775	0.044487	0.025775	0.017505	0.012585	0.009542	0.007538	2.251057	6.190407	12.380815	0.948086	13	Alyr_Germany_Plech_PL-S7-1-2
WHOLE_GENOME	183862724	22.00987	22.196641	23	16	0	0.03151	0	0.003864	0.029217	0.158819	0.025988	0.249398	0.747757	0.678428	0.63857	0.597438	0.544615	0.472498	0.374078	0.153897	0.049802	0.026984	0.01841	0.01299	0.009612	0.007498	?	?	?	0.71381	5	Alyr_Germany_Plech_PL-S8-1-3
NON_ZERO_REGIONS	137484608	29.434529	20.984529	30	9	0	0.03151	0	0.003864	0.029217	0.158819	0.025988	0.249398	1	0.907285	0.853981	0.798973	0.728331	0.631888	0.500266	0.205812	0.066602	0.036086	0.02462	0.017372	0.012855	0.010027	2.102466	5.886906	14.717264	0.953679	13	Alyr_Germany_Plech_PL-S8-1-3
WHOLE_GENOME	183862724	6.586921	9.102003	6	5	0	0.032515	0	0.003786	0.189904	0.190856	0.011923	0.428984	0.720622	0.556771	0.263415	0.089043	0.033456	0.017821	0.011764	0.006495	0.004161	0.0029	0.002132	0.001633	0.001308	0.001078	?	?	?	0.650066	5	Alyr_Norway_Grovudalen_T3-2
NON_ZERO_REGIONS	132495480	9.140608	9.571989	8	3	0	0.032515	0	0.003786	0.189904	0.190856	0.011923	0.428984	1	0.772626	0.365538	0.123564	0.046427	0.02473	0.016325	0.009013	0.005774	0.004025	0.002958	0.002267	0.001815	0.001496	2.285152	4.570304	9.140608	0.895169	10	Alyr_Norway_Grovudalen_T3-2
WHOLE_GENOME	183862724	6.580215	9.422067	6	5	0	0.031068	0	0.003065	0.176206	0.211334	0.011109	0.432782	0.722123	0.559413	0.259017	0.084521	0.032185	0.0177	0.01184	0.006567	0.004238	0.003012	0.002286	0.001838	0.001537	0.001318	?	?	?	0.653755	5	Alyr_Norway_Grovudalen_T3-3
NON_ZERO_REGIONS	132771579	9.112314	9.99316	8	3	0	0.031068	0	0.003065	0.176206	0.211334	0.011109	0.432782	1	0.774677	0.358688	0.117044	0.04457	0.024511	0.016395	0.009095	0.005869	0.004171	0.003165	0.002546	0.002128	0.001826	2.278078	4.556157	9.112314	0.899285	10	Alyr_Norway_Grovudalen_T3-3
WHOLE_GENOME	183862724	9.055931	11.752044	8	7	0	0.03131	0	0.003155	0.180045	0.202991	0.012827	0.430327	0.730612	0.627419	0.423542	0.207806	0.088155	0.041015	0.024001	0.012462	0.007922	0.005496	0.004042	0.003123	0.002504	0.002057	?	?	?	0.681929	5	Alyr_Norway_Grovudalen_T3-5
