## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
WHOLE_GENOME	389016531	13.913761	17.875557	10	8	0	0.044674	0	0.003851	0.052857	0.073713	0.048637	0.223732	0.837357	0.683869	0.511515	0.362619	0.248556	0.167973	0.113203	0.052867	0.026943	0.015748	0.010519	0.007755	0.006088	0.004977	0.746089	6	Mtruncatula_HM001
NON_ZERO_REGIONS	325745832	16.616277	18.34923	12	7	0	0.044674	0	0.003851	0.052857	0.073713	0.048637	0.223732	1	0.816699	0.610868	0.433051	0.296833	0.200599	0.135191	0.063135	0.032177	0.018807	0.012562	0.009261	0.007271	0.005944	0.889922	10	Mtruncatula_HM001
WHOLE_GENOME	389016531	15.568669	17.592417	13	9	0	0.04441	0	0.003838	0.061103	0.036433	0.025307	0.171091	0.837266	0.738168	0.59265	0.446944	0.314105	0.206545	0.129881	0.051456	0.024609	0.014759	0.01023	0.007691	0.006071	0.004963	0.779196	7	Mtruncatula_HM002
NON_ZERO_REGIONS	325710128	18.594661	17.702549	16	8	0	0.04441	0	0.003838	0.061103	0.036433	0.025307	0.171091	1	0.881641	0.70784	0.533814	0.375156	0.246689	0.155125	0.061457	0.029393	0.017628	0.012218	0.009186	0.00725	0.005928	0.929296	12	Mtruncatula_HM002
WHOLE_GENOME	389016531	13.817854	14.837686	12	8	0	0.04372	0	0.005656	0.049797	0.0177	0.064435	0.181308	0.85062	0.741823	0.587053	0.419946	0.26429	0.145622	0.073917	0.023273	0.012398	0.008223	0.006003	0.004638	0.003731	0.003103	0.781508	7	Mtruncatula_HM003
NON_ZERO_REGIONS	330905093	16.244457	14.812178	14	7	0	0.04372	0	0.005656	0.049797	0.0177	0.064435	0.181308	1	0.872098	0.690147	0.493694	0.310703	0.171195	0.086897	0.02736	0.014575	0.009667	0.007057	0.005453	0.004386	0.003648	0.917655	11	Mtruncatula_HM003
WHOLE_GENOME	389016531	11.192985	14.911295	8	6	0	0.054258	0	0.005395	0.054333	0.027885	0.042166	0.184037	0.824164	0.655049	0.440817	0.276401	0.168192	0.101769	0.062416	0.026328	0.013722	0.008662	0.006233	0.004839	0.003944	0.003314	0.718714	6	Mtruncatula_HM004
NON_ZERO_REGIONS	320613341	13.58102	15.406255	10	6	0	0.054258	0	0.005395	0.054333	0.027885	0.042166	0.184037	1	0.794805	0.534866	0.335371	0.204076	0.123482	0.075733	0.031945	0.016649	0.01051	0.007563	0.005871	0.004785	0.004021	0.870678	9	Mtruncatula_HM004
WHOLE_GENOME	389016531	15.411307	21.024541	9	8	0	0.04874	0	0.004383	0.036319	0.032386	0.081748	0.203578	0.820422	0.654823	0.493917	0.371763	0.279327	0.209786	0.157407	0.088573	0.050301	0.029626	0.01863	0.012691	0.009307	0.007248	0.720194	6	Mtruncatula_HM005
NON_ZERO_REGIONS	319157776	18.784606	21.804108	13	9	0	0.04874	0	0.004383	0.036319	0.032386	0.081748	0.203578	1	0.798154	0.602028	0.453136	0.340468	0.255705	0.191861	0.10796	0.061311	0.036111	0.022708	0.015469	0.011344	0.008835	0.876847	9	Mtruncatula_HM005
WHOLE_GENOME	389016531	7.708014	12.046132	5	4	0	0.045603	0	0.002206	0.044808	0.201807	0.040004	0.334427	0.807573	0.517478	0.285587	0.155132	0.083414	0.045263	0.025794	0.011042	0.006582	0.00462	0.003509	0.002817	0.002342	0.002007	0.647399	5	Mtruncatula_HM006
NON_ZERO_REGIONS	314159098	9.54467	12.734028	7	4	0	0.045603	0	0.002206	0.044808	0.201807	0.040004	0.334427	1	0.640783	0.353636	0.192096	0.10329	0.056048	0.03194	0.013673	0.00815	0.005721	0.004345	0.003488	0.0029	0.002485	0.800128	7	Mtruncatula_HM006
WHOLE_GENOME	389016531	14.741478	16.795333	12	9	0	0.039776	0	0.00469	0.0641	0.034806	0.050134	0.193505	0.831481	0.717184	0.568938	0.421902	0.291891	0.190639	0.12001	0.046864	0.021241	0.012156	0.008234	0.006133	0.004828	0.003949	0.764541	6	Mtruncatula_HM007
NON_ZERO_REGIONS	323459734	17.729189	16.91994	15	8	0	0.039776	0	0.00469	0.0641	0.034806	0.050134	0.193505	1	0.862538	0.684247	0.507411	0.35105	0.229276	0.144333	0.056362	0.025546	0.014619	0.009903	0.007375	0.005807	0.00475	0.918039	11	Mtruncatula_HM007
WHOLE_GENOME	389016531	16.915294	20.616698	12	10	0	0.043743	0	0.004368	0.058388	0.011712	0.059795	0.178006	0.832008	0.727935	0.583534	0.446361	0.32714	0.233049	0.164308	0.083721	0.046138	0.027827	0.018251	0.012826	0.009564	0.00749	0.769151	6	Mtruncatula_HM008
NON_ZERO_REGIONS	323664790	20.330692	21.010309	16	9	0	0.043743	0	0.004368	0.058388	0.011712	0.059795	0.178006	1	0.874914	0.701357	0.536487	0.393194	0.280104	0.197483	0.100625	0.055454	0.033446	0.021936	0.015416	0.011495	0.009002	0.923271	11	Mtruncatula_HM008
WHOLE_GENOME	389016531	7.459722	13.681057	3	3	0	0.06042	0	0.003727	0.055362	0.041969	0.05713	0.218608	0.73623	0.434834	0.251935	0.153769	0.096529	0.062146	0.041124	0.019907	0.011204	0.007232	0.005175	0.003974	0.003207	0.002687	0.523051	3	Mtruncatula_HM009
NON_ZERO_REGIONS	286405447	10.132332	15.071489	6	4	0	0.06042	0	0.003727	0.055362	0.041969	0.05713	0.218608	1	0.590623	0.342196	0.20886	0.131112	0.084411	0.055857	0.027039	0.015219	0.009822	0.007029	0.005397	0.004356	0.00365	0.707711	5	Mtruncatula_HM009
WHOLE_GENOME	389016531	14.756983	16.407665	12	8	0	0.044623	0	0.004274	0.040863	0.028054	0.059772	0.177586	0.842803	0.747768	0.597251	0.429306	0.282732	0.17487	0.104739	0.039109	0.018681	0.011498	0.008127	0.00619	0.004946	0.004084	0.789192	7	Mtruncatula_HM010
NON_ZERO_REGIONS	327864256	17.509413	16.46908	15	7	0	0.044623	0	0.004274	0.040863	0.028054	0.059772	0.177586	1	0.887239	0.708648	0.509379	0.335466	0.207486	0.124275	0.046404	0.022165	0.013643	0.009643	0.007345	0.005868	0.004845	0.935368	12	Mtruncatula_HM010
WHOLE_GENOME	389016531	16.956856	21.167411	12	10	0	0.042849	0	0.004476	0.043465	0.013464	0.069365	0.173619	0.838634	0.717296	0.5643	0.42744	0.317921	0.235128	0.173503	0.094667	0.052643	0.030676	0.019295	0.013195	0.009724	0.007606	0.760654	6	Mtruncatula_HM011
NON_ZERO_REGIONS	326242555	20.21961	21.640263	15	9	0	0.042849	0	0.004476	0.043465	0.013464	0.069365	0.173619	1	0.855315	0.67288	0.509686	0.379094	0.28037	0.206888	0.112883	0.062772	0.036579	0.023008	0.015734	0.011595	0.009069	0.90602	10	Mtruncatula_HM011
