## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
WHOLE_GENOME	119482896	32.71711	18.653103	34	8	0	0.012577	0	0.001791	0.039356	0.006922	0.162503	0.223149	0.928776	0.913573	0.902319	0.884525	0.8475	0.771457	0.641434	0.292822	0.07614	0.021469	0.012124	0.00868	0.006625	0.005387	1.422483	3.271711	?	0.920441	11	Athaliana_IBE_6933
NON_ZERO_REGIONS	110972837	35.226053	16.918631	35	7	0	0.012577	0	0.001791	0.039356	0.006922	0.162503	0.223149	1	0.983632	0.971514	0.952355	0.912491	0.830617	0.690623	0.315277	0.081979	0.023115	0.013054	0.009346	0.007133	0.0058	1.354848	1.677431	2.348404	0.990543	20	Athaliana_IBE_6933
WHOLE_GENOME	119482896	11.8936	13.5712	11	5	0	0.015751	0	0.001087	0.022997	0.094261	0.062094	0.19619	0.922804	0.81723	0.58326	0.304574	0.119902	0.042448	0.017648	0.007133	0.004826	0.003872	0.00337	0.003052	0.002854	0.002709	2.37872	11.8936	?	0.868289	9	Athaliana_IBE_6961
NON_ZERO_REGIONS	110259279	12.888546	13.666061	12	4	0	0.015751	0	0.001087	0.022997	0.094261	0.062094	0.19619	1	0.885594	0.632053	0.330052	0.129933	0.045999	0.019125	0.00773	0.00523	0.004196	0.003652	0.003307	0.003093	0.002936	1.841221	3.222136	6.444273	0.940582	12	Athaliana_IBE_6961
WHOLE_GENOME	119482896	6.782121	9.416985	6	3	0	0.016279	0	0.00159	0.046031	0.042939	0.060716	0.167554	0.891079	0.640926	0.230283	0.045833	0.011043	0.005805	0.004141	0.002863	0.002349	0.002057	0.001832	0.001637	0.001467	0.00132	3.391061	?	?	0.764003	6	Athaliana_IBE_6970
NON_ZERO_REGIONS	106468739	7.611131	9.654513	7	3	0	0.016279	0	0.00159	0.046031	0.042939	0.060716	0.167554	1	0.71927	0.258432	0.051435	0.012393	0.006515	0.004648	0.003213	0.002637	0.002308	0.002056	0.001837	0.001647	0.001482	1.902783	3.805565	3.805565	0.856547	8	Athaliana_IBE_6970
WHOLE_GENOME	119482896	9.460541	10.514251	9	3	0	0.011813	0	0.00066	0.083914	0.179629	0.179017	0.455033	0.919101	0.831867	0.463677	0.118527	0.021005	0.00753	0.004889	0.00326	0.002739	0.00251	0.002375	0.002264	0.002168	0.002073	1.892108	4.73027	?	0.87433	9	Athaliana_IBE_6971
NON_ZERO_REGIONS	109816826	10.293257	10.569232	10	3	0	0.011813	0	0.00066	0.083914	0.179629	0.179017	0.455033	1	0.905088	0.504489	0.12896	0.022854	0.008193	0.005319	0.003547	0.00298	0.002731	0.002584	0.002464	0.002359	0.002256	1.715543	2.058651	3.431086	0.950579	13	Athaliana_IBE_6971
WHOLE_GENOME	119482896	8.824882	9.917135	8	3	0	0.015139	0	0.001398	0.046019	0.069991	0.066755	0.199302	0.910867	0.79431	0.399166	0.103434	0.023063	0.00931	0.005857	0.00354	0.002729	0.002313	0.001998	0.001723	0.001512	0.001369	2.206221	8.824882	?	0.839707	8	Athaliana_IBE_7077
NON_ZERO_REGIONS	108833060	9.688439	9.980332	9	3	0	0.015139	0	0.001398	0.046019	0.069991	0.066755	0.199302	1	0.872037	0.438226	0.113556	0.025319	0.010222	0.00643	0.003887	0.002996	0.00254	0.002193	0.001892	0.00166	0.001503	1.61474	2.42211	3.22948	0.92156	11	Athaliana_IBE_7077
