## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
WHOLE_GENOME	119482896	11.526907	12.657969	11	4	0	0.023558	0	0.003362	0.003806	0.001143	0.034639	0.066508	0.915214	0.835907	0.602387	0.279589	0.081833	0.021986	0.009774	0.005162	0.003867	0.003255	0.002908	0.002697	0.00255	0.002448	1.921151	11.526907	?	0.871762	9	Athaliana_SWE_1002
NON_ZERO_REGIONS	109352380	12.594772	12.712907	12	4	0	0.023558	0	0.003362	0.003806	0.001143	0.034639	0.066508	1	0.913347	0.658193	0.30549	0.089414	0.024023	0.01068	0.00564	0.004225	0.003557	0.003177	0.002947	0.002786	0.002675	1.799253	2.518954	4.198257	0.952462	13	Athaliana_SWE_1002
WHOLE_GENOME	119482896	41.471682	20.781843	43	6	0	0.017438	0	0.002673	0.013328	0.000625	0.039181	0.073246	0.933948	0.921582	0.914271	0.908513	0.902547	0.893313	0.868281	0.63424	0.225643	0.053382	0.025425	0.018626	0.013913	0.010347	1.219755	1.974842	?	0.927846	11	Athaliana_SWE_1006
NON_ZERO_REGIONS	111590771	44.404717	18.226051	43	6	0	0.017438	0	0.002673	0.013328	0.000625	0.039181	0.073246	1	0.98676	0.978932	0.972767	0.966378	0.956492	0.929689	0.679096	0.241602	0.057158	0.027223	0.019943	0.014896	0.011079	1.233464	1.387647	1.707874	0.993293	22	Athaliana_SWE_1006
WHOLE_GENOME	119482896	9.428273	9.914913	9	3	0	0.020016	0	0.003491	0.085219	0.00187	0.01788	0.128475	0.917232	0.825098	0.47015	0.120432	0.020937	0.00794	0.005285	0.003476	0.002791	0.002431	0.002217	0.002063	0.001935	0.001801	1.885655	4.714137	?	0.856355	8	Athaliana_SWE_1061
NON_ZERO_REGIONS	109593561	10.279047	9.921245	10	3	0	0.020016	0	0.003491	0.085219	0.00187	0.01788	0.128475	1	0.899552	0.512575	0.131299	0.022827	0.008657	0.005762	0.00379	0.003043	0.002651	0.002417	0.002249	0.002109	0.001964	1.713175	2.569762	3.426349	0.931702	12	Athaliana_SWE_1061
WHOLE_GENOME	119482896	48.37274	24.436493	51	11	0	0.017556	0	0.002643	0.084081	0.002405	0.035272	0.141957	0.935775	0.920499	0.91067	0.900187	0.886115	0.865706	0.835869	0.730258	0.538255	0.288451	0.101804	0.03147	0.016619	0.01258	1.422728	3.224849	?	0.927596	11	Athaliana_SWE_1062
NON_ZERO_REGIONS	111809123	51.692697	21.598801	52	10	0	0.017556	0	0.002643	0.084081	0.002405	0.035272	0.141957	1	0.983676	0.973172	0.961969	0.946931	0.925121	0.893237	0.780378	0.575197	0.308248	0.108791	0.03363	0.017759	0.013443	1.360334	1.782507	2.720668	0.990223	20	Athaliana_SWE_1062
WHOLE_GENOME	119482896	14.065647	11.21269	14	3	0	0.014774	0	0.002603	0.023795	0.000929	0.023139	0.06524	0.926435	0.90505	0.815872	0.462476	0.127087	0.027226	0.011725	0.005833	0.004063	0.003316	0.002947	0.002688	0.002492	0.002342	1.406565	2.813129	?	0.911033	11	Athaliana_SWE_1063
NON_ZERO_REGIONS	110693187	15.182544	10.897263	14	3	0	0.014774	0	0.002603	0.023795	0.000929	0.023139	0.06524	1	0.976917	0.880657	0.499199	0.137179	0.029388	0.012656	0.006297	0.004386	0.00358	0.003181	0.002901	0.00269	0.002528	1.380231	1.686949	2.168935	0.983121	18	Athaliana_SWE_1063
