## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
WHOLE_GENOME	653587999	7.581035	10.28645	6	6	0	0.05618	0	0.00499	0.027689	0.028095	0.075004	0.191958	0.703812	0.53659	0.361039	0.174229	0.06318	0.028478	0.016482	0.007002	0.003589	0.00216	0.001495	0.00116	0.000973	0.000866	?	?	?	0.6294	4	Atuberculatus_15_10
NON_ZERO_REGIONS	460002923	10.771395	10.769186	10	5	0	0.05618	0	0.00499	0.027689	0.028095	0.075004	0.191958	1	0.762406	0.512976	0.247551	0.089768	0.040462	0.023418	0.009948	0.005099	0.003069	0.002125	0.001649	0.001382	0.00123	2.692849	5.385698	10.771395	0.891372	10	Atuberculatus_15_10
WHOLE_GENOME	653587999	9.02999	11.566345	7	7	0	0.05772	0	0.006113	0.030435	0.024044	0.058314	0.176625	0.71646	0.565093	0.420288	0.260698	0.116768	0.049065	0.02678	0.011684	0.006022	0.003506	0.002278	0.001638	0.001288	0.001075	?	?	?	0.649011	5	Atuberculatus_15_11
NON_ZERO_REGIONS	468269440	12.603626	11.903084	12	6	0	0.05772	0	0.006113	0.030435	0.024044	0.058314	0.176625	1	0.78873	0.586618	0.36387	0.16298	0.068482	0.037378	0.016307	0.008405	0.004894	0.003179	0.002286	0.001798	0.0015	3.150906	6.301813	12.603626	0.902781	10	Atuberculatus_15_11
WHOLE_GENOME	653587999	7.078852	9.785565	5	5	0	0.057582	0	0.005465	0.028747	0.02775	0.050158	0.169703	0.704183	0.526471	0.332829	0.144197	0.04935	0.022533	0.012959	0.005373	0.00274	0.001683	0.001218	0.000988	0.000863	0.00079	?	?	?	0.62432	4	Atuberculatus_15_3
NON_ZERO_REGIONS	460245296	10.05258	10.299998	9	5	0	0.057582	0	0.005465	0.028747	0.02775	0.050158	0.169703	1	0.747634	0.472646	0.204772	0.070081	0.031999	0.018403	0.00763	0.003891	0.00239	0.00173	0.001403	0.001226	0.001121	3.35086	5.02629	10.05258	0.883593	9	Atuberculatus_15_3
WHOLE_GENOME	653587999	7.159016	9.893406	5	5	0	0.057655	0	0.005112	0.028665	0.025499	0.056392	0.173323	0.715227	0.52761	0.334182	0.145912	0.051745	0.024415	0.014238	0.006006	0.003091	0.001902	0.001357	0.001076	0.000916	0.000821	?	?	?	0.630476	4	Atuberculatus_15_5
NON_ZERO_REGIONS	467463839	10.00943	10.407684	9	5	0	0.057655	0	0.005112	0.028665	0.025499	0.056392	0.173323	1	0.737682	0.467239	0.204009	0.072348	0.034136	0.019907	0.008397	0.004322	0.002659	0.001897	0.001504	0.001281	0.001148	3.336477	5.004715	10.00943	0.878236	9	Atuberculatus_15_5
WHOLE_GENOME	653587999	6.315338	9.169334	5	5	0	0.054407	0	0.005143	0.027805	0.029353	0.069666	0.186374	0.688992	0.502553	0.285673	0.100588	0.034066	0.01669	0.009603	0.003981	0.002108	0.00137	0.001039	0.000872	0.000782	0.000725	?	?	?	0.605019	4	Atuberculatus_15_6
NON_ZERO_REGIONS	450316648	9.16606	9.79279	8	4	0	0.054407	0	0.005143	0.027805	0.029353	0.069666	0.186374	1	0.729403	0.414625	0.145994	0.049444	0.024224	0.013938	0.005778	0.00306	0.001989	0.001509	0.001265	0.001135	0.001052	3.055353	4.58303	9.16606	0.875143	9	Atuberculatus_15_6
