#VCF	GENOME	GFF	IS_POOL	GENOME_SPECIES	READY	RUN _OUTPUT	OUTPUT_DIR
/lu213/james.whiting/RepAdapt/data/VCFs/02_Alyrata_Willi_pool/Alyr_full_concatened.filtered_NoMiss0.25_maf0.05.SNPTable.txt	data/reference_genomes/A.lyrata_reference/Alyr_v.1.0_genomic.fasta	data/reference_genomes/A.lyrata_reference/Alyr_v.1.0_genomic.gff	TRUE	Alyrata	YES	YES	Arabidopsis_lyrata_Willi_PoolSeq
/lu213/james.whiting/RepAdapt/data/VCFs/03_Alyrata_Savolainen_wgs/savolainen_Alyrata_full_concatened_ScandScot_maf05.vcf.gz	data/reference_genomes/A.lyrata_reference/Alyr_v.1.0_genomic.fasta	data/reference_genomes/A.lyrata_reference/Alyr_v.1.0_genomic.gff	FALSE	Alyrata	YES	YES	Arabidopsis_lyrata_Savolainen_Individual
/lu213/james.whiting/RepAdapt/data/VCFs/04_Ptrichocarpa_Holliday_capture/Ptrichocharpa_full_concatened.vcf.gz	data/reference_genomes/P.trichocarpa_reference/Ptrichocarpa_210.fasta	data/reference_genomes/P.trichocarpa_reference/Ptrichocarpa_210_v3.0_CHR_MATCHED.gff3	FALSE	Ptrichocarpa	YES	NO	Populus_trichocarpa_Holliday_Capture
/lu213/james.whiting/RepAdapt/data/VCFs/05_Bstricta_MitchellOlds_wgs/mitchell_Bstricta_full_concatened_maf05_484inds.vcf.gz	data/reference_genomes/B.stricta_reference/LTM_v2.2.fasta	data/reference_genomes/B.stricta_reference/LTM_v2.2_annotatioin_CHR_MATCHED.gff3	FALSE	Bstricta	NO	NO	Boechera_stricta_Mitchell-Olds_Individual
/lu213/james.whiting/RepAdapt/data/VCFs/06_Ahalleri_Kubota_wgs/kubota_Ahall_full_concatened.vcf.gz	data/reference_genomes/A.halleri_gemmifera_reference/GCA_900078215.1_Ahal2.2_genomic.fasta	data/reference_genomes/A.halleri_gemmifera_reference/Arabidopsis_halleri.Ahal2.2.45_CHR_MATCHED.gff3	FALSE	Ahalleri	YES	YES	Arabidopsis_halleri_Kubota_Individual
/lu213/james.whiting/RepAdapt/data/VCFs/07_Mtruncatula_Tiffin_wgs/tiffin_Mtrunc_full_concatened.vcf.gz	data/reference_genomes/M.truncatula_reference/Mtr.v4.fasta	data/reference_genomes/M.truncatula_reference/Mt4.0v2_genes_20140818_1100_CHR_MATCHED.gff3	FALSE	Mtruncatula	YES	YES	Medicago_truncatula_Tiffin_Individual
/lu213/james.whiting/RepAdapt/data/VCFs/08_Cbursa-pastoris_Lascoux/Cbursa-pastoris_full_concatened.vcf.gz	data/reference_genomes/C.rubella_reference/GCF_000375325.1_Caprub1_0_genomic.fasta	data/reference_genomes/C.rubella_reference/GCF_000375325.1_Caprub1_0_genomic_CHR_MATCHED_v2.gff	FALSE	Crubella	YES	NO	Capsela_bursa-pastoris_Lascoux_Individual
/lu213/james.whiting/RepAdapt/data/VCFs/09_Atuberculatus_Wright/Atuberculatus_full_concatened.vcf.gz	data/reference_genomes/A.tuberculatus_reference/Amaranthus_tuberculatus.fasta	data/reference_genomes/A.tuberculatus_reference/Amaranthus_tuberculatus_annos1-cds1-id_typename-nu1-upa1-add_chr0.gid54057_CHR_MATCHED.gff	FALSE	Atubercatus	YES	YES	Amaranthus_tuberculatus_Wright_Individual
/lu213/james.whiting/RepAdapt/data/VCFs/10_Capsella_Weigel/Co_rubella_concatened.vcf.gz	data/reference_genomes/C.rubella_reference/GCF_000375325.1_Caprub1_0_genomic.fasta	data/reference_genomes/C.rubella_reference/GCF_000375325.1_Caprub1_0_genomic_CHR_MATCHED_v2.gff	FALSE	Crubella	YES	NO	Capsella_rubella_Weigel_Individual
/lu213/james.whiting/RepAdapt/data/VCFs/11_Athaliana_Gunther_pool/Athal_full_concatened.filtered_NoMiss0.25_maf0.05.SNPTable.txt	data/reference_genomes/A.thaliana_reference/GCF_000001735.4_TAIR10.1_genomic.fasta	data/reference_genomes/A.thaliana_reference/GCF_000001735.4_TAIR10.1_genomic_CHR_MATCHED.gff	TRUE	Athaliana	YES	YES	Arabidopsis_thaliana_Gunther_PoolSeq
