Orthogroup,At Genes,Tau Min,Tau Z,At Node Betweenness Max,At Node Betweenness Z,At Node Strength Max,At Node Strength Z,At Node Degree Max,At Node Degree Z,At Node Closeness Max,At Node Closeness Z
OG0000104,GSTU18/ERD9/GSTU13/GSTU14/GSTU15/GSTU16/GSTU11,0.630370341,-1.608296257,36946.33333,-0.704960937,817.2758,-2.683847923,271,-2.586201182,9.46E-06,-2.132160038
OG0000115,SIP4/SIP3/CIPK15/SR1/CIPK2/CIPK5/CIPK25/CIPK20/SIP1,0.687686744,-2.203051969,54143.83333,0.510911674,2689.6005,-0.90337477,884,-0.660054547,1.03E-05,1.929936146
OG0000144,PAD4,NA,NA,15028.16667,-0.699513858,957.6407,-0.560400617,290,-0.623811949,8.84E-06,-0.961129334
OG0000155,UBQ14/UBQ11/UBQ10/UBQ3/UBQ4/UBQ9/UBQ8/UBQ12/UBQ13,0.569162902,-1.43709931,16183,-2.419860938,1202.9474,-1.883152035,422,-1.701805428,9.72E-06,-1.477672754
OG0000159,AT5G01880/AT5G05280/AT3G10910/AT3G18773/AT1G49200/AT1G49210/AT1G49220/AT1G49230,0.700037644,-2.149433565,27040.73333,-1.240740572,911.7167,-1.98790741,285,-1.981370557,9.45E-06,-1.701805428
OG0000162,AT1G56120/AT1G56130/AT1G56140/AT1G56145,0.667015099,-1.317372742,30423.4,-0.910715273,1192.2822,-1.64156936,378,-1.614118625,9.59E-06,-1.487712297
OG0000169,PHT1;5/PHT1;4/AT4G08878/PHT1;6/PHT1;1/PHT1;3/PHT1;2/PHT1;7,0.888273693,-3.107531314,22448,-0.890644636,473.481,-1.874273265,148,-1.863810117,8.69E-06,-1.690275528
OG0000171,AT2G43580/AT2G43590/EP3,0.827627064,-1.738823611,10248.5,-1.812759029,421.4624,-2.024290017,141,-1.935842874,8.33E-06,-1.914505825
OG0000179,ADR1-L1/ADR1-L2/ADR1-L3/ADR1,0.585432331,-0.833311166,37353,0.00121622,1722.9137,-0.887033899,483,-1.024335457,9.48E-06,-1.395765722
OG0000183,AT2G16580/AT2G18010/AT2G21220/AT4G34760/SAUR9/AT4G38860/AT5G66260/AT1G19830/AT1G75580,0.838112326,-2.896530473,10069.83333,-3.032420889,762.5101,-2.508338686,218,-2.622308851,8.92E-06,-2.586201182
OG0000185,AT5G36930/AT1G27170/AT1G27180,0.642204185,-0.937417575,32035.9,-0.455211876,855.8432,-1.71224763,302,-1.575091513,9.55E-06,-1.312864741
OG0000187,PIP2;8/PIP2B/RD28/PIP2E/PIP3/PIP2;4/PIP2A/PIP2;5,0.679441123,-2.015400023,39955.83333,-0.705350813,1237.4496,-2.437269601,390,-2.419860938,9.72E-06,-1.960171573
OG0000188,UMAMIT13/UMAMIT12/UMAMIT14/UMAMIT11/UMAMIT17/UMAMIT9/UMAMIT19/SIAR1,0.706306415,-2.180210864,27461.66667,-1.659374896,1017.2001,-2.310442681,311,-2.347047289,9.08E-06,-2.706834116
OG0000190,AT5G21960/AT1G19210/ORA47,0.852649753,-1.835027656,5242,-2.833133515,921.264,-1.624269554,223,-1.912608769,8.24E-06,-2.461694526
OG0000192,OPT7/OPT5/OPT6/OPT9/OPT8/OPT1/OPT4/OPT2,0.588969814,-1.468514977,45534.9,0.253221517,661.4413,-2.706834116,231,-2.530123701,9.40E-06,-2.038652554
OG0000195,"SKdZeta/SK32/BIN2/SK13/""SK 11""/ATSK12/AT3G61160/GSK1/SK41/SK42",0.376954344,0.635390261,87658.5,1.794206571,2407.8557,-1.386165859,799,-1.170921638,1.02E-05,0.734507493
OG0000198,AT2G44830/D6PKL1/AT5G40030/D6PKL2/D6PK/AGC1.5/ATPK7/RSH3/AGC1.7,0.562029106,-1.38665655,232348.5,3.298970028,2333.0384,-1.116537472,758,-0.998974819,1.01E-05,-0.361975674
OG0000200,EXO/EXL4/EXL2/PHI-1,0.644082304,-1.202984209,19012.5,-1.990105361,1037.2269,-1.794206571,277,-2.012632326,9.15E-06,-2.081802595
OG0000202,AT4G25300/AT4G25310/AT1G17010/SRG1/AT1G78550,0.426919572,0.455835282,78585.96667,1.990105361,2196.4979,-0.758614068,714,-0.701068042,1.01E-05,-0.036798942
OG0000203,AT3G02645,0.78991009,-0.631416926,NA,NA,NA,NA,NA,NA,NA,NA
OG0000207,AT2G07440/RR16/RR3/ARR6/RR5/RR17/ARR9/ARR4/ARR7/ARR3/ARR15,0.645544599,-2.045586449,46227.16667,-0.202352767,843.6921,-3.235804716,281,-3.0035374,9.83E-06,-1.817496043
OG0000212,CYP704A1/CYP704A2,0.732942782,-1.008591435,22989.23333,-0.14431735,833.1867,-0.68675556,286,-0.637910003,9.45E-06,-0.399572886
OG0000216,AT4G24130/AT5G46230/AT5G49600/AT1G09310/AT1G30020/SVB,0.773772691,-2.008688154,47061.8,0.74129386,1138.7685,-1.368890586,389,-1.290868872,9.64E-06,-1.16490788
OG0000218,AT2G17880/J11/AT3G13310,0.777497807,-1.542867738,18879.16667,-1.645088897,1136.9966,-1.370444216,339,-1.437221655,9.26E-06,-1.64156936
OG0000219,CSLG3/CSLG2/CSLG1/CSLE1,0.631546266,-1.134527089,39892,-0.035886175,979.8039,-1.858654148,307,-1.865539835,9.48E-06,-1.655771637
OG0000222,AT2G03200/AT2G35615/CDR1/AT1G31450/AT1G64830,0.824114826,-2.267719583,16504.33333,-0.598887455,974.839,-0.544462508,239,-0.780280788,8.26E-06,-1.307127729
OG0000223,AATP1/AT3G28510/AT3G28520/AT3G28540/AT3G28560/AT3G28580,NA,NA,19245.96667,-1.966438863,590.9199,-2.537660097,179,-2.561176672,8.48E-06,-2.718885978
OG0000231,ARCK1/AT1G70740,NA,NA,31815.66667,-0.090732687,1731.5448,-0.545873583,506,-0.651759952,9.43E-06,-1.084777127
OG0000235,LHT1/AT3G01760/LHT2/AT1G25530/AT1G48640/AT1G61270/AT1G67640/AT1G71680,0.868609042,-2.916721139,45976.83333,0.666874949,768.6723,-1.823876198,262,-1.707003263,8.91E-06,-1.981370557
OG0000236,AT2G47560/AT4G15975/ATL2/ATL5/AT1G53820/ATL3,0.646060606,-1.55761074,28991.23333,-1.04931748,1394.9866,-1.423688609,332,-1.757426024,8.85E-06,-2.323806702
OG0000239,4CL8/AT5G63380/AT1G20480/AT1G20490/AT1G20500/OPCL1,0.487064252,-0.362609527,44725.33333,0.178511611,1246.2659,-1.828710499,391,-1.819084149,9.67E-06,-1.561570806
OG0000245,GT72B1/AT1G01390/UGT72B3,0.848866411,-1.825560307,31508,-0.505376363,811.5834,-1.776251872,286,-1.626548189,9.53E-06,-1.329604198
OG0000246,sks16/sks4/sks10/sks15/sks9/sks17/sks8/sks7/SKS6/sks18/sks5,0.650072514,-2.189860286,39956,-0.565744911,1577.1573,-1.879582732,475,-1.931897573,9.76E-06,-1.73371067
OG0000247,AT5G03795/AT5G11130/AT5G20260/AT5G25310/XGD1/AT3G07620/AT3G42180,NA,NA,51722,1.268120356,661.5563,-1.534367169,231,-1.420345794,9.31E-06,-1.240084337
OG0000248,AT4G34540/AT4G39230/AT1G75280/AT1G75290/AT1G75300,0.450525665,0.20823813,57275.56667,1.132559414,870.4853,-2.050951062,314,-1.83358792,9.67E-06,-1.361939798
OG0000251,AT5G11730/AT5G16170/AT5G25970/AT3G21310/AT1G10280/AT1G10880/AT1G51770/AT1G68380/AT1G68390,0.418045113,0.112697964,31611.36667,-0.497446342,2459.7134,-0.308578837,807,-0.138789248,1.00E-05,0.04075463
OG0000252,AT2G20550/AT2G20560/AT4G28480/AT5G01390/AT5G25530/AT3G08910/AT3G47940/AT1G10350/AT1G59725,0.403109217,0.315337256,40651.73333,-0.484070609,2637.8189,-0.839802872,814,-0.822195656,1.01E-05,-0.281899754
OG0000253,AT2G15880/LRX3/AT4G18670/AT4G33970/AT5G25550/AT3G19020/AT3G22800/AT3G24480/LRX1/AT1G49490/LRX2,0.671616013,-2.325508124,110636.6667,2.347047289,1061.0081,-2.976961237,306,-3.032420889,9.47E-06,-2.800989715
OG0000258,AT2G30020/PP2C5/AT1G07160/AT1G67820,0.785753022,-1.841431797,17709.33333,-2.071298522,1125.2807,-1.708309954,260,-2.100757034,8.96E-06,-2.249154493
OG0000260,RHA1B/RHA1A/AT4G38140/AT5G20885/AT5G41400/AT3G43430/BRH1/AT1G63840,0.663787193,-1.919300216,71223.26667,1.54631653,1013.799,-2.323806702,324,-2.297478987,9.80E-06,-1.470463752
OG0000261,NF-YC8/NF-YC12/NF-YC7/NF-YC6/NF-YC5/NF-YC4/NF-YC1/NF-YC9/NF-YC3/NF-YC2,NA,-0.122221328,53984.13333,0.822195656,2294.8915,-0.860312706,762,-0.721823959,1.02E-05,1.332553689
OG0000266,AT2G42960/AT4G01330/AT4G02630/AT4G34500/AT5G18500/GPK1/AT3G59110/AT1G01540/AT1G09440/AT1G56720,0.46264266,-0.558037509,50644.8,0.090122086,2074.2476,-1.754584398,643,-1.766037149,1.01E-05,-0.729340663
OG0000267,RAX2/MYB87/MYB36/MYB68/MYB84,0.821759431,-2.256269357,40639.56667,0.034060729,634.7,-2.419860938,197,-2.403156141,8.50E-06,-2.662197915
OG0000268,CAD2/CAD3/CAD6/ELI3-1/ELI3-2/CAD9,0.828361039,-2.465620074,20774,-1.822274195,1013.4594,-1.811189026,244,-2.153295177,8.78E-06,-2.408650004
OG0000269,CYP78A7/CYP78A5/CYP78A10,0.901163673,-2.057710107,30543.16667,-0.193051071,610.8533,-1.623133392,175,-1.675243515,8.36E-06,-1.901368517
OG0000270,CRK42/RKF2/CRK2/CRK3,0.565195433,-0.685756919,69479.06667,1.819084149,1537.0502,-1.030003743,466,-1.071186912,9.78E-06,-0.887935498
OG0000271,DRP4C/DRP4A,0.821320346,-1.368338242,NA,NA,NA,NA,NA,NA,NA,NA
