Run,Experiment,LibraryName
SRR1800951,SRX874911,OYTC
SRR1800952,SRX874912,OYSG
SRR1800953,SRX874913,OHPN
SRR1800954,SRX874914,OHTH
SRR1800955,SRX874915,OHZH
SRR1800956,SRX874916,OHZT
SRR1800957,SRX874917,OYTB
SRR1800958,SRX874918,OYUU
SRR1800959,SRX874919,OHXW
SRR1800960,SRX874920,OYUO
SRR1800961,SRX874921,OHXA
SRR1800962,SRX874922,OHTN
SRR1800963,SRX874923,OHUP
SRR1800964,SRX874924,OHPZ
SRR1800965,SRX874925,OHUZ
SRR1800966,SRX874926,OYWT
SRR1800967,SRX874927,OYWC
SRR1800968,SRX874928,OHTU
SRR1800969,SRX874929,OYSH
SRR1800970,SRX874930,OHYA
SRR1800971,SRX874931,OYWH
SRR1800972,SRX874932,OHPP
SRR1800973,SRX874933,OHWN
SRR1800974,SRX874934,OHXX
SRR1800975,SRX874935,OHYY
SRR1800976,SRX874936,OHYC
SRR1800977,SRX874937,OHPU
SRR1800978,SRX874938,OYSS
SRR1800979,SRX874939,OYUN
SRR1800980,SRX874940,OHST
SRR1800981,SRX874941,OYSZ
SRR1800982,SRX874942,OYTN
SRR1800983,SRX874943,OHSY
SRR1800984,SRX874944,OHZN
SRR1800985,SRX874945,OYWO
SRR1800986,SRX874946,OYUG
SRR1800987,SRX874947,OYSY
SRR1800988,SRX874948,OYUS
SRR1800989,SRX874949,OYTG
SRR1800990,SRX874950,OYUW
SRR1800991,SRX874951,OYWX
SRR1800992,SRX874952,OHTG
SRR1800993,SRX874953,OYSU
SRR1800994,SRX874954,OHSH
SRR1800995,SRX874955,OYSN
SRR1800996,SRX874956,OHTW
SRR1800997,SRX874957,OHZU
SRR1800998,SRX874958,OHYN
SRR1800999,SRX874959,OYUH
SRR1801000,SRX874960,OYUB
SRR1801001,SRX874961,OHSC
SRR1801002,SRX874962,OHWC
SRR1801003,SRX874963,OHPG
SRR1801004,SRX874964,OYUC
SRR1801005,SRX874965,OHUA
SRR1801006,SRX874966,OHWZ
SRR1801007,SRX874967,OHWO
SRR1801008,SRX874968,OYUZ
SRR1801009,SRX874969,OYTP
SRR1801010,SRX874970,OHXP
SRR1801011,SRX874971,OHSG
SRR1801012,SRX874972,OHXG
SRR1801013,SRX874973,OYTO
SRR1801014,SRX874974,OHYT
SRR1801015,SRX874975,OHWP
SRR1801016,SRX874976,OHTT
SRR1801017,SRX874977,OHXY
SRR1801018,SRX874978,OHSW
SRR1801019,SRX874979,OHPT
SRR1801020,SRX874980,OHXU
SRR1801021,SRX874981,OYSP
SRR1801022,SRX874982,OHSO
SRR1801023,SRX874983,OHSU
SRR1801024,SRX874984,OHTO
SRR1801025,SRX874985,OHUN
SRR1801026,SRX874986,OHPH
SRR1801027,SRX874987,OHUC
SRR1801028,SRX874988,OHTZ
SRR1801029,SRX874989,OYSB
SRR1801030,SRX874990,OHPS
SRR1801031,SRX874991,OHZZ
SRR1801032,SRX874992,OHZC
SRR1801033,SRX874993,OHTC
SRR1801034,SRX874994,OHXB
SRR1801035,SRX874995,OYTY
SRR1801036,SRX874996,OHZW
SRR1801037,SRX874997,OHYW
SRR1801038,SRX874998,OHZS
SRR1801039,SRX874999,OHTB
SRR1801040,SRX875000,OYWW
SRR1801041,SRX875001,OHSP
SRR1801042,SRX875002,OYUT
SRR1801043,SRX875003,OHYG
SRR1801044,SRX875004,OYPX
SRR1801045,SRX875005,OHUG
SRR1801046,SRX875006,OHZX
SRR1801047,SRX875007,OYWG
SRR1801048,SRX875008,OHXZ
SRR1801049,SRX875009,OHTP
SRR1801050,SRX875010,OHPB
SRR1800873,SRX874833,OYPZ
SRR1800874,SRX874834,OHSX
SRR1800875,SRX874835,OYTZ
SRR1800876,SRX874836,OYWA
SRR1800877,SRX874837,OHUY
SRR1800878,SRX874838,OYSW
SRR1800879,SRX874839,OHZG
SRR1800880,SRX874840,OHWG
SRR1800881,SRX874841,OYUX
SRR1800882,SRX874842,OHYP
SRR1800883,SRX874843,OYTH
SRR1800884,SRX874844,OHZY
SRR1800885,SRX874845,OHWB
SRR1800886,SRX874846,OYSX
SRR1800887,SRX874847,OYSO
SRR1800888,SRX874848,OHUW
SRR1800889,SRX874849,OHSB
SRR1800890,SRX874850,OHPW
SRR1800891,SRX874851,OHPY
SRR1800892,SRX874852,OYWP
SRR1800893,SRX874853,OHYZ
SRR1800894,SRX874854,OYTW
SRR1800895,SRX874855,OHUU
SRR1800896,SRX874856,OHUO
SRR1800897,SRX874857,OHTY
SRR1800898,SRX874858,OHWH
SRR1800899,SRX874859,OHSN
SRR1800900,SRX874860,OYSC
SRR1800901,SRX874861,OYWS
SRR1800902,SRX874862,OHZO
SRR1800903,SRX874863,OYWU
SRR1800904,SRX874864,OHXO
SRR1800905,SRX874865,OHZA
SRR1800906,SRX874866,OHSA
SRR1800907,SRX874867,OYST
SRR1800908,SRX874868,OYTX
SRR1800909,SRX874869,OHXS
SRR1800910,SRX874870,OYTU
SRR1800911,SRX874871,OYUP
SRR1800912,SRX874872,OHWY
SRR1800913,SRX874873,OHZP
SRR1800914,SRX874874,OHWT
SRR1800915,SRX874875,OYWB
SRR1800916,SRX874876,OHWA
SRR1800917,SRX874877,OHWX
SRR1800918,SRX874878,OHXC
SRR1800919,SRX874879,OHUS
SRR1800920,SRX874880,OHOZ
SRR1800921,SRX874881,OYWZ
SRR1800922,SRX874882,OHUB
SRR1800923,SRX874883,OHXH
SRR1800924,SRX874884,OHPA
SRR1800925,SRX874885,OHSZ
SRR1800926,SRX874886,OHSS
SRR1800927,SRX874887,OHYH
SRR1800928,SRX874888,OYTT
SRR1800929,SRX874889,OHTS
SRR1800930,SRX874890,OHUX
SRR1800931,SRX874891,OYTS
SRR1800932,SRX874892,OYUA
SRR1800933,SRX874893,OHXT
SRR1800934,SRX874894,OHPX
SRR1800935,SRX874895,OHTX
SRR1800936,SRX874896,OHTA
SRR1800937,SRX874897,OHUH
SRR1800938,SRX874898,OHWS
SRR1800939,SRX874899,OHWW
SRR1800940,SRX874900,OHPC
SRR1800941,SRX874901,OYSA
SRR1800942,SRX874902,OYUY
SRR1800943,SRX874903,OYTA
SRR1800944,SRX874904,OHYB
SRR1800945,SRX874905,OHYO
SRR1800946,SRX874906,OHXN
SRR1800947,SRX874907,OHUT
SRR1800948,SRX874908,OYWN
SRR1800949,SRX874909,OHPO
SRR1800950,SRX874910,OYPY
