gene_ID	OF_ID	seqname	start	end	gea_gene
gene-ArthCp001	39	Athal_NC_000932.1	98562	98793	Athal_NC_000932.1:98562-98793
gene-ArthCp002	80	Athal_NC_000932.1	383	1444	Athal_NC_000932.1:383-1444
gene-ArthCp003	81	Athal_NC_000932.1	2056	3570	Athal_NC_000932.1:2056-3570
gene-ArthCp004	82	Athal_NC_000932.1	5084	5283	Athal_NC_000932.1:5084-5283
gene-ArthCp005	84	Athal_NC_000932.1	7017	7202	Athal_NC_000932.1:7017-7202
gene-ArthCp006	85	Athal_NC_000932.1	7583	7693	Athal_NC_000932.1:7583-7693
gene-ArthCp007	0	Athal_NC_000932.1	9938	11461	Athal_NC_000932.1:9938-11461
gene-ArthCp008	1	Athal_NC_000932.1	11529	11938	Athal_NC_000932.1:11529-11938
gene-ArthCp009	2	Athal_NC_000932.1	13262	13507	Athal_NC_000932.1:13262-13507
gene-ArthCp010	3	Athal_NC_000932.1	14021	14770	Athal_NC_000932.1:14021-14770
gene-ArthCp011	4	Athal_NC_000932.1	15013	15723	Athal_NC_000932.1:15013-15723
gene-ArthCp012	5	Athal_NC_000932.1	15938	20068	Athal_NC_000932.1:15938-20068
gene-ArthCp013	6	Athal_NC_000932.1	20251	21861	Athal_NC_000932.1:20251-21861
gene-ArthCp014	7	Athal_NC_000932.1	23111	26329	Athal_NC_000932.1:23111-26329
gene-ArthCp015	8	Athal_NC_000932.1	28089	28178	Athal_NC_000932.1:28089-28178
gene-ArthCp016	9	Athal_NC_000932.1	28707	28811	Athal_NC_000932.1:28707-28811
gene-ArthCp017	10	Athal_NC_000932.1	32711	33772	Athal_NC_000932.1:32711-33772
gene-ArthCp018	11	Athal_NC_000932.1	33720	35141	Athal_NC_000932.1:33720-35141
gene-ArthCp019	12	Athal_NC_000932.1	35751	35939	Athal_NC_000932.1:35751-35939
gene-ArthCp020	13	Athal_NC_000932.1	36938	37240	Athal_NC_000932.1:36938-37240
gene-ArthCp021	14	Athal_NC_000932.1	37375	39579	Athal_NC_000932.1:37375-39579
gene-ArthCp022	15	Athal_NC_000932.1	39605	41857	Athal_NC_000932.1:39605-41857
gene-ArthCp023	16	Athal_NC_000932.1	43524	43751	Athal_NC_000932.1:43524-43751
gene-ArthCp024	17	Athal_NC_000932.1	45223	45828	Athal_NC_000932.1:45223-45828
gene-ArthCp025	18	Athal_NC_000932.1	48677	49153	Athal_NC_000932.1:48677-49153
gene-ArthCp026	19	Athal_NC_000932.1	49257	49934	Athal_NC_000932.1:49257-49934
gene-ArthCp027	20	Athal_NC_000932.1	50001	50363	Athal_NC_000932.1:50001-50363
gene-ArthCp028	21	Athal_NC_000932.1	52265	52663	Athal_NC_000932.1:52265-52663
gene-ArthCp029	22	Athal_NC_000932.1	52660	54156	Athal_NC_000932.1:52660-54156
gene-ArthCp030	23	Athal_NC_000932.1	54958	56397	Athal_NC_000932.1:54958-56397
gene-ArthCp031	24	Athal_NC_000932.1	57075	58541	Athal_NC_000932.1:57075-58541
gene-ArthCp032	25	Athal_NC_000932.1	59247	59360	Athal_NC_000932.1:59247-59360
gene-ArthCp033	26	Athal_NC_000932.1	59772	60326	Athal_NC_000932.1:59772-60326
gene-ArthCp034	27	Athal_NC_000932.1	60741	61430	Athal_NC_000932.1:60741-61430
gene-ArthCp035	28	Athal_NC_000932.1	61657	62619	Athal_NC_000932.1:61657-62619
gene-ArthCp036	29	Athal_NC_000932.1	63538	63660	Athal_NC_000932.1:63538-63660
gene-ArthCp037	30	Athal_NC_000932.1	63804	63920	Athal_NC_000932.1:63804-63920
gene-ArthCp038	31	Athal_NC_000932.1	63942	64061	Athal_NC_000932.1:63942-64061
gene-ArthCp039	32	Athal_NC_000932.1	64071	64322	Athal_NC_000932.1:64071-64322
gene-ArthCp040	33	Athal_NC_000932.1	65712	65807	Athal_NC_000932.1:65712-65807
gene-ArthCp041	34	Athal_NC_000932.1	65998	66111	Athal_NC_000932.1:65998-66111
gene-ArthCp042	35	Athal_NC_000932.1	66929	67063	Athal_NC_000932.1:66929-67063
gene-ArthCp043	36	Athal_NC_000932.1	67488	67688	Athal_NC_000932.1:67488-67688
gene-ArthCp044	37	Athal_NC_000932.1	67917	68222	Athal_NC_000932.1:67917-68222
gene-ArthCp045	38	Athal_NC_000932.1	68512	68865	Athal_NC_000932.1:68512-68865
gene-ArthCp047	61	Athal_NC_000932.1	139856	140087	Athal_NC_000932.1:139856-140087
gene-ArthCp048	40	Athal_NC_000932.1	70653	70944	Athal_NC_000932.1:70653-70944
gene-ArthCp049	41	Athal_NC_000932.1	72371	73897	Athal_NC_000932.1:72371-73897
gene-ArthCp050	42	Athal_NC_000932.1	74082	74183	Athal_NC_000932.1:74082-74183
gene-ArthCp051	43	Athal_NC_000932.1	74249	74380	Athal_NC_000932.1:74249-74380
gene-ArthCp052	44	Athal_NC_000932.1	74485	74706	Athal_NC_000932.1:74485-74706
gene-ArthCp053	45	Athal_NC_000932.1	75651	76292	Athal_NC_000932.1:75651-76292
gene-ArthCp054	46	Athal_NC_000932.1	77198	77672	Athal_NC_000932.1:77198-77672
gene-ArthCp055	47	Athal_NC_000932.1	77901	78890	Athal_NC_000932.1:77901-78890
gene-ArthCp056	48	Athal_NC_000932.1	78960	79376	Athal_NC_000932.1:78960-79376
gene-ArthCp057	49	Athal_NC_000932.1	79489	79602	Athal_NC_000932.1:79489-79602
gene-ArthCp058	50	Athal_NC_000932.1	80068	80472	Athal_NC_000932.1:80068-80472
gene-ArthCp059	51	Athal_NC_000932.1	80696	81064	Athal_NC_000932.1:80696-81064
gene-ArthCp060	52	Athal_NC_000932.1	81189	81587	Athal_NC_000932.1:81189-81587
gene-ArthCp061	53	Athal_NC_000932.1	82826	83482	Athal_NC_000932.1:82826-83482
gene-ArthCp062	54	Athal_NC_000932.1	83467	83949	Athal_NC_000932.1:83467-83949
gene-ArthCp063	55	Athal_NC_000932.1	84005	84283	Athal_NC_000932.1:84005-84283
gene-ArthCp064	56	Athal_NC_000932.1	84337	84771	Athal_NC_000932.1:84337-84771
gene-ArthCp065	57	Athal_NC_000932.1	85862	86143	Athal_NC_000932.1:85862-86143
gene-ArthCp066	58	Athal_NC_000932.1	86474	93358	Athal_NC_000932.1:86474-93358
gene-ArthCp068	59	Athal_NC_000932.1	96388	97164	Athal_NC_000932.1:96388-97164
gene-ArthCp069	60	Athal_NC_000932.1	97478	97945	Athal_NC_000932.1:97478-97945
gene-ArthCp070	62	Athal_NC_000932.1	109405	110436	Athal_NC_000932.1:109405-110436
gene-ArthCp071	63	Athal_NC_000932.1	110398	112638	Athal_NC_000932.1:110398-112638
gene-ArthCp072	64	Athal_NC_000932.1	113449	113607	Athal_NC_000932.1:113449-113607
gene-ArthCp073	65	Athal_NC_000932.1	114461	115447	Athal_NC_000932.1:114461-115447
gene-ArthCp074	66	Athal_NC_000932.1	115665	117167	Athal_NC_000932.1:115665-117167
gene-ArthCp075	67	Athal_NC_000932.1	117318	117563	Athal_NC_000932.1:117318-117563
gene-ArthCp076	68	Athal_NC_000932.1	117804	118109	Athal_NC_000932.1:117804-118109
gene-ArthCp077	69	Athal_NC_000932.1	118377	118907	Athal_NC_000932.1:118377-118907
gene-ArthCp078	70	Athal_NC_000932.1	119244	119762	Athal_NC_000932.1:119244-119762
gene-ArthCp079	71	Athal_NC_000932.1	121457	122009	Athal_NC_000932.1:121457-122009
gene-ArthCp080	72	Athal_NC_000932.1	122011	123192	Athal_NC_000932.1:122011-123192
gene-ArthCp081	73	Athal_NC_000932.1	123296	123562	Athal_NC_000932.1:123296-123562
gene-ArthCp083	77	Athal_NC_000932.1	145291	152175	Athal_NC_000932.1:145291-152175
gene-ArthCp084	78	Athal_NC_000932.1	152506	152787	Athal_NC_000932.1:152506-152787
gene-ArthCp085	79	Athal_NC_000932.1	153878	154312	Athal_NC_000932.1:153878-154312
gene-ArthCp086	76	Athal_NC_000932.1	141485	142261	Athal_NC_000932.1:141485-142261
gene-Arthcp087	74	Athal_NC_000932.1	123884	129244	Athal_NC_000932.1:123884-129244
gene-ArthCp088	75	Athal_NC_000932.1	140704	141171	Athal_NC_000932.1:140704-141171
gene-AT1G01010	20406	Athal_NC_003070.9	3631	5899	Athal_NC_003070.9:3631-5899
gene-AT1G01020	20407	Athal_NC_003070.9	6788	9130	Athal_NC_003070.9:6788-9130
gene-AT1G01030	20408	Athal_NC_003070.9	11649	13714	Athal_NC_003070.9:11649-13714
gene-AT1G01040	20409	Athal_NC_003070.9	23121	31227	Athal_NC_003070.9:23121-31227
gene-AT1G01050	20410	Athal_NC_003070.9	31170	33171	Athal_NC_003070.9:31170-33171
gene-AT1G01060	20411	Athal_NC_003070.9	33365	37871	Athal_NC_003070.9:33365-37871
gene-AT1G01070	20412	Athal_NC_003070.9	38444	41017	Athal_NC_003070.9:38444-41017
gene-AT1G01080	20413	Athal_NC_003070.9	44970	47059	Athal_NC_003070.9:44970-47059
gene-AT1G01090	20414	Athal_NC_003070.9	47234	49304	Athal_NC_003070.9:47234-49304
gene-AT1G01100	20415	Athal_NC_003070.9	49909	51210	Athal_NC_003070.9:49909-51210
gene-AT1G01110	20416	Athal_NC_003070.9	51953	54737	Athal_NC_003070.9:51953-54737
gene-AT1G01120	20417	Athal_NC_003070.9	57164	59215	Athal_NC_003070.9:57164-59215
gene-AT1G01130	20418	Athal_NC_003070.9	61905	63811	Athal_NC_003070.9:61905-63811
gene-AT1G01140	20419	Athal_NC_003070.9	64166	67774	Athal_NC_003070.9:64166-67774
gene-AT1G01150	20420	Athal_NC_003070.9	69911	72138	Athal_NC_003070.9:69911-72138
gene-AT1G01160	20421	Athal_NC_003070.9	72339	74096	Athal_NC_003070.9:72339-74096
gene-AT1G01170	20422	Athal_NC_003070.9	73931	74737	Athal_NC_003070.9:73931-74737
gene-AT1G01180	20423	Athal_NC_003070.9	75390	76845	Athal_NC_003070.9:75390-76845
gene-AT1G01190	20424	Athal_NC_003070.9	83045	84946	Athal_NC_003070.9:83045-84946
gene-AT1G01200	20425	Athal_NC_003070.9	86486	88409	Athal_NC_003070.9:86486-88409
gene-AT1G01210	20426	Athal_NC_003070.9	88883	90502	Athal_NC_003070.9:88883-90502
