gene_ID	OF_ID	seqid	start	end	gea_gene
gene:Ha412HOChr00c00001g0858341	0	Ha412HOChr00c00001	208975	210480	:208975-210480
gene:Ha412HOChr00c00001g0858351	1	Ha412HOChr00c00001	214332	216914	:214332-216914
gene:Ha412HOChr00c00001g0858361	2	Ha412HOChr00c00001	218888	220273	:218888-220273
gene:Ha412HOChr00c00001g0858371	3	Ha412HOChr00c00001	221470	222909	:221470-222909
gene:Ha412HOChr00c00001g0858381	4	Ha412HOChr00c00001	228422	229507	:228422-229507
gene:Ha412HOChr00c00001g0858391	5	Ha412HOChr00c00001	242460	246119	:242460-246119
gene:Ha412HOChr00c00001g0858401	6	Ha412HOChr00c00001	267542	270512	:267542-270512
gene:Ha412HOChr00c00001g0858421	7	Ha412HOChr00c00001	496161	498044	:496161-498044
gene:Ha412HOChr00c00001g0858431	8	Ha412HOChr00c00001	502978	504039	:502978-504039
gene:Ha412HOChr00c00001g0858441	9	Ha412HOChr00c00001	506816	508364	:506816-508364
gene:Ha412HOChr00c00001g0858451	10	Ha412HOChr00c00001	513857	515746	:513857-515746
gene:Ha412HOChr00c00001g0858461	11	Ha412HOChr00c00001	524665	525861	:524665-525861
gene:Ha412HOChr00c00001g0858511	12	Ha412HOChr00c00001	727766	729084	:727766-729084
gene:Ha412HOChr00c00004g0858531	10204	Ha412HOChr00c00004	19988	22104	:19988-22104
gene:Ha412HOChr00c00005g0858651	12487	Ha412HOChr00c00005	178995	183602	:178995-183602
gene:Ha412HOChr00c00005g0858661	12488	Ha412HOChr00c00005	187163	190878	:187163-190878
gene:Ha412HOChr00c00005g0858671	12489	Ha412HOChr00c00005	239676	240659	:239676-240659
gene:Ha412HOChr00c00005g0858681	12490	Ha412HOChr00c00005	244375	247827	:244375-247827
gene:Ha412HOChr00c00005g0858691	12491	Ha412HOChr00c00005	365003	365674	:365003-365674
gene:Ha412HOChr00c00007g0858711	14675	Ha412HOChr00c00007	121560	126750	:121560-126750
gene:Ha412HOChr00c00008g0858731	16826	Ha412HOChr00c00008	3174	7219	:3174-7219
gene:Ha412HOChr00c00008g0858761	16827	Ha412HOChr00c00008	91540	105926	:91540-105926
gene:Ha412HOChr00c00008g0858791	16828	Ha412HOChr00c00008	238425	242683	:238425-242683
gene:Ha412HOChr00c00008g0858811	16829	Ha412HOChr00c00008	263023	263283	:263023-263283
gene:Ha412HOChr00c00009g0858831	22350	Ha412HOChr00c00009	165060	166172	:165060-166172
gene:Ha412HOChr00c00010g0858841	22351	Ha412HOChr00c00010	5841	8400	:5841-8400
gene:Ha412HOChr00c00010g0858851	22352	Ha412HOChr00c00010	40270	41352	:40270-41352
gene:Ha412HOChr00c00010g0858871	22353	Ha412HOChr00c00010	140468	147730	:140468-147730
gene:Ha412HOChr00c00012g0858891	27675	Ha412HOChr00c00012	227735	236931	:227735-236931
gene:Ha412HOChr00c00014g0858941	33018	Ha412HOChr00c00014	72726	84192	:72726-84192
gene:Ha412HOChr00c00014g0858951	33019	Ha412HOChr00c00014	105954	108439	:105954-108439
gene:Ha412HOChr00c00017g0858971	41703	Ha412HOChr00c00017	12181	14590	:12181-14590
gene:Ha412HOChr00c00017g0858981	41704	Ha412HOChr00c00017	15470	16925	:15470-16925
gene:Ha412HOChr00c00017g0859001	41705	Ha412HOChr00c00017	20566	21894	:20566-21894
gene:Ha412HOChr00c00017g0859011	41706	Ha412HOChr00c00017	21020	21881	:21020-21881
gene:Ha412HOChr00c00017g0859021	41707	Ha412HOChr00c00017	25357	29477	:25357-29477
gene:Ha412HOChr00c00017g0859031	41708	Ha412HOChr00c00017	27766	29492	:27766-29492
gene:Ha412HOChr00c00017g0859061	41709	Ha412HOChr00c00017	73721	74431	:73721-74431
gene:Ha412HOChr00c00017g0859081	41710	Ha412HOChr00c00017	75262	83739	:75262-83739
gene:Ha412HOChr00c00017g0859091	41711	Ha412HOChr00c00017	80258	80941	:80258-80941
gene:Ha412HOChr00c00017g0859121	41712	Ha412HOChr00c00017	157614	158711	:157614-158711
gene:Ha412HOChr00c00017g0859131	41713	Ha412HOChr00c00017	203172	204257	:203172-204257
gene:Ha412HOChr00c00017g0859141	41714	Ha412HOChr00c00017	206461	207546	:206461-207546
gene:Ha412HOChr00c00017g0859151	41715	Ha412HOChr00c00017	219865	221299	:219865-221299
gene:Ha412HOChr00c00017g0859161	41716	Ha412HOChr00c00017	221301	223994	:221301-223994
gene:Ha412HOChr00c00017g0859181	41717	Ha412HOChr00c00017	226258	228583	:226258-228583
gene:Ha412HOChr00c00017g0859191	41718	Ha412HOChr00c00017	232233	234467	:232233-234467
gene:Ha412HOChr00c00020g0859261	44591	Ha412HOChr00c00020	103272	118491	:103272-118491
gene:Ha412HOChr00c00020g0859291	44592	Ha412HOChr00c00020	134200	138522	:134200-138522
gene:Ha412HOChr00c00020g0859341	44593	Ha412HOChr00c00020	196819	197454	:196819-197454
gene:Ha412HOChr00c00020g0859351	44594	Ha412HOChr00c00020	221091	221492	:221091-221492
gene:Ha412HOChr00c00021g0859361	44595	Ha412HOChr00c00021	69116	80455	:69116-80455
gene:Ha412HOChr00c00022g0859381	44596	Ha412HOChr00c00022	2190	3027	:2190-3027
gene:Ha412HOChr00c00022g0859401	44597	Ha412HOChr00c00022	87974	92878	:87974-92878
gene:Ha412HOChr00c00022g0859411	44598	Ha412HOChr00c00022	91004	91533	:91004-91533
gene:Ha412HOChr00c00022g0859421	44599	Ha412HOChr00c00022	108406	110231	:108406-110231
gene:Ha412HOChr00c00023g0859461	44600	Ha412HOChr00c00023	143797	147565	:143797-147565
gene:Ha412HOChr00c00023g0859471	44601	Ha412HOChr00c00023	174189	177020	:174189-177020
gene:Ha412HOChr00c00023g0859481	44602	Ha412HOChr00c00023	182563	184516	:182563-184516
gene:Ha412HOChr00c00023g0859491	44603	Ha412HOChr00c00023	186746	193128	:186746-193128
gene:Ha412HOChr00c00023g0859511	44604	Ha412HOChr00c00023	196371	201239	:196371-201239
gene:Ha412HOChr00c00023g0859521	44605	Ha412HOChr00c00023	200458	201521	:200458-201521
gene:Ha412HOChr00c00023g0859531	44606	Ha412HOChr00c00023	202277	211362	:202277-211362
gene:Ha412HOChr00c00023g0859551	44607	Ha412HOChr00c00023	212530	213720	:212530-213720
gene:Ha412HOChr00c00024g0859561	44608	Ha412HOChr00c00024	63164	63648	:63164-63648
gene:Ha412HOChr00c00028g0859601	44609	Ha412HOChr00c00028	154737	155915	:154737-155915
gene:Ha412HOChr00c00036g0859711	44610	Ha412HOChr00c00036	40956	42081	:40956-42081
gene:Ha412HOChr00c00039g0859721	44611	Ha412HOChr00c00039	89592	91738	:89592-91738
gene:Ha412HOChr00c00040g0859741	44612	Ha412HOChr00c00040	8151	9465	:8151-9465
gene:Ha412HOChr00c00041g0859761	44613	Ha412HOChr00c00041	83685	84428	:83685-84428
gene:Ha412HOChr00c00041g0859771	44614	Ha412HOChr00c00041	85802	87938	:85802-87938
gene:Ha412HOChr00c00041g0859781	44615	Ha412HOChr00c00041	95556	96929	:95556-96929
gene:Ha412HOChr00c00041g0859791	44616	Ha412HOChr00c00041	101616	105136	:101616-105136
gene:Ha412HOChr00c00048g0859811	44617	Ha412HOChr00c00048	14316	15879	:14316-15879
gene:Ha412HOChr00c00051g0859821	44618	Ha412HOChr00c00051	14117	14413	:14117-14413
gene:Ha412HOChr00c00052g0859841	44619	Ha412HOChr00c00052	19875	22831	:19875-22831
gene:Ha412HOChr00c00055g0860031	44620	Ha412HOChr00c00055	42739	43314	:42739-43314
gene:Ha412HOChr00c00055g0860081	44621	Ha412HOChr00c00055	53676	55111	:53676-55111
gene:Ha412HOChr00c00055g0860101	44622	Ha412HOChr00c00055	59282	62908	:59282-62908
gene:Ha412HOChr00c00055g0860111	44623	Ha412HOChr00c00055	64112	65845	:64112-65845
gene:Ha412HOChr00c00055g0860151	44624	Ha412HOChr00c00055	76386	76961	:76386-76961
gene:Ha412HOChr00c00061g0860221	44625	Ha412HOChr00c00061	9916	11371	:9916-11371
gene:Ha412HOChr00c00065g0860271	44626	Ha412HOChr00c00065	24176	24760	:24176-24760
gene:Ha412HOChr00c00065g0860281	44627	Ha412HOChr00c00065	61375	61926	:61375-61926
gene:Ha412HOChr00c00071g0861751	44628	Ha412HOChr00c00071	9103	9538	:9103-9538
gene:Ha412HOChr00c00082g0861831	44629	Ha412HOChr00c00082	6947	8005	:6947-8005
gene:Ha412HOChr00c00082g0861841	44630	Ha412HOChr00c00082	8253	19088	:8253-19088
gene:Ha412HOChr00c00083g0861851	44631	Ha412HOChr00c00083	21686	24280	:21686-24280
gene:Ha412HOChr00c00083g0861861	44632	Ha412HOChr00c00083	32778	33424	:32778-33424
gene:Ha412HOChr00c00088g0861871	44633	Ha412HOChr00c00088	62156	62996	:62156-62996
gene:Ha412HOChr00c00090g0861901	44634	Ha412HOChr00c00090	25389	25963	:25389-25963
gene:Ha412HOChr00c00093g0861921	44635	Ha412HOChr00c00093	24901	25715	:24901-25715
gene:Ha412HOChr00c00094g0861931	44636	Ha412HOChr00c00094	17514	22075	:17514-22075
gene:Ha412HOChr00c00094g0861941	44637	Ha412HOChr00c00094	22759	24734	:22759-24734
gene:Ha412HOChr00c00094g0861951	44638	Ha412HOChr00c00094	26195	27767	:26195-27767
gene:Ha412HOChr00c00097g0861961	44639	Ha412HOChr00c00097	20630	23912	:20630-23912
gene:Ha412HOChr00c00097g0861981	44640	Ha412HOChr00c00097	33125	33592	:33125-33592
gene:Ha412HOChr00c00097g0861991	44641	Ha412HOChr00c00097	46863	50205	:46863-50205
gene:Ha412HOChr00c00101g0862021	44642	Ha412HOChr00c00101	16577	18063	:16577-18063
gene:Ha412HOChr00c00106g0862081	44643	Ha412HOChr00c00106	41539	43628	:41539-43628
gene:Ha412HOChr00c00108g0862101	44644	Ha412HOChr00c00108	35659	36685	:35659-36685
gene:Ha412HOChr00c00109g0862121	44645	Ha412HOChr00c00109	15254	16929	:15254-16929
gene:Ha412HOChr00c00110g0862141	44646	Ha412HOChr00c00110	3318	8411	:3318-8411
gene:Ha412HOChr00c00110g0862151	44647	Ha412HOChr00c00110	3630	5426	:3630-5426
gene:Ha412HOChr00c00111g0862431	44648	Ha412HOChr00c00111	38350	41301	:38350-41301
gene:Ha412HOChr00c00124g0862441	44649	Ha412HOChr00c00124	11291	12778	:11291-12778
gene:Ha412HOChr00c00127g0862471	44650	Ha412HOChr00c00127	17318	20488	:17318-20488
gene:Ha412HOChr00c00144g0862601	44651	Ha412HOChr00c00144	571	1748	:571-1748
gene:Ha412HOChr00c00149g0862661	44652	Ha412HOChr00c00149	26089	26453	:26089-26453
gene:Ha412HOChr00c00150g0862681	44653	Ha412HOChr00c00150	14247	16684	:14247-16684
gene:Ha412HOChr00c00150g0862711	44654	Ha412HOChr00c00150	25515	26384	:25515-26384
gene:Ha412HOChr00c00155g0862741	44655	Ha412HOChr00c00155	38073	39958	:38073-39958
gene:Ha412HOChr00c00169g0863011	44656	Ha412HOChr00c00169	10608	11357	:10608-11357
gene:Ha412HOChr00c00169g0863021	44657	Ha412HOChr00c00169	17696	18564	:17696-18564
gene:Ha412HOChr00c00177g0863081	44658	Ha412HOChr00c00177	34445	35482	:34445-35482
gene:Ha412HOChr00c00179g0863101	44659	Ha412HOChr00c00179	3257	7759	:3257-7759
gene:Ha412HOChr00c00180g0863181	44660	Ha412HOChr00c00180	24700	28108	:24700-28108
gene:Ha412HOChr00c00180g0863191	44661	Ha412HOChr00c00180	33306	35423	:33306-35423
gene:Ha412HOChr00c00188g0863211	44662	Ha412HOChr00c00188	12207	23892	:12207-23892
gene:Ha412HOChr00c00188g0863221	44663	Ha412HOChr00c00188	17250	18271	:17250-18271
gene:Ha412HOChr00c00188g0863291	44664	Ha412HOChr00c00188	31099	31688	:31099-31688
gene:Ha412HOChr00c00192g0863321	44665	Ha412HOChr00c00192	13065	14928	:13065-14928
